t,V,IL,phi,Tth,dV_dt
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.476666666666666572e-01
4.000800160032006586e-02,5.178288984883614443e-01,1.688367309849670220e-02,2.026031531331528093e-02,5.660830194490663657e-07,4.434558609700594012e-01
8.001600320064013172e-02,5.354719509451671966e-01,3.418826201544820920e-02,4.102514721861762192e-02,4.609864357106257626e-06,4.383741402657888586e-01
1.200240048009602045e-01,5.528940955417440684e-01,5.190337816100429325e-02,6.228136944956513821e-02,1.583146988716134081e-05,4.324115420659442877e-01
1.600320064012802634e-01,5.700599670843256028e-01,7.001763839593487526e-02,8.401457686469410158e-02,3.816955645036199118e-05,4.255623201805299183e-01
2.000400080016003224e-01,5.869340488443945958e-01,8.851866697613026969e-02,1.062090878143834710e-01,7.579664783201342060e-05,4.178250989685899364e-01
2.400480096019204090e-01,6.034808578580740379e-01,1.073931021177905870e-01,1.288479530938473894e-01,1.331124084164645024e-04,4.092029882323860446e-01
2.800560112022404402e-01,6.196651357806154392e-01,1.266266092165578283e-01,1.519129744039153240e-01,2.147341744126447891e-04,3.997036339877277911e-01
3.200640128025605269e-01,6.354520063676033503e-01,1.462038948822331486e-01,1.753847242478372426e-01,3.254886335856523386e-04,3.893391876161815812e-01
3.600720144028806136e-01,6.508071829401516073e-01,1.661087319003013985e-01,1.992425815394791300e-01,4.703979578487896534e-04,3.781262324047388601e-01
4.000800160032006447e-01,6.656971174044037376e-01,1.863239815398427257e-01,2.234647636600332887e-01,6.546683871460875007e-04,3.660856199656876142e-01
4.400880176035207314e-01,6.800891834243761869e-01,2.068316264661828885e-01,2.480283741921847085e-01,8.836739175942371054e-04,3.532422596199687459e-01
4.800960192038408181e-01,6.939518271432065788e-01,2.276128039979969098e-01,2.729094511501125031e-01,1.162940213729953551e-03,3.396248385219058918e-01
5.201040208041608492e-01,7.072547098229722273e-01,2.486478431585906756e-01,2.980830215170033326e-01,1.498126957146808658e-03,3.252654893740621334e-01
5.601120224044808804e-01,7.199688454869015430e-01,2.699163081749346715e-01,3.235231649357510619e-01,1.895007241537061387e-03,3.101994112470616849e-01
6.001200240048010226e-01,7.320667056858328747e-01,2.913970387162262421e-01,3.492030736629949672e-01,2.359448348754849319e-03,2.944644483892239761e-01
