t,Q,I,core_flux_linkage,dielectric_memory_charge,dI_dt
0.000000000000000000e+00,1.000000000000000048e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000048e-04,-2.080000000000000000e+03
2.000400080016003223e-06,9.999584410522456795e-05,-4.152154659682620944e-03,-4.150332959410030665e-08,9.999999944566482189e-05,-2.071277112017454328e+03
4.000800160032006446e-06,9.998339988102483971e-05,-8.286578332997006011e-03,-1.655552115986231715e-07,9.999999557022814785e-05,-2.062273064676136983e+03
6.001200240048010093e-06,9.996270335803376505e-05,-1.240271161580470613e-02,-3.714580108249339105e-07,9.999998506679076747e-05,-2.052990899649366384e+03
8.001600320064012893e-06,9.993379167562890905e-05,-1.650000124194569984e-02,-6.585003993688859109e-07,9.999996464462007194e-05,-2.043433680614029981e+03
1.000200040008001569e-05,9.989670306927698508e-05,-2.057790012779873307e-02,-1.025957704102833498e-06,9.999993102960238794e-05,-2.033604491725940761e+03
1.200240048009602019e-05,9.985147688587092446e-05,-2.463586724744485854e-02,-1.473091666528999577e-06,9.999988096342462185e-05,-2.023506437470393848e+03
1.400280056011202299e-05,9.979815353645890574e-05,-2.867336783969691438e-02,-1.999151642156919185e-06,9.999981120544332942e-05,-2.013142639747297835e+03
1.600320064012802579e-05,9.973677448379900123e-05,-3.268987346693183471e-02,-2.603374904697105521e-06,9.999971853319114664e-05,-2.002516236459640368e+03
1.800360072014402859e-05,9.966738224235928542e-05,-3.668486201509064265e-02,-3.284986646061046451e-06,9.999959974237688457e-05,-1.991630380691978189e+03
2.000400080016003139e-05,9.959002036707135163e-05,-4.065781771073755796e-02,-4.043200308468788214e-06,9.999945164721148118e-05,-1.980488239556783583e+03
2.200440088017603418e-05,9.950473344362523891e-05,-4.460823104816816209e-02,-4.877218098650455106e-06,9.999927108038309182e-05,-1.969092993424600991e+03
2.400480096019204037e-05,9.941156709370596589e-05,-4.853559879822458289e-02,-5.786230854151593572e-06,9.999905489300297396e-05,-1.957447835414087876e+03
