E,P
0.000000000000000000e+00,0.000000000000000000e+00
4.000800160032006534e+04,2.000399653093343384e-04
8.001600320064013067e+04,4.000796744653352150e-04
1.200240048009601887e+05,6.001188713159812419e-04
1.600320064012802613e+05,8.001572997118750179e-04
2.000400080016003340e+05,1.000194703507555202e-03
2.400480096019203775e+05,1.200230826562808262e-03
2.800560112022404792e+05,1.400265412743980850e-03
3.200640128025605227e+05,1.600298205925290707e-03
3.600720144028805662e+05,1.800328949990139633e-03
4.000800160032006679e+05,2.000357388832424508e-03
4.400880176035207114e+05,2.200383266357847870e-03
4.800960192038407549e+05,2.400406326485230238e-03
5.201040208041608566e+05,2.600426313147822643e-03
5.601120224044809584e+05,2.800442970294615263e-03
6.001200240048009437e+05,3.000456041891648440e-03
6.401280256051210454e+05,3.200465271923327165e-03
6.801360272054411471e+05,3.400470404393726460e-03
7.201440288057611324e+05,3.600471183327904560e-03
7.601520304060812341e+05,3.800467352773213500e-03
8.001600320064013358e+05,4.000458656800606229e-03
8.401680336067213211e+05,4.200444839505950226e-03
8.801760352070414228e+05,4.400425645011332015e-03
9.201840368073615246e+05,4.600400817466369918e-03
9.601920384076815099e+05,4.800370101049522033e-03
1.000200040008001612e+06,5.000333239969394217e-03
1.040208041608321713e+06,5.200289978466047201e-03
1.080216043208641699e+06,5.400240060812304572e-03
1.120224044808961917e+06,5.600183231315065090e-03
1.160232046409281902e+06,5.800119234316598524e-03
1.200240048009601887e+06,6.000047814195864047e-03
1.240248049609922105e+06,6.199968715369813879e-03
1.280256051210242091e+06,6.399881682294689990e-03
1.320264052810562076e+06,6.599786459467342492e-03
1.360272054410882294e+06,6.799682791426524611e-03
1.400280056011202279e+06,6.999570422754204137e-03
1.440288057611522265e+06,7.199449098076860995e-03
1.480296059211842483e+06,7.399318562066800435e-03
1.520304060812162468e+06,7.599178559443440194e-03
1.560312062412482454e+06,7.799028834974629752e-03
1.600320064012802672e+06,7.998869133477946175e-03
1.640328065613122657e+06,8.198699199821990816e-03
1.680336067213442642e+06,8.398518778927692094e-03
1.720344068813762860e+06,8.598327615769616947e-03
1.760352070414082846e+06,8.798125455377250187e-03
1.800360072014402831e+06,8.997912042836312893e-03
1.840368073614723049e+06,9.197687123290053043e-03
1.880376075215043034e+06,9.397450441940534416e-03
