t,v_x,v_y,y_position,dv_x_dt
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.517640016755996875e+14
2.000400080016003324e-12,-7.036629328366313985e+02,-2.475748320589402862e+00,-1.650043819655942998e-12,-3.517552928813292500e+14
4.000800160032006648e-12,-1.407291024618961501e+03,-9.902850449572648373e+00,-1.320475168247531602e-11,-3.517291670009630000e+14
6.001200240048009971e-12,-2.110849431820171503e+03,-2.228093880121594950e+01,-4.456949052058972183e-11,-3.516856253275913125e+14
8.001600320064013295e-12,-2.814303317938334658e+03,-3.960940056277674870e+01,-1.056476303679364572e-10,-3.516246700170125000e+14
1.000200040008001581e-11,-3.517617853496420139e+03,-6.188737769450371928e+01,-2.063405443602584686e-10,-3.515463040877760625e+14
1.200240048009601994e-11,-4.220758216042289860e+03,-8.911376692963679602e+01,-3.565476087351047488e-10,-3.514505314212258125e+14
1.400280056011202407e-11,-4.923689590151830089e+03,-1.212872198050668828e+02,-5.661662019591314226e-10,-3.513373567614344375e+14
1.600320064012802659e-11,-5.626377169026109186e+03,-1.584061432628572277e+02,-8.450912510759955171e-10,-3.512067857131318750e+14
1.800360072014402911e-11,-6.328786159016872261e+03,-2.004686993694000705e+02,-1.203213945304951631e-09,-3.510588247427600625e+14
2.000400080016003162e-11,-7.030881780505952520e+03,-2.474728062274617457e+02,-1.650421486294068101e-09,-3.508934811762546250e+14
2.200440088017603737e-11,-7.732629269366382687e+03,-2.994161550880366462e+02,-2.196596678678606414e-09,-3.507107631640252500e+14
2.400480096019203989e-11,-8.433993878486158792e+03,-3.562964057204529809e+02,-2.851617583834047172e-09,-3.505106794883874375e+14
2.600520104020804240e-11,-9.134940878404819159e+03,-4.181134361166467670e+02,-3.625358955111512196e-09,-3.502932392211775000e+14
2.800560112022404815e-11,-9.835435570614692551e+03,-4.848889158146242835e+02,-4.527709790162262610e-09,-3.500584764539767500e+14
3.000600120024005066e-11,-1.053544360783750926e+04,-5.568124292442970500e+02,-5.568718452833623510e-09,-3.498068996181522500e+14
3.200640128025605318e-11,-1.123493528321636222e+04,-6.351823080187923551e+02,-6.759600668669836077e-09,-3.495446978171784375e+14
3.400680136027205570e-11,-1.193392937402804273e+04,-7.277325347366986534e+02,-8.118860465941708448e-09,-3.493329741688611250e+14
3.600720144028805821e-11,-1.263287332139518730e+04,-8.662879206477113030e+02,-9.702134582492712093e-09,-3.496538592928024375e+14
3.800760152030406073e-11,-1.333297554552351903e+04,-9.599018898055334148e+02,-1.155247961243687442e-08,-3.500755164571226875e+14
4.000800160032006324e-11,-1.403318299025737178e+04,-1.008055876907332618e+03,-1.352043131170965293e-08,-3.499910128721258750e+14
4.200840168033607222e-11,-1.473321673979801017e+04,-1.058660942731716887e+03,-1.558715090558451073e-08,-3.499020078042881250e+14
4.400880176035207474e-11,-1.543306811164496867e+04,-1.111728642164694975e+03,-1.775756387831499128e-08,-3.498086714338367500e+14
4.600920184036807725e-11,-1.613272844210336370e+04,-1.167258317458602050e+03,-2.003659611778038092e-08,-3.497110049210058125e+14
4.800960192038407977e-11,-1.683218907011186820e+04,-1.225249280350117033e+03,-2.242917201907130127e-08,-3.496090094799354375e+14
5.001000200040008229e-11,-1.753144133735308424e+04,-1.285700812064645106e+03,-2.494021442189234656e-08,-3.495026863786746875e+14
5.201040208041608480e-11,-1.823047658825356484e+04,-1.348612163316316582e+03,-2.757464461056205380e-08,-3.493920369391928125e+14
5.401080216043208732e-11,-1.892928616998378129e+04,-1.413982554307988266e+03,-3.033738231401292600e-08,-3.492770625373886875e+14
5.601120224044809630e-11,-1.962786143245815765e+04,-1.481811174731242090e+03,-3.323334570579140568e-08,-3.491577646031022500e+14
5.801160232046409881e-11,-2.032619372900830422e+04,-1.552097183798691958e+03,-3.626745102270704544e-08,-3.490341446200673125e+14
6.001200240048010133e-11,-2.102427442099449763e+04,-1.624839710459940079e+03,-3.944460995270703532e-08,-3.489062041255424375e+14
6.201240248049610384e-11,-2.172209486525818647e+04,-1.700037852815695942e+03,-4.276973674257757250e-08,-3.487739447113524375e+14
6.401280256051210636e-11,-2.241964642057259334e+04,-1.777690678459801802e+03,-4.624774454533926282e-08,-3.486373680232964375e+14
6.601320264052810888e-11,-2.311692044996987534e+04,-1.857797224593574811e+03,-4.988354410218457122e-08,-3.484964757609579375e+14
6.801360272054411139e-11,-2.381390832074113860e+04,-1.940356498025807014e+03,-5.368204374247785485e-08,-3.483512696777141250e+14
7.001400280056011391e-11,-2.451060140443643104e+04,-2.025367475172766262e+03,-5.764814938375535639e-08,-3.482017515807468125e+14
7.201440288057611642e-11,-2.520699107686474599e+04,-2.112829102058195531e+03,-6.178676453172521077e-08,-3.480479233310523125e+14
7.401480296059211894e-11,-2.590306871809401491e+04,-2.202740294313313370e+03,-6.610279028026741198e-08,-3.478897868434520625e+14
7.601520304060812146e-11,-2.659882571245111831e+04,-2.295099937176813000e+03,-7.060112531143387270e-08,-3.477273440866026875e+14
7.801560312062412397e-11,-2.729425344852187845e+04,-2.389906885494863673e+03,-7.528666589544835147e-08,-3.475605970830060625e+14
8.001600320064012649e-11,-2.798934331915106304e+04,-2.487159963721109762e+03,-8.016430589070654535e-08,-3.473895479090195000e+14
8.201640328065614193e-11,-2.868408672144237789e+04,-2.586857965916670764e+03,-8.523893674377599727e-08,-3.472141986948656250e+14
8.401680336067214445e-11,-2.937847505675847788e+04,-2.688999655750139937e+03,-9.051544748939612250e-08,-3.470345516246422500e+14
8.601720344068814696e-11,-3.007249973072095599e+04,-2.793583766497589295e+03,-9.599872475047820865e-08,-3.468506089363320000e+14
8.801760352070414948e-11,-3.076615215321035430e+04,-2.900609001042563250e+03,-1.016936527381054951e-07,-3.466623729218111875e+14
9.001800360072015199e-11,-3.145942373836614934e+04,-3.010074031876081335e+03,-1.076051132515330405e-07,-3.464698459268583125e+14
9.201840368073615451e-11,-3.215230590458678125e+04,-3.121977501096642300e+03,-1.137379856781878423e-07,-3.462730303511608125e+14
