S,v
1.000000000000000021e-02,9.900990099009901110e-03
1.001844134890810673e-02,9.919067750414730517e-03
1.003691670615116868e-02,9.937178077493178177e-03
1.005542613444513830e-02,9.955321138096329125e-03
1.007396969662163744e-02,9.973496990173283741e-03
1.009254745562814665e-02,9.991705691771275710e-03
1.011115947452823419e-02,1.000994730103583683e-02
1.012980581650176244e-02,1.002822187621094964e-02
1.014848654484510476e-02,1.004652947563918972e-02
1.016720172297137792e-02,1.006487015776189736e-02
1.018595141441061905e-02,1.008324398111928866e-02
1.020473568281003544e-02,1.010165100435064453e-02
1.022355459193420753e-02,1.012009128619444087e-02
1.024240820566529528e-02,1.013856488548849771e-02
1.026129658800328803e-02,1.015707186117015791e-02
1.028021980306618316e-02,1.017561227227640336e-02
1.029917791509022025e-02,1.019418617794401981e-02
1.031817098843009969e-02,1.021279363740975471e-02
1.033719908755921339e-02,1.023143471001047161e-02
1.035626227706983905e-02,1.025010945518328720e-02
1.037536062167336917e-02,1.026881793246573089e-02
1.039449418620054001e-02,1.028756020149590097e-02
1.041366303560163631e-02,1.030633632201261550e-02
1.043286723494673586e-02,1.032514635385556670e-02
1.045210684942589514e-02,1.034399035696546149e-02
1.047138194434940432e-02,1.036286839138419492e-02
1.049069258514798327e-02,1.038178051725498208e-02
1.051003883737301921e-02,1.040072679482252800e-02
1.052942076669679400e-02,1.041970728443318041e-02
1.054883843891268533e-02,1.043872204653507017e-02
1.056829191993540959e-02,1.045777114167827614e-02
1.058778127580123525e-02,1.047685463051497602e-02
1.060730657266820663e-02,1.049597257379959736e-02
1.062686787681639024e-02,1.051512503238898749e-02
1.064646525464806211e-02,1.053431206724254367e-02
1.066609877268796282e-02,1.055353373942238999e-02
1.068576849758350912e-02,1.057279011009351101e-02
1.070547449610502466e-02,1.059208124052392341e-02
1.072521683514597590e-02,1.061140719208483914e-02
1.074499558172317855e-02,1.063076802625079025e-02
1.076481080297704042e-02,1.065016380459980934e-02
1.078466256617178001e-02,1.066959458881357355e-02
1.080455093869567805e-02,1.068906044067758146e-02
1.082447598806126829e-02,1.070856142208126936e-02
1.084443778190559426e-02,1.072809759501820726e-02
1.086443638799043307e-02,1.074766902158623416e-02
1.088447187420251393e-02,1.076727576398760905e-02
1.090454430855377840e-02,1.078691788452919818e-02
1.092465375918157296e-02,1.080659544562259655e-02
1.094480029434890568e-02,1.082630850978430655e-02
1.096498398244467008e-02,1.084605713963588368e-02
1.098520489198387060e-02,1.086584139790409444e-02
1.100546309160788279e-02,1.088566134742109670e-02
1.102575865008464592e-02,1.090551705112456464e-02
1.104609163630892489e-02,1.092540857205785872e-02
1.106646211930253400e-02,1.094533597337019222e-02
1.108687016821456942e-02,1.096529931831678045e-02
1.110731585232166245e-02,1.098529867025900726e-02
1.112779924102818251e-02,1.100533409266456902e-02
1.114832040386649903e-02,1.102540564910764812e-02
1.116887941049720702e-02,1.104551340326906557e-02
1.118947633070935602e-02,1.106565741893642679e-02
1.121011123442071725e-02,1.108583776000432800e-02
1.123078419167798138e-02,1.110605449047444813e-02
1.125149527265702047e-02,1.112630767445575361e-02
1.127224454766311869e-02,1.114659737616464918e-02
1.129303208713120996e-02,1.116692365992513064e-02
1.131385796162613297e-02,1.118728659016895652e-02
1.133472224184284283e-02,1.120768623143579036e-02
1.135562499860667471e-02,1.122812264837338460e-02
1.137656630287356592e-02,1.124859590573770891e-02
1.139754622573031090e-02,1.126910606839314280e-02
1.141856483839480754e-02,1.128965320131262648e-02
1.143962221221627579e-02,1.131023736957781529e-02
1.146071841867551781e-02,1.133085863837923757e-02
1.148185352938514703e-02,1.135151707301645593e-02
1.150302761608986389e-02,1.137221273889826856e-02
1.152424075066665540e-02,1.139294570154280456e-02
1.154549300512506226e-02,1.141371602657772523e-02
1.156678445160742343e-02,1.143452377974038710e-02
1.158811516238911384e-02,1.145536902687798592e-02
1.160948520987880803e-02,1.147625183394774748e-02
1.163089466661869527e-02,1.149717226701705078e-02
1.165234360528475191e-02,1.151813039226362405e-02
1.167383209868697209e-02,1.153912627597568526e-02
1.169536021976962104e-02,1.156015998455211732e-02
1.171692804161149695e-02,1.158123158450264159e-02
1.173853563742615139e-02,1.160234114244794966e-02
1.176018308056215288e-02,1.162348872511989248e-02
1.178187044450334023e-02,1.164467439936163647e-02
1.180359780286905323e-02,1.166589823212781617e-02
1.182536522941442063e-02,1.168716029048472854e-02
1.184717279803056307e-02,1.170846064161046481e-02
1.186902058274487415e-02,1.172979935279508043e-02
1.189090865772126498e-02,1.175117649144078076e-02
1.191283709726040536e-02,1.177259212506205112e-02
1.193480597580000649e-02,1.179404632128586150e-02
1.195681536791503609e-02,1.181553914785180015e-02
1.197886534831798903e-02,1.183707067261224356e-02
1.200095599185914061e-02,1.185864096353252822e-02
1.202308737352681019e-02,1.188025008869112754e-02
1.204525956844759715e-02,1.190189811627978891e-02
1.206747265188664285e-02,1.192358511460372104e-02
1.208972669924789078e-02,1.194531115208174489e-02
1.211202178607433295e-02,1.196707629724646886e-02
1.213435798804829262e-02,1.198888061874447443e-02
1.215673538099163939e-02,1.201072418533642716e-02
1.217915404086607895e-02,1.203260706589730222e-02
1.220161404377339762e-02,1.205452932941651276e-02
1.222411546595572086e-02,1.207649104499808508e-02
1.224665838379578736e-02,1.209849228186084952e-02
1.226924287381718492e-02,1.212053310933856876e-02
1.229186901268462112e-02,1.214261359688012867e-02
1.231453687720418869e-02,1.216473381404970140e-02
1.233724654432360839e-02,1.218689383052690145e-02
1.235999809113252912e-02,1.220909371610699040e-02
1.238279159486274129e-02,1.223133354070098794e-02
1.240562713288846479e-02,1.225361337433587827e-02
1.242850478272661263e-02,1.227593328715477668e-02
1.245142462203703906e-02,1.229829334941707174e-02
1.247438672862283791e-02,1.232069363149864392e-02
1.249739118043055597e-02,1.234313420389196621e-02
1.252043805555049828e-02,1.236561513720632784e-02
1.254352743221697278e-02,1.238813650216798005e-02
1.256665938880855912e-02,1.241069836962029917e-02
1.258983400384839496e-02,1.243330081052398429e-02
1.261305135600440663e-02,1.245594389595718922e-02
1.263631152408960061e-02,1.247862769711571493e-02
1.265961458706232716e-02,1.250135228531317096e-02
1.268296062402653884e-02,1.252411773198114885e-02
1.270634971423208366e-02,1.254692410866940083e-02
1.272978193707494272e-02,1.256977148704598556e-02
1.275325737209751301e-02,1.259265993889745368e-02
1.277677609898888143e-02,1.261558953612901268e-02
1.280033819758510244e-02,1.263856035076472289e-02
1.282394374786944603e-02,1.266157245494762412e-02
1.284759282997268576e-02,1.268462592093993167e-02
1.287128552417336758e-02,1.270772082112320983e-02
1.289502191089807528e-02,1.273085722799851931e-02
1.291880207072173062e-02,1.275403521418663755e-02
1.294262608436782744e-02,1.277725485242817323e-02
1.296649403270872664e-02,1.280051621558376748e-02
1.299040599676593195e-02,1.282381937663425696e-02
1.301436205771035887e-02,1.284716440868085598e-02
1.303836229686262428e-02,1.287055138494531958e-02
1.306240679569329981e-02,1.289398037877011703e-02
1.308649563582320145e-02,1.291745146361859831e-02
1.311062889902366371e-02,1.294096471307517454e-02
1.313480666721681886e-02,1.296452020084548629e-02
1.315902902247588491e-02,1.298811800075658739e-02
1.318329604702542408e-02,1.301175818675709764e-02
1.320760782324163080e-02,1.303544083291738667e-02
1.323196443365260745e-02,1.305916601342973875e-02
1.325636596093867151e-02,1.308293380260855919e-02
1.328081248793259485e-02,1.310674427489048888e-02
1.330530409761990565e-02,1.313059750483463149e-02
1.332984087313917286e-02,1.315449356712269403e-02
1.335442289778227681e-02,1.317843253655917243e-02
1.337905025499471802e-02,1.320241448807153890e-02
1.340372302837586349e-02,1.322643949671038592e-02
1.342844130167925379e-02,1.325050763764962398e-02
1.345320515881288405e-02,1.327461898618664121e-02
1.347801468383947807e-02,1.329877361774248722e-02
1.350286996097680575e-02,1.332297160786205872e-02
1.352777107459792252e-02,1.334721303221423662e-02
1.355271810923148849e-02,1.337149796659210452e-02
1.357771114956204429e-02,1.339582648691308581e-02
1.360275028043029383e-02,1.342019866921914141e-02
1.362783558683342000e-02,1.344461458967696234e-02
1.365296715392533104e-02,1.346907432457808591e-02
1.367814506701697796e-02,1.349357795033913864e-02
1.370336941157663385e-02,1.351812554350195587e-02
1.372864027323018356e-02,1.354271718073379524e-02
1.375395773776143596e-02,1.356735293882750833e-02
1.377932189111237722e-02,1.359203289470169336e-02
1.380473281938348826e-02,1.361675712540089123e-02
1.383019060883403269e-02,1.364152570809575894e-02
1.385569534588233960e-02,1.366633872008323099e-02
1.388124711710612448e-02,1.369119623878673093e-02
1.390684600924274594e-02,1.371609834175631197e-02
1.393249210918952145e-02,1.374104510666884077e-02
1.395818550400402223e-02,1.376603661132819179e-02
1.398392628090435776e-02,1.379107293366540685e-02
1.400971452726949666e-02,1.381615415173888597e-02
1.403555033063953218e-02,1.384128034373455392e-02
1.406143377871599438e-02,1.386645158796603883e-02
1.408736495936214854e-02,1.389166796287485094e-02
1.411334396060328483e-02,1.391692954703055776e-02
1.413937087062704621e-02,1.394223641913099054e-02
1.416544577778368168e-02,1.396758865800236220e-02
1.419156877058637932e-02,1.399298634259950151e-02
1.421773993771155778e-02,1.401842955200600753e-02
1.424395936799915593e-02,1.404391836543441262e-02
1.427022715045297291e-02,1.406945286222641318e-02
1.429654337424091787e-02,1.409503312185298243e-02
1.432290812869534483e-02,1.412065922391460282e-02
1.434932150331334061e-02,1.414633124814139269e-02
1.437578358775705965e-02,1.417204927439335085e-02
1.440229447185398595e-02,1.419781338266047979e-02
1.442885424559726265e-02,1.422362365306298684e-02
1.445546299914599042e-02,1.424948016585145943e-02
1.448212082282553104e-02,1.427538300140704375e-02
1.450882780712784044e-02,1.430133224024164769e-02
1.453558404271172895e-02,1.432732796299807619e-02
1.456238962040320474e-02,1.435337025045024285e-02
1.458924463119576180e-02,1.437945918350333821e-02
1.461614916625072341e-02,1.440559484319402922e-02
1.464310331689749889e-02,1.443177731069059978e-02
1.467010717463393572e-02,1.445800666729317105e-02
1.469716083112661102e-02,1.448428299443386448e-02
1.472426437821114029e-02,1.451060637367696665e-02
1.475141790789251915e-02,1.453697688671915129e-02
1.477862151234539401e-02,1.456339461538962328e-02
1.480587528391439506e-02,1.458985964165030423e-02
1.483317931511445378e-02,1.461637204759603549e-02
1.486053369863109958e-02,1.464293191545472210e-02
1.488793852732081362e-02,1.466953932758757392e-02
1.491539389421129083e-02,1.469619436648921494e-02
1.494289989250179029e-02,1.472289711478791049e-02
1.497045661556344401e-02,1.474964765524573902e-02
1.499806415693956570e-02,1.477644607075876727e-02
1.502572261034599427e-02,1.480329244435724979e-02
1.505343206967137658e-02,1.483018685920579026e-02
1.508119262897750744e-02,1.485712939860352189e-02
1.510900438249964187e-02,1.488412014598431213e-02
1.513686742464681254e-02,1.491115918491692054e-02
1.516478185000218019e-02,1.493824659910521213e-02
1.519274775332330081e-02,1.496538247238829791e-02
1.522076522954248987e-02,1.499256688874075517e-02
1.524883437376712766e-02,1.501979993227278189e-02
1.527695528127997852e-02,1.504708168723039446e-02
1.530512804753954119e-02,1.507441223799562031e-02
1.533335276818033333e-02,1.510179166908666090e-02
1.536162953901324367e-02,1.512922006515807910e-02
1.538995845602584601e-02,1.515669751100099175e-02
1.541833961538272360e-02,1.518422409154323444e-02
1.544677311342581953e-02,1.521179989184958357e-02
1.547525904667472300e-02,1.523942499712189168e-02
1.550379751182703013e-02,1.526709949269930248e-02
1.553238860575865445e-02,1.529482346405842443e-02
1.556103242552415652e-02,1.532259699681350236e-02
1.558972906835710305e-02,1.535042017671664830e-02
1.561847863167034611e-02,1.537829308965795762e-02
1.564728121305639097e-02,1.540621582166574847e-02
1.567613691028771350e-02,1.543418845890670750e-02
1.570504582131709154e-02,1.546221108768610492e-02
1.573400804427796396e-02,1.549028379444796974e-02
1.576302367748471170e-02,1.551840666577526152e-02
1.579209281943303941e-02,1.554657978839006117e-02
1.582121556880027383e-02,1.557480324915376177e-02
1.585039202444572803e-02,1.560307713506724724e-02
1.587962228541103804e-02,1.563140153327110052e-02
1.590890645092045766e-02,1.565977653104573195e-02
1.593824462038124362e-02,1.568820221581163077e-02
