S,pH,v0
3.532865477273157495e+01,9.311225331873130173e+00,1.509610088951667484e+00
3.035184611685489919e+00,8.143872709238099361e+00,4.466122334924631510e-01
6.575364482064197658e-01,6.892042302164906431e+00,1.010846124729088691e-01
5.584074676775667712e-01,8.077048795837129092e+00,8.753951091126986606e-02
1.148065569061329398e+02,9.014552509389925916e+00,4.216863978517067402e+00
2.232449180056518685e+02,4.799446761631022795e+00,1.060527283985182256e+00
2.884617611676058857e+01,8.048826233616230397e+00,3.508454733448252316e+00
6.557890579834305811e+01,7.317324842849401101e+00,6.511464149120481437e+00
1.893050823230619528e+01,7.801893093820238434e+00,2.542546441081067421e+00
2.591608495612751426e+02,5.562110592567821143e+00,5.773186317612378105e+00
1.168063056166005254e+02,9.488823668276335610e+00,2.113509699136096209e+00
5.092371943918793109e-01,7.055963100225492113e+00,8.141308427810420301e-02
1.542026277354496528e+02,7.443501935631127608e+00,8.979916754502790255e+00
6.258524428322135291e-01,7.594760362527519071e+00,1.036195796981146250e-01
6.564859333604118774e+01,5.235968770684824136e+00,1.276684622101546651e+00
1.617759942714726007e+00,4.935223564326777002e+00,1.064303800563872610e-02
1.602714222183116988e+02,7.771512799752386513e+00,8.853838557509558171e+00
1.865866860005978722e+01,5.200228474845922655e+00,3.032163857992308253e-01
3.707324427404460998e+00,4.890053858156638178e+00,2.098565504345838162e-02
8.434688411755011828e+00,7.403675741574332392e+00,1.243231569710735673e+00
6.042053383313470416e-01,9.796526496052214483e+00,1.472115198179790863e-02
1.147560364826275325e+00,9.265075013194643105e+00,7.061983371567043255e-02
4.424386185812694094e+01,7.028093506450295180e+00,5.054195674083188372e+00
3.782852389796308046e+01,8.281418593019402863e+00,4.050477404722338193e+00
3.058358272349052243e+01,5.347157459040856153e+00,7.700360464167799179e-01
6.498609937760162047e+00,5.380557373631578599e+00,1.586279713851629358e-01
3.926089393372878362e+02,7.415193304056967527e+00,1.058884607144910639e+01
3.519032317262297056e+02,9.229005312378715686e+00,4.013031227135223311e+00
4.888325032721121488e+01,9.684440265996560271e+00,9.871251777543050832e-01
3.866444817277739787e+01,9.227834120505567839e+00,1.827727304622292603e+00
4.984169628392416485e+01,5.319466080107970285e+00,1.199893945539420859e+00
6.730446803752113460e+00,9.504751483883772778e+00,2.563274472528181969e-01
1.233579988028203012e+00,5.249680194646623832e+00,2.130411039023320449e-02
6.216065477312409371e+01,7.698512765819843118e+00,6.242401508091914408e+00
1.675409129129879560e+01,8.720849270175238033e+00,1.607227587777351197e+00
3.977682245211706658e+00,5.679980666065002737e+00,1.873530619942285758e-01
