S,I,v
1.277553757769693910e+01,8.852042219788549104e+00,2.493254192576333517e-01
5.468755603901018780e+00,6.906454515396832861e+00,2.026134640266820386e-01
9.153731263302742338e-01,4.820070503608178569e+00,7.736644880282242398e-02
4.288999470177289330e-01,6.795081326395216337e+00,2.416080757558843398e-02
1.628407776008542029e+01,8.357587515649877119e+00,2.914491531539137870e-01
1.826383598782665985e+01,1.332411269385038732e+00,6.835144570189528590e-01
1.217205193776687899e+01,6.748043722693718216e+00,3.143392766626645907e-01
1.461698156358156631e+01,5.528874738082335760e+00,3.900185742293590940e-01
1.091813733016191357e+01,6.336488489700398574e+00,3.174323245484755307e-01
1.870794123337658732e+01,2.603517654279701166e+00,5.839363831448044495e-01
1.633548572701849011e+01,9.148039447127228385e+00,2.685295711243657624e-01
1.544961533859470770e-01,5.093271833709154706e+00,1.341697179983801676e-02
1.716234510409262981e+01,5.739169892718546606e+00,3.965023038546879874e-01
7.683529485787405910e-01,5.991267270879197859e+00,4.987710940206113025e-02
1.462014338395588631e+01,2.059947951141372968e+00,6.174587362044946515e-01
3.595546849990923999e+00,1.558705940544627966e+00,4.905324897300018527e-01
1.727726055476274070e+01,6.285854666253976930e+00,3.730721033816152832e-01
1.087507828295692391e+01,2.000380791409871684e+00,6.030364099733444005e-01
6.064266621693956694e+00,1.483423096927730667e+00,5.913392820290249707e-01
8.511475701833402852e+00,5.672792902623886135e+00,3.132302881231013303e-01
6.635614557947129288e-01,9.660877493420356288e+00,2.165924218837673998e-02
2.573237202341322138e+00,8.775125021991073027e+00,8.556582312798434453e-02
1.344542585240324328e+01,5.046822510750491375e+00,4.052293299011678895e-01
1.297907128032757562e+01,7.135697655032338993e+00,3.072373785249833400e-01
1.234616371847695149e+01,2.245262431734760256e+00,5.908391200595753956e-01
7.735183329811479602e+00,2.300928956052631591e+00,5.344521090230727189e-01
1.994447772220529913e+01,5.691988840094945878e+00,4.116812285132453453e-01
1.961862324164697569e+01,8.715008853964526736e+00,2.996561115032705946e-01
1.374228549116582343e+01,9.474067109994267710e+00,2.407717845074680285e-01
1.304413959772954357e+01,8.713056867509280323e+00,2.557293481986207540e-01
1.380008993836170639e+01,2.199110133513284548e+00,6.024757969557202886e-01
7.839536337184164871e+00,9.174585806472954630e+00,1.837861120715643948e-01
2.788420449945983037e+00,2.082800324411039128e+00,3.769481855469208331e-01
1.445761796986222514e+01,6.164187943033071271e+00,3.594328092242571326e-01
1.055455101726694522e+01,7.868082116958730943e+00,2.560394079115360655e-01
6.273813323623216753e+00,2.799967776775003969e+00,4.548878615706201112e-01
9.768123640752602199e+00,7.096640290187282929e+00,2.726738316118379468e-01
1.780080790354510256e+01,5.166044490456696892e+00,4.271942394692725409e-01
1.868746596752936640e+01,6.542004063198127994e+00,3.700005101807926078e-01
7.220124414510497246e+00,7.455165708162130755e+00,2.208312353068909717e-01
1.147344363152224211e+01,4.036386122803189203e+00,4.461625708131374823e-01
6.505200882411248386e+00,6.241952901145725541e+00,2.499765825173342060e-01
1.192657060097396560e+01,6.306273384994003806e+00,3.300987334227244441e-01
6.824433387591951394e+00,1.675847262024435791e+00,5.847155504436369888e-01
7.893218110510408003e+00,3.461732258681220475e+00,4.359179667050803175e-01
1.781645960489536762e+01,8.286781201842241540e-01,7.291920090118635400e-01
4.620436111314256244e+00,7.569589795216343120e+00,1.629166920664530949e-01
1.250142417925224336e+01,5.733377480904176871e+00,3.619455143365064020e-01
1.771905337289457982e+00,3.803771628749047728e+00,1.741464280944290122e-01
1.666961853830261475e+01,3.084364222243274334e-01,7.829789734633390008e-01
1.576325631902479785e+01,5.538912692544530003e+00,3.975198320608382963e-01
4.863451915559747540e+00,5.419033846047556224e+00,2.428359762346785911e-01
1.754203619313300422e+01,4.586770135407721938e+00,4.561128755051641059e-01
1.265503892623367488e+00,8.278433647392160921e+00,4.999208657926878380e-02
6.788729504858641128e+00,1.354314323272420850e-01,8.004974522016800043e-01
3.090561391207297337e+00,9.224155802533029913e+00,9.287093805268577251e-02
9.061753396320810339e+00,9.737136906462106722e+00,1.872032404486083934e-01
1.594685297871715512e+01,1.494313510444074122e+00,6.696491860438887889e-01
4.689779958975573315e+00,8.706553578205101118e+00,1.385039109881817110e-01
1.135223891181751155e+00,6.147430576426695659e+00,6.858698540570795643e-02
8.150581612448410951e+00,9.103793266266945849e+00,1.899254953916433564e-01
