E_T,substrate_bound_fraction,v_dim
3.221112267875126278e+00,8.466837997809694150e-01,3.863347506090631933e-01
1.421954897442964549e+00,6.715809063857148820e-01,8.364971617984238994e-02
3.007702672873540095e-01,4.838063453247359869e-01,3.880440419138703537e-03
1.809854140897925734e-01,6.615573193755693859e-01,2.019264314940639755e-03
4.085024172081334726e+00,8.021828764084888430e-01,4.902124578069460004e-01
4.572502328660836390e+00,1.699170142446534693e-01,6.956667984721037756e-02
3.072515301259181708e+00,6.573239350424345817e-01,2.478265850716692975e-01
3.674533148821592210e+00,5.475987264274101429e-01,2.373245154232513920e-01
2.763762458180572423e+00,6.202839640730357651e-01,1.984455499919647314e-01
4.681854876560064938e+00,2.843165888851730827e-01,1.299228452622462060e-01
4.097682415195508021e+00,8.733235502414503637e-01,5.669025347230509659e-01
1.134186508337256677e-01,5.083944650338237947e-01,6.250463706321322766e-04
4.301280955279089824e+00,5.665252903446691413e-01,2.995609842715861171e-01
2.645693189967753822e-01,5.892140543791277718e-01,3.718822013663355703e-03
3.675311687506725988e+00,2.353953156027235594e-01,8.065484250669539834e-02
9.607125409525392179e-01,1.902835346490165114e-01,1.121229463560091157e-02
4.329576719514444783e+00,6.157269199628578882e-01,3.428028253035868556e-01
2.753159979220549669e+00,2.300342712268884093e-01,5.698588427994103617e-02
1.568588263633185598e+00,1.835080787234957544e-01,2.196064657095502665e-02
2.171167383868526368e+00,5.605513612361497922e-01,1.249706841572069821e-01
2.387663886127685542e-01,9.194789744078319949e-01,4.791576580597837684e-03
7.089880548478634248e-01,8.397612519791964880e-01,3.302584089250210769e-02
3.386059631998788788e+00,5.042140259675441660e-01,1.917460163756781744e-01
3.271228606713825648e+00,6.922127889529104960e-01,2.904154584968254849e-01
3.115387046258144110e+00,2.520736188561283897e-01,7.289832198207277236e-02
1.980020015883229068e+00,2.570836060447367899e-01,4.325979332392683452e-02
4.986328685367134028e+00,5.622789956085451069e-01,3.493098510640298415e-01
4.906093160003528020e+00,8.343507968568073530e-01,6.647395036897996157e-01
3.459155723955404493e+00,9.026660398994840184e-01,4.711022017047052368e-01
3.287250453712299958e+00,8.341751180758351092e-01,3.886796050706507466e-01
3.473388979797606524e+00,2.479199120161955927e-01,8.062632850588964673e-02
2.005714977497608853e+00,8.757127225825658279e-01,1.993363257065541017e-01
7.619728746098149985e-01,2.374520291969935137e-01,9.766195435956526172e-03
3.635292866951000512e+00,6.047769148729763566e-01,2.709190962483055687e-01
2.674236180131057239e+00,7.581273905262857493e-01,2.523259684106646250e-01
1.620185190238882855e+00,3.019970999097503772e-01,3.972848831859932678e-02
2.480593258275766821e+00,6.886976261168553659e-01,1.982377985412147325e-01
