S,theta
1.000000000000000056e-01,1.000008999990903980e-01
1.001705231650932004e-01,1.000009046110620914e-01
1.003413371116847475e-01,1.000009092466674354e-01
1.005124423356244107e-01,1.000009139060275137e-01
1.006838393336075971e-01,1.000009185892641039e-01
1.008555286031766196e-01,1.000009232964995110e-01
1.010275106427222375e-01,1.000009280278567475e-01
1.011997859514850578e-01,1.000009327834594092e-01
1.013723550295570902e-01,1.000009375634317438e-01
1.015452183778830092e-01,1.000009423678986376e-01
1.017183764982617783e-01,1.000009471969855873e-01
1.018918298933480376e-01,1.000009520508187699e-01
1.020655790666535334e-01,1.000009569295249867e-01
1.022396245225486999e-01,1.000009618332317191e-01
1.024139667662639641e-01,1.000009667620670867e-01
1.025886063038912999e-01,1.000009717161598061e-01
1.027635436423856991e-01,1.000009766956393292e-01
1.029387792895666148e-01,1.000009817006357882e-01
1.031143137541194882e-01,1.000009867312799117e-01
1.032901475455971496e-01,1.000009917877031224e-01
1.034662811744213456e-01,1.000009968700375090e-01
1.036427151518842099e-01,1.000010019784159099e-01
1.038194499901497064e-01,1.000010071129717043e-01
1.039964862022552672e-01,1.000010122738391183e-01
1.041738243021130689e-01,1.000010174611528913e-01
1.043514648045116705e-01,1.000010226750486370e-01
1.045294082251174150e-01,1.000010279156625104e-01
1.047076550804760947e-01,1.000010331831314436e-01
1.048862058880141862e-01,1.000010384775930627e-01
1.050650611660406131e-01,1.000010437991856876e-01
1.052442214337480503e-01,1.000010491480483460e-01
1.054236872112145618e-01,1.000010545243207594e-01
1.056034590194050854e-01,1.000010599281434126e-01
1.057835373801728762e-01,1.000010653596574706e-01
1.059639228162611024e-01,1.000010708190048475e-01
1.061446158513042887e-01,1.000010763063281516e-01
1.063256170098299536e-01,1.000010818217707542e-01
1.065069268172599976e-01,1.000010873654767624e-01
1.066885457999122988e-01,1.000010929375910046e-01
1.068704744850022120e-01,1.000010985382590450e-01
1.070527134006441367e-01,1.000011041676271834e-01
1.072352630758530850e-01,1.000011098258425518e-01
1.074181240405460563e-01,1.000011155130529350e-01
1.076012968255437297e-01,1.000011212294068946e-01
1.077847819625719905e-01,1.000011269750538251e-01
1.079685799842633465e-01,1.000011327501438008e-01
1.081526914241587034e-01,1.000011385548277010e-01
1.083371168167086701e-01,1.000011443892571822e-01
1.085218566972752374e-01,1.000011502535846641e-01
1.087069116021333465e-01,1.000011561479633992e-01
1.088922820684723458e-01,1.000011620725473199e-01
1.090779686343977262e-01,1.000011680274912329e-01
1.092639718389324804e-01,1.000011740129507359e-01
1.094502922220187829e-01,1.000011800290821762e-01
1.096369303245195020e-01,1.000011860760427473e-01
1.098238866882199072e-01,1.000011921539904342e-01
1.100111618558290288e-01,1.000011982630839846e-01
1.101987563709814072e-01,1.000012044034830627e-01
1.103866707782385492e-01,1.000012105753480401e-01
1.105749056230905941e-01,1.000012167788401907e-01
1.107634614519579092e-01,1.000012230141215791e-01
1.109523388121925747e-01,1.000012292813550890e-01
1.111415382520800632e-01,1.000012355807044645e-01
1.113310603208407662e-01,1.000012419123342822e-01
1.115209055686316869e-01,1.000012482764099792e-01
1.117110745465479255e-01,1.000012546730978114e-01
1.119015678066243302e-01,1.000012611025648535e-01
1.120923859018371077e-01,1.000012675649791377e-01
1.122835293861053768e-01,1.000012740605094597e-01
1.124749988142929175e-01,1.000012805893255585e-01
1.126667947422096000e-01,1.000012871515979368e-01
1.128589177266130783e-01,1.000012937474981239e-01
1.130513683252104412e-01,1.000013003771983849e-01
1.132441470966597391e-01,1.000013070408719285e-01
1.134372546005717741e-01,1.000013137386928652e-01
1.136306913975115018e-01,1.000013204708361803e-01
1.138244580489998353e-01,1.000013272374777051e-01
1.140185551175151718e-01,1.000013340387942984e-01
1.142129831664950718e-01,1.000013408749636235e-01
1.144077427603379521e-01,1.000013477461642458e-01
1.146028344644045710e-01,1.000013546525757024e-01
1.147982588450198044e-01,1.000013615943784462e-01
1.149940164694741862e-01,1.000013685717537903e-01
1.151901079060257405e-01,1.000013755848840613e-01
1.153865337239013689e-01,1.000013826339524875e-01
1.155832944932987105e-01,1.000013897191431994e-01
1.157803907853876824e-01,1.000013968406413128e-01
1.159778231723121861e-01,1.000014039986328734e-01
1.161755922271918012e-01,1.000014111933049121e-01
1.163736985241233951e-01,1.000014184248453897e-01
1.165721426381827464e-01,1.000014256934432105e-01
1.167709251454263214e-01,1.000014329992882783e-01
1.169700466228929120e-01,1.000014403425714682e-01
1.171695076486052728e-01,1.000014477234846544e-01
1.173693088015718006e-01,1.000014551422206133e-01
1.175694506617882551e-01,1.000014625989732037e-01
1.177699338102394383e-01,1.000014700939372420e-01
1.179707588289008041e-01,1.000014776273084882e-01
1.181719263007403181e-01,1.000014851992838266e-01
1.183734368097199424e-01,1.000014928100610018e-01
1.185752909407974814e-01,1.000015004598389240e-01
1.187774892799281778e-01,1.000015081488174196e-01
1.189800324140665583e-01,1.000015158771973556e-01
1.191829209311679461e-01,1.000015236451806400e-01
1.193861554201903069e-01,1.000015314529702076e-01
1.195897364710959143e-01,1.000015393007700759e-01
1.197936646748530148e-01,1.000015471887852614e-01
1.199979406234377155e-01,1.000015551172218353e-01
1.202025649098354687e-01,1.000015630862869098e-01
1.204075381280429319e-01,1.000015710961887211e-01
1.206128608730696467e-01,1.000015791471365045e-01
1.208185337409398707e-01,1.000015872393406197e-01
1.210245573286941184e-01,1.000015953730124668e-01
1.212309322343910617e-01,1.000016035483645566e-01
1.214376590571091402e-01,1.000016117656104403e-01
1.216447383969483931e-01,1.000016200249648352e-01
1.218521708550322075e-01,1.000016283266434852e-01
1.220599570335089978e-01,1.000016366708633142e-01
1.222680975355539407e-01,1.000016450578423005e-01
1.224765929653707786e-01,1.000016534877995467e-01
1.226854439281936521e-01,1.000016619609552931e-01
1.228946510302886680e-01,1.000016704775309462e-01
1.231042148789557589e-01,1.000016790377489528e-01
1.233141360825305011e-01,1.000016876418329953e-01
1.235244152503857662e-01,1.000016962900078243e-01
1.237350529929335669e-01,1.000017049824993981e-01
1.239460499216268746e-01,1.000017137195347849e-01
1.241574066489612438e-01,1.000017225013422884e-01
1.243691237884766987e-01,1.000017313281513498e-01
1.245812019547594546e-01,1.000017402001924932e-01
1.247936417634438744e-01,1.000017491176975887e-01
1.250064438312139814e-01,1.000017580808995610e-01
1.252196087758054299e-01,1.000017670900325978e-01
1.254331372160072400e-01,1.000017761453320525e-01
1.256470297716636708e-01,1.000017852470345137e-01
1.258612870636759140e-01,1.000017943953777771e-01
1.260759097140039253e-01,1.000018035906008323e-01
1.262908983456683121e-01,1.000018128329439038e-01
1.265062535827519430e-01,1.000018221226484788e-01
1.267219760504020853e-01,1.000018314599572106e-01
1.269380663748319038e-01,1.000018408451140983e-01
1.271545251833223755e-01,1.000018502783643071e-01
1.273713531042242053e-01,1.000018597599542647e-01
1.275885507669595464e-01,1.000018692901316897e-01
1.278061188020239158e-01,1.000018788691456051e-01
1.280240578409879149e-01,1.000018884972462274e-01
1.282423685164991167e-01,1.000018981746851054e-01
1.284610514622838984e-01,1.000019079017150508e-01
1.286801073131494111e-01,1.000019176785902075e-01
1.288995367049851348e-01,1.000019275055659962e-01
1.291193402747649321e-01,1.000019373828991698e-01
1.293395186605489355e-01,1.000019473108477441e-01
1.295600725014852128e-01,1.000019572896711229e-01
1.297810024378117655e-01,1.000019673196299863e-01
1.300023091108584161e-01,1.000019774009863749e-01
1.302239931630485015e-01,1.000019875340036613e-01
1.304460552379008986e-01,1.000019977189466058e-01
1.306684959800317736e-01,1.000020079560812736e-01
1.308913160351566074e-01,1.000020182456751172e-01
1.311145160500919171e-01,1.000020285879969634e-01
1.313380966727571708e-01,1.000020389833169987e-01
1.315620585521767305e-01,1.000020494319068115e-01
1.317864023384816285e-01,1.000020599340393640e-01
1.320111286829116770e-01,1.000020704899890478e-01
1.322362382378170498e-01,1.000020811000316423e-01
1.324617316566603642e-01,1.000020917644443147e-01
1.326876095940185407e-01,1.000021024835057309e-01
1.329138727055847735e-01,1.000021132574958893e-01
1.331405216481702791e-01,1.000021240866962452e-01
1.333675570797063503e-01,1.000021349713897667e-01
1.335949796592461603e-01,1.000021459118608097e-01
1.338227900469667331e-01,1.000021569083951595e-01
1.340509889041708314e-01,1.000021679612801556e-01
1.342795768932889544e-01,1.000021790708045394e-01
1.345085546778811425e-01,1.000021902372585370e-01
1.347379229226389752e-01,1.000022014609339011e-01
1.349676822933874865e-01,1.000022127421238555e-01
1.351978334570871354e-01,1.000022240811231089e-01
1.354283770818355825e-01,1.000022354782279105e-01
1.356593138368698825e-01,1.000022469337360081e-01
1.358906443925682606e-01,1.000022584479466625e-01
1.361223694204519719e-01,1.000022700211607302e-01
1.363544895931876055e-01,1.000022816536805387e-01
1.365870055845885833e-01,1.000022933458099977e-01
1.368199180696174633e-01,1.000023050978545713e-01
1.370532277243876607e-01,1.000023169101212916e-01
1.372869352261656961e-01,1.000023287829187590e-01
1.375210412533728055e-01,1.000023407165571421e-01
1.377555464855871881e-01,1.000023527113482052e-01
1.379904516035458661e-01,1.000023647676053645e-01
1.382257572891466002e-01,1.000023768856435347e-01
1.384614642254501093e-01,1.000023890657793513e-01
1.386975730966817366e-01,1.000024013083310043e-01
1.389340845882336695e-01,1.000024136136183073e-01
1.391709993866667439e-01,1.000024259819628086e-01
1.394083181797127480e-01,1.000024384136875832e-01
1.396460416562760043e-01,1.000024509091174407e-01
1.398841705064356455e-01,1.000024634685788144e-01
1.401227054214476131e-01,1.000024760923998307e-01
1.403616470937464888e-01,1.000024887809102814e-01
1.406009962169476601e-01,1.000025015344416929e-01
1.408407534858493737e-01,1.000025143533272154e-01
1.410809195964345675e-01,1.000025272379017616e-01
1.413214952458729801e-01,1.000025401885019649e-01
1.415624811325232879e-01,1.000025532054661381e-01
1.418038779559349372e-01,1.000025662891343703e-01
1.420456864168503086e-01,1.000025794398484713e-01
1.422879072172066883e-01,1.000025926579519997e-01
1.425305410601383493e-01,1.000026059437903042e-01
1.427735886499785223e-01,1.000026192977104683e-01
1.430170506922616158e-01,1.000026327200613657e-01
1.432609278937250208e-01,1.000026462111937020e-01
