S,v_subinh
1.000000000000000000e+00,1.961964446353408942e+00
1.001705231650932060e+00,1.965246142324131418e+00
1.003413371116847363e+00,1.968533219777176102e+00
1.005124423356244190e+00,1.971825687174814323e+00
1.006838393336076054e+00,1.975123552991397746e+00
1.008555286031766141e+00,1.978426825713373693e+00
1.010275106427222402e+00,1.981735513839298024e+00
1.011997859514850662e+00,1.985049625879846236e+00
1.013723550295570819e+00,1.988369170357829008e+00
1.015452183778830175e+00,1.991694155808203970e+00
1.017183764982617866e+00,1.995024590778088136e+00
1.018918298933480404e+00,1.998360483826770340e+00
1.020655790666535445e+00,2.001701843525728108e+00
1.022396245225487110e+00,2.005048678458637212e+00
1.024139667662639530e+00,2.008400997221383655e+00
1.025886063038912832e+00,2.011758808422081657e+00
1.027635436423856907e+00,2.015122120681081430e+00
1.029387792895666287e+00,2.018490942630985163e+00
1.031143137541195021e+00,2.021865282916658124e+00
1.032901475455971552e+00,2.025245150195244648e+00
1.034662811744213373e+00,2.028630553136177017e+00
1.036427151518841905e+00,2.032021500421192339e+00
1.038194499901497148e+00,2.035418000744344535e+00
1.039964862022552783e+00,2.038820062812015443e+00
1.041738243021130605e+00,2.042227695342927252e+00
1.043514648045116511e+00,2.045640907068161152e+00
1.045294082251174261e+00,2.049059706731166219e+00
1.047076550804761030e+00,2.052484103087768741e+00
1.048862058880141834e+00,2.055914104906191753e+00
1.050650611660405964e+00,2.059349720967066588e+00
1.052442214337480531e+00,2.062790960063443091e+00
1.054236872112145784e+00,2.066237831000803826e+00
1.056034590194050882e+00,2.069690342597079180e+00
1.057835373801728762e+00,2.073148503682655353e+00
1.059639228162611024e+00,2.076612323100395674e+00
1.061446158513043025e+00,2.080081809705643270e+00
1.063256170098299647e+00,2.083556972366241489e+00
1.065069268172599948e+00,2.087037819962544560e+00
1.066885457999122933e+00,2.090524361387431806e+00
1.068704744850021982e+00,2.094016605546315191e+00
1.070527134006441505e+00,2.097514561357160634e+00
1.072352630758530934e+00,2.101018237750494677e+00
1.074181240405460480e+00,2.104527643669419579e+00
1.076012968255437352e+00,2.108042788069625750e+00
1.077847819625719739e+00,2.111563679919406855e+00
1.079685799842633687e+00,2.115090328199669134e+00
1.081526914241587090e+00,2.118622741903946061e+00
1.083371168167086562e+00,2.122160930038412108e+00
1.085218566972752319e+00,2.125704901621894738e+00
1.087069116021333270e+00,2.129254665685886838e+00
1.088922820684723680e+00,2.132810231274560930e+00
1.090779686343977373e+00,2.136371607444778942e+00
1.092639718389324832e+00,2.139938803266111744e+00
1.094502922220187635e+00,2.143511827820844928e+00
1.096369303245195104e+00,2.147090690203993013e+00
1.098238866882199183e+00,2.150675399523318543e+00
1.100111618558290427e+00,2.154265964899334751e+00
1.101987563709813989e+00,2.157862395465327765e+00
1.103866707782385381e+00,2.161464700367363712e+00
1.105749056230906024e+00,2.165072888764304260e+00
1.107634614519579230e+00,2.168686969827818611e+00
1.109523388121925747e+00,2.172306952742395936e+00
1.111415382520800632e+00,2.175932846705358692e+00
1.113310603208407690e+00,2.179564660926875508e+00
1.115209055686317008e+00,2.183202404629974058e+00
1.117110745465479171e+00,2.186846087050552168e+00
1.119015678066243247e+00,2.190495717437395129e+00
1.120923859018370994e+00,2.194151305052183254e+00
1.122835293861053962e+00,2.197812859169507860e+00
1.124749988142929258e+00,2.201480389076881483e+00
1.126667947422095972e+00,2.205153904074755200e+00
1.128589177266130728e+00,2.208833413476525731e+00
1.130513683252104329e+00,2.212518926608553205e+00
1.132441470966597530e+00,2.216210452810170484e+00
1.134372546005717686e+00,2.219908001433696043e+00
1.136306913975114963e+00,2.223611581844449958e+00
1.138244580489998325e+00,2.227321203420765006e+00
1.140185551175151524e+00,2.231036875553994214e+00
