pH,temperature,ionic_strength,k_turn
7.184808436607271531e+00,3.159821477692599387e+02,5.723268447878675502e-01,2.271647145953674283e+02
5.348933568819351336e+00,3.091725908038889088e+02,9.628612065285825361e-01,1.220899684156661920e+02
4.204867619680973334e+00,3.018702467626285966e+02,7.685431079856722691e-01,1.311875812997852542e+01
4.082638177642645694e+00,3.087827846423832625e+02,8.348009391255865053e-01,1.565776313608312442e+01
8.066351196001361856e+00,3.142515563047745673e+02,5.737404781873434167e-01,9.736740799781409805e+01
8.563777886388608707e+00,2.896634394428476185e+02,6.115069474983654274e-01,1.574985659641625979e+01
7.033178878835899539e+00,3.086181530294280151e+02,6.328710767242426982e-01,1.706375972037162398e+02
7.647482804919992105e+00,3.043510615832881854e+02,2.732780537995816994e-01,1.011143004478337843e+02
6.718124957327114011e+00,3.071777097139514012e+02,6.277645237470502737e-01,1.654922347874187949e+02
8.675362118938840794e+00,2.941123117899789463e+02,9.743323799354133286e-01,1.720846974663394136e+01
8.079267770607660992e+00,3.170181380649452763e+02,8.002297419114651200e-01,1.049143408085271005e+02
4.013692500850740252e+00,3.028264514179820139e+02,3.785376769879464920e-01,1.061405346720686538e+01
8.287021382937846070e+00,3.050870946245149185e+02,7.327468306422126876e-01,5.237474134830685557e+01
4.167927876527321551e+00,3.059694354480772063e+02,2.862178445740363175e-01,1.891259494888409165e+01
7.648277232149720106e+00,2.922098178289948009e+02,9.877608375302480148e-01,4.968661736435343812e+01
4.878278103012794631e+00,2.904554707919061798e+02,2.344522337373363130e-01,2.141125884246345734e+01
8.315894611749433452e+00,3.070004913318888953e+02,8.698361119644978379e-01,5.430491400704418226e+01
6.707306101245458230e+00,2.920013327699345496e+02,8.855080009649308748e-01,5.959354932748155420e+01
5.498559452686923699e+00,2.901919808392470372e+02,1.948557388248181588e-01,3.973008093063670287e+01
6.113436105988292013e+00,3.048547751591835890e+02,6.278838173394334365e-01,1.401498097505372016e+02
4.141598355727314384e+00,3.188130712269712603e+02,2.277336193245406704e-01,3.753293072329279312e+01
4.621416382497820052e+00,3.157129375769687272e+02,8.815821131979663106e-01,6.533438903638555928e+01
7.353122073468151498e+00,3.026638787876267429e+02,4.117709626563932357e-01,1.105760348303134890e+02
7.235947557871250879e+00,3.099749417926132082e+02,4.893241779751356796e-02,1.646001328207551069e+02
7.076925557406269718e+00,2.928584185110716476e+02,4.753636532440570495e-01,6.186234235612463550e+01
5.918387771309417289e+00,2.930532513461841972e+02,2.854447453533954793e-01,5.966819456285806211e+01
8.986049678946054442e+00,3.049219609403323261e+02,8.630177964102325738e-01,1.435680596961412903e+01
8.904176693881151294e+00,3.155025309888758329e+02,7.621548988408620717e-01,2.185649016855501969e+01
7.427709922403473719e+00,3.181592348849799237e+02,4.483384666008034536e-01,2.142262751806262600e+02
7.252296381339081499e+00,3.154956990362824740e+02,8.859596126633595414e-01,2.180233928676307471e+02
7.442233652854699955e+00,2.926968854672965108e+02,7.586448464331245756e-01,5.604948755500554824e+01
5.944607119895518821e+00,3.171110503226553305e+02,1.175556102605686964e-01,2.639959449640110734e+02
4.675482525112055754e+00,2.922898011354386654e+02,8.780241805173906178e-01,1.522812139597635017e+01
7.607441700970408505e+00,3.065746578006157392e+02,9.676797190159577289e-01,1.206122878876976472e+02
6.626771612378629328e+00,3.125382874093555756e+02,9.570144664594064376e-02,2.194560725530539003e+02
5.551209377794778632e+00,2.947998872187125130e+02,6.493496028249101659e-01,5.614039351270816525e+01
6.429176794158945718e+00,3.098382410156555125e+02,7.492540071521647249e-01,1.919671837984926981e+02
8.447439171745001474e+00,3.030811557165984595e+02,6.443313702400437215e-01,3.704835796791469704e+01
8.670217579781247963e+00,3.078970142211934444e+02,6.914627931047202525e-01,2.921199505525668272e+01
5.788975983545350701e+00,3.110930799785674594e+02,6.727444736342054477e-02,1.929504845480322217e+02
6.857649153648804230e+00,2.991273514298111422e+02,8.978482980094625310e-01,9.996357904844951747e+01
5.609346955379710842e+00,3.068468351540100230e+02,4.896390320250449402e-01,1.336740413622554797e+02
6.971500150998483747e+00,3.070719568474789867e+02,2.986749609413162920e-01,1.584612044363296661e+02
5.689556127535666086e+00,2.908654654170855451e+02,1.587041115349392684e-01,4.682980046418930442e+01
5.958095002640805937e+00,2.971160629053842968e+02,4.687215654282829713e-01,8.124819895016193527e+01
8.451371760023961954e+00,2.879003734206447689e+02,3.984236231968604214e-01,1.631666388219237973e+01
5.135787967666898268e+00,3.114935642832571716e+02,7.620694684358511051e-01,1.138426181441231648e+02
7.115935723430212079e+00,3.050668211831646204e+02,3.899836582996880074e-01,1.373984293090587698e+02
4.420076717911924469e+00,2.983132007006216782e+02,4.771152324647848775e-01,1.687614353611921203e+01
8.163220738266989684e+00,2.860795274777851205e+02,5.748435814836017066e-01,2.099508766198790610e+01
7.935491537443416732e+00,3.043861944239058630e+02,3.473509587838080614e-01,7.803471019091996652e+01
5.196847214964760653e+00,3.039666184611664335e+02,3.264916477909517445e-01,8.416175430822505632e+01
8.382421154053519174e+00,3.010536954739270072e+02,3.291662117444146274e-01,3.626675735710037429e+01
4.292840174025971400e+00,3.139745177658725765e+02,6.931542088516323696e-01,3.334436534473269376e+01
5.680585302728301755e+00,2.854740100131453460e+02,4.602539020890066279e-01,2.773300596588264355e+01
