t,S,ES,P,dS_dt
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+01
1.000200040008001647e-02,9.990524365448267474e+01,9.238432991912021164e-02,2.372015598188267037e-03,-8.975172136486564867e+00
2.000400080016003293e-02,9.981994998963270405e+01,1.710384113167354170e-01,9.011599050541928627e-03,-8.103652021252260695e+00
3.000600120024005113e-02,9.974270468054703542e+01,2.380106078519288459e-01,1.928471160100518611e-02,-7.362277683221533309e+00
4.000800160032006586e-02,9.967230677078892143e+01,2.950413871714451797e-01,3.265184203959574372e-02,-6.731443724684307739e+00
5.001000200040008059e-02,9.960773599090968844e+01,3.436101952838837015e-01,4.865381380638413716e-02,-6.194540042244884859e+00
6.001200240048010226e-02,9.954812521409095893e+01,3.849750366958283321e-01,6.689974921317849710e-02,-5.737483168983709803e+00
7.001400280056011005e-02,9.949273720269786736e+01,4.202059429761883513e-01,8.705685432591116213e-02,-5.348323831739422829e+00
8.001600320064013172e-02,9.944094495980576198e+01,4.502132925208566783e-01,1.088417476733367500e-01,-5.016917679285776366e+00
9.001800360072015339e-02,9.939221509855931913e+01,4.757718100860395816e-01,1.320130913546006535e-01,-4.734648291179636814e+00
1.000200040008001612e-01,9.934609376236679168e+01,4.975409067618309367e-01,1.563653308713340018e-01,-4.494193912097463439e+00
1.100220044008801829e-01,9.930219468313072184e+01,5.160819473648160516e-01,1.817233695044123687e-01,-4.289330519981238155e+00
1.200240048009602045e-01,9.926018906265142050e+01,5.318728932634968487e-01,2.079380440850351619e-01,-4.114765618738233321e+00
1.300260052010402123e-01,9.921979697573100054e+01,5.453207519234640754e-01,2.348822723454858097e-01,-3.965997516399728084e+00
1.400280056011202201e-01,9.918078007147822461e+01,5.567721529571458827e-01,2.624477755645806543e-01,-3.839196208954064993e+00
1.500300060012002556e-01,9.914293537498424769e+01,5.665223345192951232e-01,2.905422904964113928e-01,-3.731102483005961368e+00
1.600320064012802634e-01,9.910609001806633955e+01,5.748227863447251673e-01,3.190871955888871514e-01,-3.638942334670304479e+00
1.700340068013602712e-01,9.907009675915993796e+01,5.818877508405905230e-01,3.480154899994218898e-01,-3.560354347200678227e+00
1.800360072014403068e-01,9.903483017328672133e+01,5.878997538714340054e-01,3.772700728417934801e-01,-3.493328035099786177e+00
1.900380076015203146e-01,9.900018341107177378e+01,5.930143110351938640e-01,4.068022778929892835e-01,-3.436151474284528273e+00
2.000400080016003224e-01,9.896606544120838578e+01,5.973639330918661949e-01,4.365706256996971790e-01,-3.387366801570247166e+00
2.100420084016803579e-01,9.893239870376092426e+01,6.010615355312269870e-01,4.665397607077976794e-01,-3.345732386977854134e+00
2.200440088017603657e-01,9.889911711254731586e+01,6.042033416453453931e-01,4.966795458072867930e-01,-3.310190665091841566e+00
2.300460092018403735e-01,9.886616435389591118e+01,6.068713554253020170e-01,5.269642906787245229e-01,-3.279840763249340263e+00
2.400480096019204090e-01,9.883349243812983786e+01,6.091354675137704566e-01,5.573720943563366115e-01,-3.253915214067322204e+00
2.500500100020003891e-01,9.880106047011827286e+01,6.110552429729700918e-01,5.878842869087055334e-01,-3.231760202883334543e+00
2.600520104020804246e-01,9.876883359865901468e+01,6.126814492782662880e-01,6.184849520626648500e-01,-3.212818699312602444e+00
2.700540108021604602e-01,9.873678211998031884e+01,6.140573603762853327e-01,6.491605196433418712e-01,-3.196616071557395244e+00
2.800560112022404402e-01,9.870488071303356037e+01,6.152198691969770206e-01,6.798994177694098751e-01,-3.182747821968805901e+00
2.900580116023204758e-01,9.867310780036068252e+01,6.162004175712733067e-01,7.106917820680034303e-01,-3.170869339501043882e+00
3.000600120024005113e-01,9.864144499086897611e+01,6.170258071273856393e-01,7.415292020035931797e-01,-3.160686970789257533e+00
3.100620124024804913e-01,9.860987660061935856e+01,6.177188967481288540e-01,7.724045026324783958e-01,-3.151950345093435857e+00
3.200640128025605269e-01,9.857838926693654003e+01,6.182991642081980821e-01,8.033115688552265876e-01,-3.144446193211729135e+00
3.300660132026405624e-01,9.854697159736947754e+01,6.187832172289675636e-01,8.342451854015130452e-01,-3.137992729188782803e+00
3.400680136027205425e-01,9.851561387424249006e+01,6.191852236193933212e-01,8.652009021380882015e-01,-3.132434923132391802e+00
3.500700140028005780e-01,9.848430782287410068e+01,6.195172487170349518e-01,8.961749284088332823e-01,-3.127640791147522581e+00
3.600720144028806136e-01,9.845304637728577291e+01,6.197895966310239535e-01,9.271640260831676139e-01,-3.123497650970209261e+00
3.700740148029605936e-01,9.842182352399839829e+01,6.200110376491062558e-01,9.581654383524658147e-01,-3.119909621707587455e+00
3.800760152030406291e-01,9.839063412667853470e+01,6.201890637158111730e-01,9.891768096056220427e-01,-3.116794823209072973e+00
3.900780156031206647e-01,9.835947381361178543e+01,6.203300522726635791e-01,1.020196134115524567e+00,-3.114083575857567343e+00
4.000800160032006447e-01,9.832833885041087285e+01,6.204394517578969426e-01,1.051221697831203672e+00,-3.111716368421826751e+00
4.100820164032806803e-01,9.829722605980791172e+01,6.205218984002460747e-01,1.082252041791807562e+00,-3.109642575369530704e+00
4.200840168033607158e-01,9.826613272462421378e+01,6.205813576626689754e-01,1.113285917713080497e+00,-3.107818908949020908e+00
4.300860172034406959e-01,9.823505653739441357e+01,6.206211975769685418e-01,1.144322265028590246e+00,-3.106208612934580060e+00
4.400880176035207314e-01,9.820399551941189031e+01,6.206443068019291687e-01,1.175360173786140994e+00,-3.104780172706745223e+00
4.500900180036007669e-01,9.817294799514793624e+01,6.206531318215821047e-01,1.206398873030454233e+00,-3.103506904358624308e+00
4.600920184036807470e-01,9.814191252506441288e+01,6.206497749551675991e-01,1.237437699980385553e+00,-3.102365885316176630e+00
4.700940188037607825e-01,9.811088788886354450e+01,6.206360187186674704e-01,1.268476092417759160e+00,-3.101337684937907291e+00
