A,B,P,Q,J_net
6.405920704482397809e+00,8.863521797590664164e+00,5.723268447878676390e+00,2.024057663539287955e+00,3.441649428821795254e-01
2.770888466262316108e+00,6.937389970242864301e+00,9.628612065285825139e+00,2.582416662870791413e+00,5.897093633300174581e-02
5.056378869683274546e-01,4.871869798572096677e+00,7.685431079856723358e+00,8.410637027756122208e+00,-2.591194551566866067e-01
2.636235917324380451e-01,6.827130513131264067e+00,8.348009391255866163e+00,6.724480023041877530e+00,-2.192348005806430689e-01
8.151375368082696582e+00,8.374011640493378650e+00,5.737404781873434167e+00,1.807612546976288703e+00,3.883766769197089519e-01
9.136280215049445985e+00,1.419087156691188456e+00,6.115069474983655162e+00,7.159117455971985677e+00,-6.575690829303718066e-02
6.105694180095080803e+00,6.780563285466781664e+00,6.328710767242427870e+00,7.812216339955334377e+00,9.224055080074271273e-02
7.322015953741584759e+00,5.573585990701512394e+00,2.732780537995817216e+00,4.753947263892548847e+00,2.929352208360357923e-01
5.481887415507686434e+00,6.373123604803394571e+00,6.277645237470502515e+00,2.308956919668940788e+00,2.486927457402463570e-01
9.357216995498905732e+00,2.677482477736904176e+00,9.743323799354133286e+00,3.842419396682384747e+00,4.554852339296820013e-02
8.176950185803168125e+00,9.156559052655955711e+00,8.002297419114650978e+00,9.417446965817992677e+00,1.276903962929503700e-01
1.271111516844661560e-01,5.142339115372062786e+00,3.785376769879465364e+00,2.509612048402567908e+00,-1.080745326053364902e-01
8.588302338216937670e+00,5.781778193791360820e+00,7.327468306422127320e+00,7.853478460502171465e+00,9.753790314964369546e-02
4.324971955240971555e-01,6.031354598170405978e+00,2.862178445740363397e+00,5.576259007545086632e+00,-1.040576300089687961e-01
7.323588919656446095e+00,2.139348471629959558e+00,9.877608375302481036e+00,9.338891055874706026e+00,-1.569871527929262711e-01
1.838990643965334293e+00,1.643118881139181697e+00,2.344522337373363463e+00,9.439857808757125213e+00,-1.510877986377847926e-01
8.645471331263877346e+00,6.322996119591437925e+00,8.698361119644978601e+00,9.883448082946211244e+00,4.352607859898147830e-02
5.460466080466008343e+00,2.080376983495772603e+00,8.855080009649308082e+00,7.219257226439354191e+00,-1.518863317932662160e-01
3.067147716320109296e+00,1.568588865958453482e+00,1.948557388248181477e+00,4.675866280006361286e+00,6.858046484997718656e-03
4.284603489856818825e+00,5.716064973597648091e+00,6.278838173394334810e+00,6.769838126605471906e+00,2.421597327376959902e-02
3.803647443400833827e-01,9.664268718486153986e+00,2.277336193245406815e+00,2.553061003428574338e+00,1.383742738100083441e-02
1.330404437345683144e+00,8.787373771771161302e+00,8.815821131979664216e+00,3.383587954234384743e+00,-2.650722629865043256e-02
6.739181705466940286e+00,5.096354285642986426e+00,4.117709626563932801e+00,8.646487017601586444e+00,1.106919536797346532e-01
6.507176164585076528e+00,7.164340678482016500e+00,4.893241779751357212e-01,1.824068399571356025e+00,5.078518432034441199e-01
6.192312603664413828e+00,2.322809807417412831e+00,4.753636532440570939e+00,8.541736586042537382e+00,-4.994007720649151078e-02
3.898407787192646357e+00,2.377919666492104955e+00,2.854447453533954793e+00,5.252044695800623053e+00,3.088558023916101319e-02
9.972378364313190247e+00,5.735068951693996553e+00,8.630177964102326627e+00,9.974642756108936581e+00,5.062209469387290300e-02
9.810269853884678426e+00,8.727858765424882037e+00,7.621548988408621383e+00,4.908601099108684807e+00,2.710041480247823986e-01
6.886865646358877768e+00,9.479326438894325690e+00,4.483384666008034536e+00,1.103881231676918206e+00,4.310984121128150770e-01
6.539546835051381457e+00,8.725926298834187023e+00,8.859596126633595858e+00,4.522847768409845592e+00,1.815055901841871877e-01
6.915622632652307367e+00,2.277119032178151592e+00,7.586448464331246200e+00,3.622414584662005943e+00,2.082103457760768606e-02
3.950322097393127674e+00,9.182839948408226149e+00,1.175556102605687103e+00,6.776923392984514294e+00,3.072593919991440936e-01
1.437455399721871085e+00,2.161972321166929056e+00,8.780241805173906400e+00,3.556544272487490943e+00,-1.933899504432973759e-01
7.242734567921409017e+00,6.202546063602740745e+00,9.676797190159577511e+00,5.647827765028226032e+00,8.887565860990827293e-02
5.301007792509686567e+00,7.889401295789143731e+00,9.570144664594064654e-01,5.333626829854477336e+00,3.798282136770124162e-01
3.171394568033661265e+00,2.871968099007254249e+00,6.493496028249102103e+00,6.160226240931407027e+00,-1.189655194184811721e-01
4.909770052434711651e+00,7.125673887285410402e+00,7.492540071521648137e+00,8.541905640794993815e+00,1.565387918346003784e-02
8.905929560055103167e+00,5.214384045552129976e+00,6.443313702400437215e+00,7.805857895194785456e+00,1.070104191608142324e-01
9.347030807966872246e+00,6.576584022566146714e+00,6.914627931047202303e+00,5.291630407615728338e+00,2.150420878995903118e-01
3.642172447419795400e+00,7.480614051080509697e+00,6.727444736342054199e-01,2.410342972610368673e+00,4.077963006447093419e-01
5.758145324224633654e+00,4.096022261575157586e+00,8.978482980094625532e+00,6.201909545087866960e+00,-2.808854650511412310e-02
3.286506971651827147e+00,6.279533372134268099e+00,4.896390320250449513e+00,7.799712895969269866e+00,1.281927381224911948e-02
