T,C_S,k
3.636961687321454519e+02,8.909440108799121516e-01,2.143524898295837477e+00
3.269786713763870125e+02,7.061131789626990951e-01,2.366847536757221981e-01
3.040973523936194738e+02,5.079066978427768664e-01,6.080904684326078613e-02
3.016527635528528890e+02,6.955327260075454543e-01,2.712678111378081028e-02
3.813270239200272158e+02,8.439708139867382330e-01,7.007134628307093216e+00
3.912755577277721954e+02,1.765790705915786796e-01,1.662301782117858977e+02
3.606635775767180121e+02,6.910641536559032350e-01,2.817217595436597222e+00
3.729496560983998279e+02,5.752431001178218706e-01,8.541812991758396478e+00
3.543624991465422909e+02,6.519664065215378113e-01,2.059804440175460272e+00
3.935072423787768230e+02,2.973341771565716218e-01,8.517555415530212315e+01
3.815853554121532056e+02,9.190637474770865234e-01,6.074408329888245639e+00
3.002738500170148086e+02,5.338608242023696882e-01,3.882998064347181061e-02
3.857404276587569143e+02,5.952211398082618565e-01,1.705635249120939179e+01
3.033585575305464204e+02,6.191703907335237567e-01,3.947932140671088497e-02
3.729655446429944163e+02,2.456950553584304475e-01,3.628158816544819132e+01
3.175655620602558997e+02,1.980770643517396623e-01,1.013193947833924247e+00
3.863178922349886761e+02,6.471561932941277684e-01,1.516923351723189306e+01
3.541461220249091753e+02,2.400361751839377722e-01,1.148512128307183033e+01
3.299711890537384988e+02,1.909251942081344189e-01,2.917730117700863879e+00
3.422687221197658687e+02,5.889153257492691917e-01,1.060770204687773166e+00
3.028319671145462735e+02,9.677833618749338562e-01,1.626675439743287266e-02
3.124283276499563726e+02,8.836368770891518398e-01,4.601639905613879450e-02
3.670624414693630229e+02,5.294481385212966851e-01,6.882288638519348467e+00
3.647189511574250105e+02,7.278912772280722310e-01,3.329798674458123831e+00
3.615385111481253944e+02,2.632999310148022021e-01,1.602643534073556708e+01
3.383677554261883529e+02,2.685882508249999856e-01,3.155078379132284283e+00
3.997209935789210817e+02,5.907389398090198140e-01,3.714618797332947508e+01
3.980835338776229833e+02,8.779258411266299689e-01,1.666084821829406692e+01
3.685541984480694850e+02,9.500363754494554058e-01,2.590325721223734057e+00
3.650459276267816335e+02,8.777404024133815819e-01,2.403866718646528344e+00
3.688446730570939849e+02,2.589154626837620321e-01,2.601534841676382470e+01
3.388921423979103906e+02,9.215856516149306676e-01,3.604298926434829076e-01
3.135096505022411293e+02,2.478660308190487327e-01,4.961198816347755502e-01
3.721488340194081843e+02,6.355978545881417752e-01,6.794347027608020007e+00
3.525354322475726008e+02,7.974678011110793996e-01,1.253619301711797140e+00
3.310241875558955940e+02,3.159969387936253926e-01,1.375817502894088218e+00
3.485835358831789108e+02,7.241808275677917850e-01,1.139324674397314885e+00
3.889487834349000082e+02,5.407742265933862535e-01,2.422279924823938302e+01
3.934043515956249735e+02,6.714903860038221595e-01,2.106145741299596352e+01
3.357795196709070069e+02,7.582407422754023907e-01,4.111610590118168762e-01
3.571529830729760988e+02,4.334566816663029676e-01,5.170207286449376660e+00
3.321869391075942417e+02,6.429855256088439219e-01,4.238762197776347884e-01
3.594300030199696607e+02,6.490959715744303304e-01,2.913758356500499413e+00
3.337911225507133395e+02,2.092054898923214057e-01,3.376047650727916238e+00
3.391619000528161223e+02,3.788645645747159563e-01,1.858466457373526115e+00
3.890274352004792604e+02,1.287244214175012891e-01,2.263847486432722746e+02
3.227157593533379440e+02,7.691110305455525209e-01,1.429167704199576783e-01
3.623187144686042416e+02,5.946708606858968071e-01,4.126185818812138528e+00
3.084015343582385071e+02,4.113583047311594743e-01,1.315667157342819138e-01
3.832644147653397795e+02,7.930146011131110340e-02,2.969557742972471601e+02
3.787098307488683417e+02,5.761967057917303237e-01,1.203055396451310877e+01
3.239369442992951917e+02,5.648082153745178635e-01,2.795282577670717972e-01
3.876484230810704048e+02,4.857431628637335352e-01,2.718821884839722358e+01
3.058568034805194316e+02,8.364511965022551898e-01,2.834142929533484123e-02
3.336117060545660138e+02,6.286598607108799530e-02,1.811580000094406984e+01
3.150279466894838833e+02,9.262948012406378995e-01,5.276377676888238666e-02
3.450339366649287172e+02,9.750280061139000587e-01,5.078382097590031785e-01
3.796324270287294098e+02,1.919597834921870361e-01,7.807478280729363007e+01
3.230642208993747317e+02,8.771225899294846640e-01,1.149152602435420667e-01
3.052021301064409613e+02,6.340059047605360876e-01,4.479551294950063350e-02
3.404551839821528461e+02,9.148603602953598868e-01,4.103110928743410324e-01
3.198513044509255110e+02,7.597486273089678610e-01,1.153483899128994183e-01
3.090753045619121622e+02,6.813381836324072793e-01,5.566667942602073621e-02
3.580332385986850454e+02,7.930024199758948233e-01,1.837033380759226286e+00
3.298696132818922706e+02,3.174758676851619499e-01,1.247764726709347682e+00
3.671994877956359460e+02,5.229687696137962361e-01,7.096017183345256996e+00
3.199515443968213049e+02,5.148374047413024623e-01,2.383687282406648789e-01
3.942113110506497833e+02,2.010111148978929452e-01,1.608734123740618998e+02
3.365110168244828515e+02,2.677550124769154660e-01,2.763437826712284995e+00
3.105495279570229741e+02,6.524856116961263997e-02,2.793794536896390124e+00
3.629108151539709297e+02,8.892957561904811792e-01,2.044429217644283536e+00
3.927154553067867369e+02,9.415891416822565196e-02,3.969570456178921063e+02
3.440377154715783945e+02,1.387543634064224429e-01,1.336823041083069441e+01
3.954590493690737389e+02,7.131955567282309838e-01,2.112672818206641878e+01
3.499895813687646751e+02,8.718332138707971524e-01,8.899857872098138056e-01
3.425228624849075345e+02,7.120227963777948643e-01,7.623330683474593972e-01
3.620213452015377698e+02,7.270748614000210885e-01,2.803713001172159824e+00
3.995096505235324003e+02,4.050314463735681936e-01,7.040403349257073273e+01
3.948943674937765422e+02,7.945512539054698786e-01,1.683792241387040889e+01
3.460045139309095816e+02,7.844520549635428663e-01,8.183829302485893242e-01
3.757728845308291170e+02,3.917689750388441139e-01,1.986139186262132128e+01
3.497422695487618967e+02,9.259340922946466268e-01,7.813396090498536672e-01
3.529312160196770378e+02,4.842815077206487628e-01,3.198657810455167727e+00
3.785785700713807387e+02,6.890121908644859516e-01,8.645769359968141998e+00
3.414655849355670512e+02,4.310931215168092301e-01,1.753277553658496801e+00
3.734483571788729250e+02,5.949531349104488775e-01,8.287835502613681626e+00
3.711142877989749991e+02,1.317970425662853551e-01,8.158223007903013979e+01
3.932059686613378062e+02,4.496260013196773930e-01,4.219350846567166968e+01
3.114932633280905065e+02,7.747046146887666129e-01,5.428856300000163559e-02
