T,k_chem
2.850000000000000000e+02,8.717638462294740975e+02
2.850060012002400640e+02,8.722098403439130152e+02
2.850120024004800712e+02,8.726560170233732379e+02
2.850180036007201352e+02,8.731023763181376580e+02
2.850240048009601992e+02,8.735489182785113371e+02
2.850300060012002632e+02,8.739956429547485186e+02
2.850360072014402704e+02,8.744425503971748412e+02
2.850420084016803344e+02,8.748896406560587593e+02
2.850480096019203984e+02,8.753369137817090859e+02
2.850540108021604055e+02,8.757843698244022335e+02
2.850600120024004696e+02,8.762320088344672513e+02
2.850660132026405336e+02,8.766798308621799833e+02
2.850720144028805976e+02,8.771278359578653863e+02
2.850780156031206047e+02,8.775760241718129464e+02
2.850840168033606687e+02,8.780243955543367065e+02
2.850900180036007328e+02,8.784729501557377489e+02
2.850960192038407399e+02,8.789216880263472831e+02
2.851020204040808039e+02,8.793706092164746906e+02
2.851080216043208679e+02,8.798197137764251465e+02
2.851140228045609319e+02,8.802690017565248581e+02
2.851200240048009391e+02,8.807184732070957125e+02
2.851260252050410031e+02,8.811681281784603925e+02
2.851320264052810671e+02,8.816179667209401032e+02
2.851380276055211311e+02,8.820679888848798100e+02
2.851440288057611383e+02,8.825181947205833239e+02
2.851500300060012023e+02,8.829685842783982253e+02
2.851560312062412663e+02,8.834191576086583382e+02
2.851620324064812735e+02,8.838699147616872551e+02
2.851680336067213375e+02,8.843208557878548390e+02
2.851740348069614015e+02,8.847719807374650145e+02
2.851800360072014655e+02,8.852232896608794590e+02
2.851860372074414727e+02,8.856747826084347253e+02
2.851920384076815367e+02,8.861264596304915813e+02
2.851980396079216007e+02,8.865783207773814638e+02
2.852040408081616079e+02,8.870303660994642314e+02
2.852100420084016719e+02,8.874825956470974688e+02
2.852160432086417359e+02,8.879350094706296659e+02
2.852220444088817999e+02,8.883876076204204537e+02
2.852280456091218070e+02,8.888403901468199138e+02
2.852340468093618711e+02,8.892933571002079134e+02
2.852400480096019351e+02,8.897465085309233928e+02
2.852460492098419422e+02,8.901998444893573605e+02
2.852520504100820062e+02,8.906533650258659236e+02
2.852580516103220702e+02,8.911070701908162164e+02
2.852640528105621343e+02,8.915609600345842409e+02
2.852700540108021414e+02,8.920150346075394054e+02
2.852760552110422054e+02,8.924692939600596446e+02
2.852820564112822694e+02,8.929237381425301692e+02
2.852880576115222766e+02,8.933783672053084501e+02
2.852940588117623406e+02,8.938331811988007303e+02
2.853000600120024046e+02,8.942881801733814200e+02
2.853060612122424686e+02,8.947433641794328878e+02
2.853120624124824758e+02,8.951987332673495530e+02
2.853180636127225398e+02,8.956542874875124198e+02
2.853240648129626038e+02,8.961100268903229562e+02
2.853300660132026678e+02,8.965659515261705792e+02
2.853360672134426750e+02,8.970220614454478891e+02
2.853420684136827390e+02,8.974783566985551033e+02
2.853480696139228030e+02,8.979348373359001698e+02
2.853540708141628102e+02,8.983915034078609096e+02
2.853600720144028742e+02,8.988483549648653934e+02
2.853660732146429382e+02,8.993053920573031519e+02
2.853720744148830022e+02,8.997626147355998683e+02
2.853780756151230094e+02,9.002200230501366605e+02
2.853840768153630734e+02,9.006776170513572879e+02
2.853900780156031374e+02,9.011353967896524182e+02
2.853960792158431445e+02,9.015933623154477345e+02
2.854020804160832085e+02,9.020515136791487976e+02
2.854080816163232726e+02,9.025098509311857242e+02
2.854140828165633366e+02,9.029683741219771491e+02
2.854200840168033437e+02,9.034270833019320435e+02
2.854260852170434077e+02,9.038859785215057627e+02
2.854320864172834717e+02,9.043450598310989790e+02
2.854380876175234789e+02,9.048043272811387396e+02
2.854440888177635429e+02,9.052637809220683494e+02
2.854500900180036069e+02,9.057234208043200852e+02
2.854560912182436709e+02,9.061832469783148554e+02
2.854620924184836781e+02,9.066432594944957373e+02
2.854680936187237421e+02,9.071034584033047850e+02
2.854740948189638061e+02,9.075638437551757534e+02
2.854800960192038133e+02,9.080244156005480818e+02
2.854860972194438773e+02,9.084851739898733740e+02
2.854920984196839413e+02,9.089461189735985727e+02
2.854980996199240053e+02,9.094072506021531126e+02
2.855041008201640125e+02,9.098685689259947367e+02
2.855101020204040765e+02,9.103300739955761856e+02
2.855161032206441405e+02,9.107917658613566800e+02
2.855221044208842045e+02,9.112536445737766826e+02
2.855281056211242117e+02,9.117157101832962098e+02
2.855341068213642757e+02,9.121779627403733457e+02
2.855401080216043397e+02,9.126404022954809534e+02
2.855461092218443468e+02,9.131030288990524468e+02
2.855521104220844109e+02,9.135658426015721716e+02
2.855581116223244749e+02,9.140288434535021906e+02
2.855641128225645389e+02,9.144920315052954720e+02
2.855701140228045460e+02,9.149554068074286306e+02
2.855761152230446100e+02,9.154189694103779402e+02
2.855821164232846741e+02,9.158827193646239948e+02
2.855881176235246812e+02,9.163466567206073705e+02
2.855941188237647452e+02,9.168107815288300344e+02
2.856001200240048092e+02,9.172750938397556411e+02
2.856061212242448732e+02,9.177395937038796774e+02
2.856121224244848804e+02,9.182042811716544293e+02
2.856181236247249444e+02,9.186691562935857291e+02
2.856241248249650084e+02,9.191342191201588321e+02
2.856301260252050156e+02,9.195994697018383022e+02
2.856361272254450796e+02,9.200649080891359972e+02
2.856421284256851436e+02,9.205305343325231888e+02
2.856481296259252076e+02,9.209963484824868374e+02
2.856541308261652148e+02,9.214623505895414155e+02
2.856601320264052788e+02,9.219285407041638791e+02
2.856661332266453428e+02,9.223949188768467593e+02
2.856721344268853500e+02,9.228614851580912273e+02
2.856781356271254140e+02,9.233282395984097093e+02
2.856841368273654780e+02,9.237951822482870057e+02
2.856901380276055420e+02,9.242623131582301994e+02
2.856961392278455492e+02,9.247296323787408028e+02
2.857021404280856132e+02,9.251971399603261261e+02
2.857081416283256772e+02,9.256648359534949577e+02
2.857141428285657412e+02,9.261327204087455129e+02
2.857201440288057483e+02,9.266007933765969256e+02
2.857261452290458124e+02,9.270690549075836770e+02
2.857321464292858764e+02,9.275375050521732874e+02
2.857381476295258835e+02,9.280061438609034212e+02
2.857441488297659475e+02,9.284749713842978736e+02
2.857501500300060115e+02,9.289439876728760055e+02
2.857561512302460756e+02,9.294131927771381925e+02
2.857621524304860827e+02,9.298825867476206213e+02
2.857681536307261467e+02,9.303521696348476553e+02
2.857741548309662107e+02,9.308219414893288786e+02
2.857801560312062179e+02,9.312919023616090044e+02
2.857861572314462819e+02,9.317620523022018233e+02
2.857921584316863459e+02,9.322323913616519349e+02
2.857981596319264099e+02,9.327029195904700600e+02
2.858041608321664171e+02,9.331736370391976152e+02
2.858101620324064811e+02,9.336445437583793137e+02
2.858161632326465451e+02,9.341156397985369040e+02
2.858221644328865523e+02,9.345869252102082783e+02
2.858281656331266163e+02,9.350584000439359897e+02
2.858341668333666803e+02,9.355300643502539515e+02
2.858401680336067443e+02,9.360019181797156307e+02
2.858461692338467515e+02,9.364739615828523256e+02
2.858521704340868155e+02,9.369461946102098864e+02
2.858581716343268795e+02,9.374186173123334811e+02
2.858641728345668866e+02,9.378912297397866951e+02
2.858701740348069507e+02,9.383640319431042371e+02
2.858761752350470147e+02,9.388370239728255910e+02
2.858821764352870787e+02,9.393102058795234370e+02
2.858881776355270858e+02,9.397835777137341893e+02
2.858941788357671498e+02,9.402571395260200688e+02
2.859001800360072139e+02,9.407308913669446611e+02
2.859061812362472210e+02,9.412048332870496097e+02
2.859121824364872850e+02,9.416789653369093003e+02
2.859181836367273490e+02,9.421532875670684462e+02
2.859241848369674130e+02,9.426278000281017739e+02
2.859301860372074202e+02,9.431025027705710500e+02
2.859361872374474842e+02,9.435773958450364489e+02
2.859421884376875482e+02,9.440524793020638299e+02
2.859481896379276122e+02,9.445277531922208709e+02
2.859541908381676194e+02,9.450032175660755911e+02
2.859601920384076834e+02,9.454788724742091972e+02
2.859661932386477474e+02,9.459547179671807271e+02
2.859721944388877546e+02,9.464307540955636568e+02
2.859781956391278186e+02,9.469069809099398753e+02
2.859841968393678826e+02,9.473833984608841092e+02
2.859901980396079466e+02,9.478600067989608533e+02
2.859961992398479538e+02,9.483368059747546113e+02
2.860022004400880178e+02,9.488137960388639840e+02
2.860082016403280818e+02,9.492909770418425524e+02
2.860142028405680890e+02,9.497683490342818686e+02
2.860202040408081530e+02,9.502459120667696197e+02
2.860262052410482170e+02,9.507236661899038381e+02
2.860322064412882810e+02,9.512016114542411742e+02
2.860382076415282881e+02,9.516797479103872774e+02
2.860442088417683522e+02,9.521580756089313127e+02
2.860502100420084162e+02,9.526365946004654006e+02
2.860562112422484233e+02,9.531153049355684743e+02
2.860622124424884873e+02,9.535942066648464106e+02
2.860682136427285513e+02,9.540732998388846227e+02
2.860742148429686154e+02,9.545525845082946717e+02
2.860802160432086225e+02,9.550320607236518526e+02
2.860862172434486865e+02,9.555117285355609056e+02
2.860922184436887505e+02,9.559915879946275936e+02
2.860982196439287577e+02,9.564716391514521092e+02
2.861042208441688217e+02,9.569518820566340764e+02
2.861102220444088857e+02,9.574323167607694813e+02
2.861162232446489497e+02,9.579129433144779568e+02
2.861222244448889569e+02,9.583937617683448025e+02
2.861282256451290209e+02,9.588747721729890827e+02
2.861342268453690849e+02,9.593559745790172428e+02
2.861402280456091489e+02,9.598373690370538043e+02
2.861462292458491561e+02,9.603189555976808833e+02
2.861522304460892201e+02,9.608007343115197045e+02
2.861582316463292841e+02,9.612827052291855807e+02
2.861642328465692913e+02,9.617648684012959848e+02
2.861702340468093553e+02,9.622472238784691854e+02
2.861762352470494193e+02,9.627297717113158342e+02
2.861822364472894833e+02,9.632125119504464692e+02
2.861882376475294905e+02,9.636954446464915236e+02
2.861942388477695545e+02,9.641785698500643775e+02
2.862002400480096185e+02,9.646618876117848913e+02
2.862062412482496256e+02,9.651453979822902056e+02
2.862122424484896897e+02,9.656291010121922227e+02
2.862182436487297537e+02,9.661129967520970467e+02
2.862242448489698177e+02,9.665970852526537556e+02
2.862302460492098248e+02,9.670813665644848243e+02
2.862362472494498888e+02,9.675658407382214818e+02
2.862422484496899528e+02,9.680505078244925699e+02
2.862482496499299600e+02,9.685353678739148791e+02
2.862542508501700240e+02,9.690204209371232764e+02
2.862602520504100880e+02,9.695056670647683177e+02
2.862662532506501520e+02,9.699911063074573576e+02
2.862722544508901592e+02,9.704767387158393603e+02
2.862782556511302232e+02,9.709625643405598794e+02
2.862842568513702872e+02,9.714485832322390024e+02
2.862902580516102944e+02,9.719347954415102322e+02
2.862962592518503584e+02,9.724212010190219644e+02
2.863022604520904224e+02,9.729078000154238453e+02
2.863082616523304864e+02,9.733945924813529018e+02
2.863142628525704936e+02,9.738815784674203542e+02
2.863202640528105576e+02,9.743687580243105231e+02
2.863262652530506216e+02,9.748561312026506585e+02
2.863322664532906856e+02,9.753436980530800611e+02
2.863382676535306928e+02,9.758314586262423518e+02
2.863442688537707568e+02,9.763194129728005919e+02
2.863502700540108208e+02,9.768075611434067014e+02
2.863562712542508280e+02,9.772959031886746288e+02
2.863622724544908920e+02,9.777844391592808506e+02
2.863682736547309560e+02,9.782731691058824026e+02
2.863742748549710200e+02,9.787620930791312048e+02
2.863802760552110271e+02,9.792512111296553030e+02
2.863862772554510912e+02,9.797405233081333336e+02
2.863922784556911552e+02,9.802300296652069846e+02
2.863982796559311623e+02,9.807197302515318142e+02
2.864042808561712263e+02,9.812096251177874819e+02
2.864102820564112903e+02,9.816997143146047620e+02
2.864162832566513543e+02,9.821899978926511494e+02
2.864222844568913615e+02,9.826804759025948215e+02
2.864282856571314255e+02,9.831711483950813317e+02
2.864342868573714895e+02,9.836620154207782889e+02
2.864402880576114967e+02,9.841530770303535292e+02
2.864462892578515607e+02,9.846443332744713643e+02
2.864522904580916247e+02,9.851357842037913315e+02
2.864582916583316887e+02,9.856274298689827447e+02
2.864642928585716959e+02,9.861192703206905890e+02
2.864702940588117599e+02,9.866113056096253331e+02
2.864762952590518239e+02,9.871035357864060416e+02
2.864822964592918311e+02,9.875959609017453431e+02
2.864882976595318951e+02,9.880885810062827659e+02
2.864942988597719591e+02,9.885813961507082013e+02
2.865003000600120231e+02,9.890744063856848243e+02
2.865063012602520303e+02,9.895676117618658054e+02
2.865123024604920943e+02,9.900610123299589986e+02
2.865183036607321583e+02,9.905546081406306484e+02
2.865243048609722223e+02,9.910483992445311969e+02
2.865303060612122295e+02,9.915423856923632684e+02
2.865363072614522935e+02,9.920365675347982233e+02
2.865423084616923575e+02,9.925309448224953712e+02
2.865483096619323646e+02,9.930255176061450584e+02
2.865543108621724286e+02,9.935202859364447932e+02
2.865603120624124927e+02,9.940152498640474050e+02
2.865663132626525567e+02,9.945104094396463097e+02
2.865723144628925638e+02,9.950057647139104802e+02
2.865783156631326278e+02,9.955013157375420860e+02
2.865843168633726918e+02,9.959970625612169215e+02
2.865903180636126990e+02,9.964930052356066881e+02
2.865963192638527630e+02,9.969891438114101447e+02
