t,E,L,C,D,dC_dt
0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.001200240048009185e-03,4.882474274869904041e-01,1.988247427486990349e+00,1.173438798098399780e-02,1.818453202557517321e-05,1.909918476124749631e+00
1.200240048009601837e-02,4.769989546809472736e-01,1.976998954680947218e+00,2.292835271024851185e-02,7.269260880419305430e-05,1.821273921340918367e+00
1.800360072014402929e-02,4.662348975174970267e-01,1.966234897517496805e+00,3.360205894909995550e-02,1.630435334030023000e-04,1.736605318656177621e+00
2.400480096019203674e-02,4.559313994450712726e-01,1.955931399445071106e+00,4.378005879038739112e-02,2.885417645413036530e-04,1.656066108990096986e+00
3.000600120024004419e-02,4.460647209921829170e-01,1.946064720992182639e+00,5.348688169487329086e-02,4.483973129437403759e-04,1.579551099481413257e+00
3.600720144028805858e-02,4.366120727767170973e-01,1.936612072776716875e+00,6.274615462996881166e-02,6.417725933140353608e-04,1.506879931186678512e+00
4.200840168033606603e-02,4.275518528254196315e-01,1.927551852825419632e+00,7.158034105080601783e-02,8.678061237742239892e-04,1.437849528974909585e+00
4.800960192038407348e-02,4.188637013011212162e-01,1.918863701301121161e+00,8.001067132752394395e-02,1.125627371354789722e-03,1.372253990408188962e+00
5.401080216043208093e-02,4.105284813179670977e-01,1.910528481317967042e+00,8.805715289634252763e-02,1.414365785690301341e-03,1.309893088445818421e+00
6.001200240048008838e-02,4.025282221044310105e-01,1.902528222104430844e+00,9.573862089733306546e-02,1.733156998235895222e-03,1.250575967374300657e+00
6.601320264052809583e-02,3.948460584906273163e-01,1.894846058490627039e+00,1.030727944893941733e-01,2.081147019978467870e-03,1.194122676019610862e+00
7.201440288057611716e-02,3.874661547641798931e-01,1.887466154764179560e+00,1.100763501454795484e-01,2.457495090340517264e-03,1.140364519793214182e+00
7.801560312062412461e-02,3.803736427197109693e-01,1.880373642719710636e+00,1.167649815777668243e-01,2.861375702522184292e-03,1.089143937510544280e+00
8.401680336067213206e-02,3.735545467393839858e-01,1.873554546739383708e+00,1.231534733136944865e-01,3.291979946921486534e-03,1.040313989897086344e+00
9.001800360072013951e-02,3.669957289472710049e-01,1.866995728947270727e+00,1.292557546791272549e-01,3.748516373601748844e-03,9.937378159655916310e-01
9.601920384076814696e-02,3.606848232642224650e-01,1.860684823264222132e+00,1.350849650833299276e-01,4.230211652447589225e-03,9.492879372901963375e-01
1.020204040808161544e-01,3.546101848993803984e-01,1.854610184899380121e+00,1.406535044052549810e-01,4.736310695364585877e-03,9.068456248350005300e-01
1.080216043208641619e-01,3.487608394913754295e-01,1.848760839491375041e+00,1.459730834533158328e-01,5.266077055308687402e-03,8.663002553312089127e-01
1.140228045609121693e-01,3.431264324672768096e-01,1.843126432467276477e+00,1.510547749525024963e-01,5.818792580220681111e-03,8.275486743480549023e-01
1.200240048009601768e-01,3.376971928485083541e-01,1.837697192848507965e+00,1.559090495547595379e-01,6.393757596732094206e-03,7.904946656881097766e-01
1.260252050410081981e-01,3.324638857854106955e-01,1.832463885785410307e+00,1.605458236995825072e-01,6.990290515006770435e-03,7.550483685531916844e-01
1.320264052810561917e-01,3.274177817678164404e-01,1.827417781767816107e+00,1.649744906816762724e-01,7.607727550507223900e-03,7.211258196402295928e-01
1.380276055211042130e-01,3.225506222235775544e-01,1.822550622223577221e+00,1.692039551162554112e-01,8.245422660166947665e-03,6.886484944789144080e-01
1.440288057611522343e-01,3.178545839979901588e-01,1.817854583997990048e+00,1.732426691665893415e-01,8.902746835420449409e-03,6.575428618096190725e-01
1.500300060012002279e-01,3.133222577838619127e-01,1.813322257783861691e+00,1.770986541761361277e-01,9.579088040001869364e-03,6.277400445754159897e-01
1.560312062412482492e-01,3.089466164355056388e-01,1.808946616435505472e+00,1.807795327940062979e-01,1.027385077048800603e-02,5.991754370138393515e-01
1.620324064812962428e-01,3.047209913075198395e-01,1.804720991307519506e+00,1.842925532461708871e-01,1.098645544630921268e-02,5.717883877427074601e-01
1.680336067213442641e-01,3.006390538873868756e-01,1.800639053887386654e+00,1.876446077304612103e-01,1.171633838215186720e-02,5.455219318393196293e-01
1.740348069613922577e-01,2.966947892470769843e-01,1.796694789247076596e+00,1.908422596054951681e-01,1.246295114742782505e-02,5.203224869592766311e-01
1.800360072014402790e-01,2.928824796202558756e-01,1.792882479620255598e+00,1.938917602891837288e-01,1.322576009056038171e-02,4.961396241111338812e-01
1.860372074414882726e-01,2.891966889436053956e-01,1.789196688943605063e+00,1.967990647605483423e-01,1.400424629584623090e-02,4.729258570088357150e-01
1.920384076815362939e-01,2.856322410888089691e-01,1.785632241088808581e+00,1.995698540207706539e-01,1.479790489042037346e-02,4.506364034776134675e-01
1.980396079215843153e-01,2.821842074285542123e-01,1.782184207428553879e+00,2.022095479431382514e-01,1.560624462830754490e-02,4.292290130586947638e-01
2.040408081616323088e-01,2.788478946505368317e-01,1.778847894650536388e+00,2.047233174973494552e-01,1.642878785211372011e-02,4.086638057314808115e-01
2.100420084016803302e-01,2.756188270163807408e-01,1.775618827016380408e+00,2.071161031385615470e-01,1.726506984505771919e-02,3.889030847175317662e-01
2.160432086417283237e-01,2.724927356707090853e-01,1.772492735670708752e+00,2.093926259399433998e-01,1.811463838934752879e-02,3.699111988194773160e-01
2.220444088817763451e-01,2.694655497688314694e-01,1.769465549768830970e+00,2.115573964906205806e-01,1.897705374054799859e-02,3.516544229120902587e-01
2.280456091218243386e-01,2.665333826590198796e-01,1.766533382659019491e+00,2.136147292106073403e-01,1.985188813037279745e-02,3.341008144673357494e-01
2.340468093618723600e-01,2.636925210181310653e-01,1.763692521018130677e+00,2.155687537629629169e-01,2.073872521890603865e-02,3.172200928808770470e-01
2.400480096019203535e-01,2.609394189120038954e-01,1.760939418912003562e+00,2.174234210473044437e-01,2.163716004069169904e-02,3.009835535210509394e-01
2.460492098419683749e-01,2.582706882326663012e-01,1.758270688232665968e+00,2.191825129926550375e-01,2.254679877467868215e-02,2.853639647258586209e-01
2.520504100820163962e-01,2.556830867366635118e-01,1.755683086736663068e+00,2.208496552054646789e-01,2.346725805787184052e-02,2.703354540990998700e-01
2.580516103220644175e-01,2.531735142157878204e-01,1.753173514215787598e+00,2.224283209257671701e-01,2.439816485844500601e-02,2.558734468811429963e-01
2.640528105621123833e-01,2.507390057871271560e-01,1.750739005787126823e+00,2.239218377707756502e-01,2.533915644209722845e-02,2.419545911398297833e-01
2.700540108021604047e-01,2.483767219908125656e-01,1.748376721990812399e+00,2.253333982243428679e-01,2.628987978484456992e-02,2.285566664383886226e-01
2.760552110422084260e-01,2.460839431019929413e-01,1.746083943101992775e+00,2.266660656641338034e-01,2.724999123387329691e-02,2.156585201885732606e-01
2.820564112822564473e-01,2.438580652406344418e-01,1.743858065240634136e+00,2.279227782899693189e-01,2.821915646939625669e-02,2.032400174823087158e-01
2.880576115223044686e-01,2.416965946355899841e-01,1.741696594635589790e+00,2.291063550209719024e-01,2.919705034343814121e-02,1.912819823267609964e-01
2.940588117623524345e-01,2.395971388046485850e-01,1.739597138804648280e+00,2.302195049416890793e-01,3.018335625366233566e-02,1.797661223806722164e-01
3.000600120024004558e-01,2.375574044011537767e-01,1.737557404401153471e+00,2.312648295693421063e-01,3.117776602950415171e-02,1.686749948748499373e-01
3.060612122424484771e-01,2.355751932442418928e-01,1.735575193244241587e+00,2.322448268380326031e-01,3.217997991772555272e-02,1.579919640892923915e-01
3.120624124824964984e-01,2.336483968922552779e-01,1.733648396892254917e+00,2.331618968427834615e-01,3.318970626496132309e-02,1.477011514468717923e-01
3.180636127225444643e-01,2.317749903343338802e-01,1.731774990334333575e+00,2.340183486292030102e-01,3.420666103646316514e-02,1.377873817667059630e-01
3.240648129625924856e-01,2.299530306937450919e-01,1.729953030693744731e+00,2.348164015436487728e-01,3.523056776260614920e-02,1.282361602561786773e-01
3.300660132026405069e-01,2.281806538475613932e-01,1.728180653847561032e+00,2.355581886174444584e-01,3.626115753499418309e-02,1.190336389973148945e-01
3.360672134426885282e-01,2.264560696017404728e-01,1.726456069601740140e+00,2.362457617616612882e-01,3.729816863659825288e-02,1.101665755507722499e-01
3.420684136827365496e-01,2.247775569723968747e-01,1.724777556972396431e+00,2.368810968680910567e-01,3.834134615951210329e-02,1.016222932257780376e-01
3.480696139227845154e-01,2.231434632642504690e-01,1.723143463264249942e+00,2.374660947683383538e-01,3.939044196741121190e-02,9.338866448275323640e-02
3.540708141628325367e-01,2.215522013452027594e-01,1.721552201345202260e+00,2.380025839586462355e-01,4.044521469615102588e-02,8.545408510488217146e-02
3.600720144028805580e-01,2.200022458022430627e-01,1.720002245802242591e+00,2.384923247722240403e-01,4.150542942553292480e-02,7.780744211280393730e-02
3.660732146429285794e-01,2.184921287815961843e-01,1.718492128781595740e+00,2.389370139037019503e-01,4.257085731470186540e-02,7.043808060777362323e-02
3.720744148829765452e-01,2.170204394315043694e-01,1.717020439431503842e+00,2.393382849955050518e-01,4.364127557299059268e-02,6.333579226160052089e-02
3.780756151230245665e-01,2.155858216854866782e-01,1.715585821685486234e+00,2.396977108645601817e-01,4.471646744995316086e-02,5.649079515355204251e-02
