t,a,c_productive,maturation_intermediate,c_cleaved_product,da_dt
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.770684210526316360e-02
1.000200040008001603e-03,1.003747080337126681e-02,1.768112065032332128e-04,4.966700926927377235e-11,7.082149573741700236e-08,3.722112253526652786e-02
2.000400080016003206e-03,1.007445980972011650e-02,3.508042117674471899e-04,3.949545985736676379e-10,2.813555728552581177e-07,3.674341995709017733e-02
3.000600120024004593e-03,1.011097497337625981e-02,5.220244758354537773e-04,1.325424115370633978e-09,6.287430716832910761e-07,3.627360615574742181e-02
4.000800160032006413e-03,1.014702412247810680e-02,6.905167147072426752e-04,3.124170588608804135e-09,1.110173268702486554e-06,3.581155504640808063e-02
5.001000200040008233e-03,1.018261496261222039e-02,8.563249225773696387e-04,6.068025654346434634e-09,1.722882464605735255e-06,3.535714261013121751e-02
6.001200240048009185e-03,1.021775506783033707e-02,1.019492320138129862e-03,1.042701845545742476e-08,2.464157590880177932e-06,3.491024703632088222e-02
7.001400280056011005e-03,1.025245189344042331e-02,1.180061431207365865e-03,1.646510653047877800e-08,3.331331190716732216e-06,3.447074850588996431e-02
8.001600320064012825e-03,1.028671277956682943e-02,1.338074103913884736e-03,2.444038102102926200e-08,4.321780016437506278e-06,3.403852913051605422e-02
9.001800360072014645e-03,1.032054495115029315e-02,1.493571510697458242e-03,3.460506667180945734e-08,5.432925029495804970e-06,3.361347295140693081e-02
1.000200040008001647e-02,1.035395551794793950e-02,1.646594148308824779e-03,4.720552183060172783e-08,6.662231400476128136e-06,3.319546593809603180e-02
1.100220044008801829e-02,1.038695147570565212e-02,1.797181845235169091e-03,6.248229986174529010e-08,8.007208065823308508e-06,3.278439596609359491e-02
1.200240048009601837e-02,1.041953970829401221e-02,1.945373777976714107e-03,8.067022673437630098e-08,9.465407027681748247e-06,3.238015276742399473e-02
1.300260052010402019e-02,1.045172698389124598e-02,2.091208447037057761e-03,1.019982003223603138e-07,1.103442480138686138e-05,3.198262799787075783e-02
1.400280056011202201e-02,1.048351996678711755e-02,2.234723747147406101e-03,1.266898664781752667e-07,1.271189777319352551e-05,3.159171503882494958e-02
1.500300060012002383e-02,1.051492521856058765e-02,2.375956974451183187e-03,1.549636841892721878e-07,1.449550174421550036e-05,3.120730897597143172e-02
1.600320064012802565e-02,1.054594919807980841e-02,2.514944826504032175e-03,1.870329255780752610e-07,1.638295193042544305e-05,3.082930659829706196e-02
1.700340068013602574e-02,1.057659826150212160e-02,2.651723402273814013e-03,2.231056759019817464e-07,1.837200296265488773e-05,3.045760639712320403e-02
1.800360072014402929e-02,1.060687866364774280e-02,2.786328210724752560e-03,2.633849063222655719e-07,2.046044836388859263e-05,3.009210854076963676e-02
1.900380076015202938e-02,1.063679655944518680e-02,2.918794182422372509e-03,3.080685177578062837e-07,2.264612010110683782e-05,2.973271483884997249e-02
2.000400080016003293e-02,1.066635800031506473e-02,3.049155646825883227e-03,3.573491521467388774e-07,2.492688995456341066e-05,2.937932880598888991e-02
2.100420084016803302e-02,1.069556894545625400e-02,3.177446398982845029e-03,4.114148401444048606e-07,2.730066506966782831e-05,2.903185547415638654e-02
2.200440088017603657e-02,1.072443526274788686e-02,3.303699704977233927e-03,4.704490513373450913e-07,2.976538760624304150e-05,2.869020137650322988e-02
2.300460092018403666e-02,1.075296272874934865e-02,3.427948301929434685e-03,5.346306942432980312e-07,3.231903473852537693e-05,2.835427454656476789e-02
2.400480096019203674e-02,1.078115702870028475e-02,3.550224397996248633e-03,6.041341163112015450e-07,3.495961865516459486e-05,2.802398451748442862e-02
2.500500100020004030e-02,1.080902375708784821e-02,3.670559675843371606e-03,6.791291345995109701e-07,3.768518634105120732e-05,2.769924231144137508e-02
2.600520104020804038e-02,1.083656842090219459e-02,3.788985314227188463e-03,7.597811902194398398e-07,4.049381839184052227e-05,2.737996037672346672e-02
2.700540108021604394e-02,1.086379643318406002e-02,3.905531949745127008e-03,8.462509842690236132e-07,4.338363154389388292e-05,2.706605269422783858e-02
2.800560112022404402e-02,1.089071312378353008e-02,4.020229739395595261e-03,9.386951041484006314e-07,4.635277440118653366e-05,2.675743460233034540e-02
2.900580116023204758e-02,1.091732374163111377e-02,4.133108374110893227e-03,1.037266151301717514e-06,4.939942654679787496e-05,2.645402275824610891e-02
3.000600120024004766e-02,1.094363345473774347e-02,4.244197078757211590e-03,1.142112741217127358e-06,5.252179854291132784e-05,2.615573513739113259e-02
3.100620124024805122e-02,1.096964735019478193e-02,4.353524612134630420e-03,1.253379503426791753e-06,5.571813193081445585e-05,2.586249103275950131e-02
3.200640128025605130e-02,1.099537043417400835e-02,4.461119266977120468e-03,1.371207081506878763e-06,5.898669923089887020e-05,2.557421105431587766e-02
3.300660132026405486e-02,1.102080763461591936e-02,4.567008886542290105e-03,1.495732274996316473e-06,6.232580291722882168e-05,2.529081708142238635e-02
3.400680136027205147e-02,1.104596379842145634e-02,4.671220850081893132e-03,1.627087853829152651e-06,6.573377660301289759e-05,2.501223230140899034e-02
3.500700140028005503e-02,1.107084369297875459e-02,4.773782080173277591e-03,1.765402668940738517e-06,6.920898436933820377e-05,2.473838118975435485e-02
3.600720144028805858e-02,1.109545201415066372e-02,4.874719089573101988e-03,1.910802107376837021e-06,7.274981761730001312e-05,2.446918937861586318e-02
3.700740148029606214e-02,1.111979338633621930e-02,4.974057981584346401e-03,2.063408095706050928e-06,7.635469504404729445e-05,2.420458365528756553e-02
3.800760152030405875e-02,1.114387236247063769e-02,5.071824450056313348e-03,2.223339100019820061e-06,8.002206264278265819e-05,2.394449196170113370e-02
3.900780156031206231e-02,1.116769342402532464e-02,5.168043779384629520e-03,2.390710125932427872e-06,8.375039370276250554e-05,2.368884339393912894e-02
4.000800160032006586e-02,1.119126098107706309e-02,5.262740844923134188e-03,2.565632722394932877e-06,8.753818878235605457e-05,2.343756820060468454e-02
4.100820164032806248e-02,1.121457937595866060e-02,5.355940135516292638e-03,2.748215171620697995e-06,9.138397432160530486e-05,2.319059771855074698e-02
4.200840168033606603e-02,1.123765287683823125e-02,5.447665716906677225e-03,2.938562113467525988e-06,9.528630520850852692e-05,2.294786447388252187e-02
4.300860172034406959e-02,1.126048568453726084e-02,5.537941270192324461e-03,3.136774952626785707e-06,9.924376203255959696e-05,2.270930207522104533e-02
4.400880176035207314e-02,1.128308193697841189e-02,5.626790117811660170e-03,3.342952110811682594e-06,1.032549493322469528e-04,2.247484514075893253e-02
4.500900180036006976e-02,1.130544570918553052e-02,5.714235223543496882e-03,3.557189026757252761e-06,1.073184955950535937e-04,2.224442929786097506e-02
4.600920184036807331e-02,1.132758101328363784e-02,5.800299192507035566e-03,3.779578156220371028e-06,1.114330532574571756e-04,2.201799118267440403e-02
4.700940188037607687e-02,1.134949179849894033e-02,5.885004271161863899e-03,4.010208971979740763e-06,1.155972987049298480e-04,2.179546843974884338e-02
4.800960192038407348e-02,1.137118195120196719e-02,5.968372347562320504e-03,4.249167966217225793e-06,1.198099322550911215e-04,2.157679972095377999e-02
4.900980196039207704e-02,1.139265529837607538e-02,6.050424972455644215e-03,4.496538832373903531e-06,1.240696768316229548e-04,2.136192462559470193e-02
5.001000200040008059e-02,1.141391560146601779e-02,6.131183324445437649e-03,4.752402105780472176e-06,1.283752804259877592e-04,2.115078379646611120e-02
5.101020204040808415e-02,1.143496656220314121e-02,6.210668242559224360e-03,5.016835512849254762e-06,1.327255137435374988e-04,2.094331882972649134e-02
5.201040208041608076e-02,1.145581182715080248e-02,6.288900252605611821e-03,5.289914228571591706e-06,1.371191684094723751e-04,2.073947220115988227e-02
5.301060212042408432e-02,1.147645498770437540e-02,6.365899567174289689e-03,5.571710876517841654e-06,1.415550569688409901e-04,2.053918726586431015e-02
5.401080216043208787e-02,1.149689958009124206e-02,6.441686085636027202e-03,5.862295528837376403e-06,1.460320128865400208e-04,2.034240825794778051e-02
5.501100220044009143e-02,1.151714908537080327e-02,6.516279394142676651e-03,6.161735706258586822e-06,1.505488905473145169e-04,2.014908029023168914e-02
5.601120224044808804e-02,1.153720692943446639e-02,6.589698765627172508e-03,6.470096378088873546e-06,1.551045652557577663e-04,1.995914935396157427e-02
5.701140228045609160e-02,1.155707648502478022e-02,6.661963171813006443e-03,6.787440070230553366e-06,1.596979324557742279e-04,1.977256228484198727e-02
5.801160232046409515e-02,1.157676107000348877e-02,6.733091274546721371e-03,7.113826747731250439e-06,1.643279084722546997e-04,1.958926678585222458e-02
5.901180236047209177e-02,1.159626394615916566e-02,6.803101417888617573e-03,7.449313765625999532e-06,1.689934309322057584e-04,1.940921144978108304e-02
6.001200240048009532e-02,1.161558832690491420e-02,6.872011672278952911e-03,7.793956306457982183e-06,1.736934557156328380e-04,1.923234563631411043e-02
6.101220244048809888e-02,1.163473737744013560e-02,6.939839835478413613e-03,8.147807389273231400e-06,1.784269568920261490e-04,1.905861946916922317e-02
6.201240248049610243e-02,1.165371421475053064e-02,7.006603432568114277e-03,8.510917869620642672e-06,1.831929267203605965e-04,1.888798383585980553e-02
6.301260252050409905e-02,1.167252190760810146e-02,7.072319715949602209e-03,8.883336439551968043e-06,1.879903756490958894e-04,1.872039038746354384e-02
6.401280256051210260e-02,1.169116347657114807e-02,7.137005665344855684e-03,9.265109627621822037e-06,1.928183323161766750e-04,1.855579153839695752e-02
6.501300260052010616e-02,1.170964189416753495e-02,7.200677988861774528e-03,9.656281808899170639e-06,1.976758434773879722e-04,1.839414046322534677e-02
6.601320264052810971e-02,1.172796008801664167e-02,7.263353141732841779e-03,1.005689536581077171e-05,2.025619728131740382e-04,1.823539104376150494e-02
