t,X,Y,E,C,dX_dt
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.915141612200436327e+00
1.600320064012802565e-02,1.062254969597913101e+00,5.112713815275928830e-01,1.003437007702553396e+00,1.002461082795765845e+00,3.865012181719150952e+00
3.200640128025605130e-02,1.123699155958004958e+00,5.230194313135947404e-01,1.007320779745842998e+00,1.004654026062154371e+00,3.813761314226606913e+00
4.800960192038407348e-02,1.184312091004197987e+00,5.352199869179982139e-01,1.011613798915119267e+00,1.006592722072613633e+00,3.761080364524415742e+00
6.401280256051210260e-02,1.244068644005811741e+00,5.478508232713580339e-01,1.016280731285352568e+00,1.008290064898690108e+00,3.706685394905822495e+00
8.001600320064013172e-02,1.302939247864759231e+00,5.608914687459239934e-01,1.021288499035814423e+00,1.009758033536596766e+00,3.650315681259239664e+00
9.601920384076814696e-02,1.360890306848480114e+00,5.743228442988838056e-01,1.026606415731867505e+00,1.011007854489544222e+00,3.591733606246087174e+00
1.120224044808961761e-01,1.417884732065383124e+00,5.881270120619773722e-01,1.032206080893440125e+00,1.012050118000391574e+00,3.530725430377898100e+00
1.280256051210242052e-01,1.473882180053653457e+00,6.022870637260863136e-01,1.038061340766747387e+00,1.012894829661735052e+00,3.467102448578313734e+00
1.440288057611522343e-01,1.528839437897247411e+00,6.167869691199637794e-01,1.044148169097756540e+00,1.013551480320006748e+00,3.400702823689698118e+00
1.600320064012802634e-01,1.582710889076984540e+00,6.316114250790975104e-01,1.050444521888385774e+00,1.014029116318429180e+00,3.331393841809737300e+00
1.760352070414082926e-01,1.635449247442846588e+00,6.467457350453109655e-01,1.056930138563929811e+00,1.014336398599510636e+00,3.259074329500129430e+00
1.920384076815362939e-01,1.687005742636039196e+00,6.621757782777119017e-01,1.063586493413642309e+00,1.014481617637309929e+00,3.183676786403205394e+00
2.080416083216643230e-01,1.737330749287622655e+00,6.778879186576308724e-01,1.070396617711683929e+00,1.014472736970026601e+00,3.105169614087532004e+00
