t,S,X,I,active_first_fraction,dX_dt
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,5.297181372549019107e-01
8.001600320064013172e-02,9.618706451373306709e-01,1.404360169699749861e-01,9.769333789269425694e-02,9.998832962541890357e-01,4.832705054472962725e-01
1.600320064012802634e-01,9.256337481155830771e-01,1.776288520288292205e-01,9.673739985558768573e-02,9.997827819358100498e-01,4.477897786163330118e-01
2.400480096019204090e-01,8.912282453005530014e-01,2.122798290036702895e-01,9.649192569577660916e-02,9.996924966481759434e-01,4.192282143308795339e-01
3.200640128025605269e-01,8.585799811704973861e-01,2.448389399738704619e-01,9.658107885563206596e-02,9.996093954726786857e-01,3.952022109442048237e-01
4.000800160032006447e-01,8.276078879351790318e-01,2.756072950716202952e-01,9.678481699320064247e-02,9.995319793045777113e-01,3.742856810375766452e-01
4.800960192038408181e-01,7.982282418124779788e-01,3.047959140273434064e-01,9.697584416017852871e-02,9.994596097000804091e-01,3.556028350913589819e-01
5.601120224044808804e-01,7.703573902124652983e-01,3.325597782732571117e-01,9.708283151427757329e-02,9.993921279736128760e-01,3.385999933966282183e-01
6.401280256051210538e-01,7.439134234295063930e-01,3.590178461121986686e-01,9.706873045829500501e-02,9.993296281390456892e-01,3.229165552174338982e-01
7.201440288057612271e-01,7.188171655631269141e-01,3.842654216233070130e-01,9.691741281356597293e-02,9.992723137329738714e-01,3.083103745876062396e-01
8.001600320064012895e-01,6.949927585854430712e-01,4.083815928245102533e-01,9.662564859004656170e-02,9.992204078209248053e-01,2.946137156152291436e-01
8.801760352070414628e-01,6.723679286857168202e-01,4.314340748613804122e-01,9.619799645290263990e-02,9.991740995275727455e-01,2.817065419069200161e-01
9.601920384076816362e-01,6.508741250443684789e-01,4.534823253172532431e-01,9.564354963837810863e-02,9.991335117195574433e-01,2.695000252109860384e-01
1.040208041608321698e+00,6.304465230828716349e-01,4.745795673972907913e-01,9.497390951983733509e-02,9.990986870561734401e-01,2.579261620397314547e-01
1.120224044808961761e+00,6.110239596464037692e-01,4.947741949633294167e-01,9.420184539026660309e-02,9.990695846785081491e-01,2.469311114260082929e-01
1.200240048009602045e+00,5.925488388652737637e-01,5.141107075524397052e-01,9.334045358228626466e-02,9.990460838314471070e-01,2.364708747685749513e-01
1.280256051210242108e+00,5.749669969190580598e-01,5.326303765349427177e-01,9.240262654599896985e-02,9.990279926218332829e-01,2.265084429808261191e-01
1.360272054410882170e+00,5.582275525597332200e-01,5.503717303992351484e-01,9.140071704103135131e-02,9.990150592345482528e-01,2.170118914828589041e-01
1.440288057611522454e+00,5.422827610113627461e-01,5.673708986432461909e-01,9.034634034539078262e-02,9.990069836770771872e-01,2.079531002753435831e-01
1.520304060812162517e+00,5.270878462859945879e-01,5.836618837994633768e-01,8.925026991454183822e-02,9.990034301951224993e-01,1.993068716550512043e-01
1.600320064012802579e+00,5.126008449427759128e-01,5.992767692320107864e-01,8.812238582521300656e-02,9.990040386757984558e-01,1.910503234135725870e-01
1.680336067213442863e+00,4.987824522071018229e-01,6.142458825831612623e-01,8.697166520973662052e-02,9.990084348310999118e-01,1.831624638264737759e-01
1.760352070414082926e+00,4.855958581964248122e-01,6.285979403713907177e-01,8.580620143218418983e-02,9.990162395588657596e-01,1.756238818840604177e-01
1.840368073614722988e+00,4.730066094215914507e-01,6.423601584899749639e-01,8.463323208843324952e-02,9.990270763027069290e-01,1.684165306198235901e-01
1.920384076815363272e+00,4.609824543928223717e-01,6.555583595930537522e-01,8.345918601412356808e-02,9.990405775096933283e-01,1.615235566999275729e-01
2.000400080016003113e+00,4.494932096995425397e-01,6.682170607481418001e-01,8.228972955231528275e-02,9.990563895118353965e-01,1.549291760238045990e-01
2.080416083216643397e+00,4.385106271284208712e-01,6.803595545018755741e-01,8.112981836970320493e-02,9.990741762500638945e-01,1.486185738109243315e-01
2.160432086417283681e+00,4.280082617506418829e-01,6.920079860523474791e-01,7.998375219701023275e-02,9.990936220402726331e-01,1.425778207193298397e-01
2.240448089617923522e+00,4.179613601482637941e-01,7.031834162942700583e-01,7.885522355746578393e-02,9.991144332535240036e-01,1.367938091802032297e-01
2.320464092818563806e+00,4.083467349278795955e-01,7.139058915781061332e-01,7.774737349401390774e-02,9.991363393838592621e-01,1.312541889950256946e-01
2.400480096019204090e+00,3.991426694302506184e-01,7.241944948908743962e-01,7.666283567887464956e-02,9.991590933567692234e-01,1.259473220835144180e-01
2.480496099219843931e+00,3.903288024745062978e-01,7.340674088280371157e-01,7.560378869745632002e-02,9.991824713838602934e-01,1.208622289285275486e-01
2.560512102420484215e+00,3.818860464848996550e-01,7.435419582951180439e-01,7.457199521998200686e-02,9.992062724168706556e-01,1.159885532270835823e-01
2.640528105621124499e+00,3.737964835805893116e-01,7.526346673113365471e-01,7.356884910807386102e-02,9.992303172268848233e-01,1.113165151603929537e-01
2.720544108821764340e+00,3.660432955928226151e-01,7.613612949893748816e-01,7.259540941780222301e-02,9.992544473997319043e-01,1.068368822071704416e-01
