t,E,EI,P,dP_dt
0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666741e+00
4.000800160032006586e-02,5.000000000000000000e-01,0.000000000000000000e+00,6.668000266720006119e-02,1.666666666666666741e+00
8.001600320064013172e-02,5.000000000000000000e-01,0.000000000000000000e+00,1.333600053344002334e-01,1.666666666666666741e+00
1.200240048009602045e-01,5.000000000000000000e-01,0.000000000000000000e+00,2.000400080016003779e-01,1.666666666666666741e+00
1.600320064012802634e-01,5.000000000000000000e-01,0.000000000000000000e+00,2.667200106688004668e-01,1.666666666666666741e+00
2.000400080016003224e-01,5.000000000000000000e-01,0.000000000000000000e+00,3.334000133360005003e-01,1.666666666666666741e+00
2.400480096019204090e-01,5.000000000000000000e-01,0.000000000000000000e+00,4.000800160032005892e-01,1.666666666666666741e+00
2.800560112022404402e-01,5.000000000000000000e-01,0.000000000000000000e+00,4.667600186704006227e-01,1.666666666666666741e+00
3.200640128025605269e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.334400213376007116e-01,1.666666666666666741e+00
3.600720144028806136e-01,5.000000000000000000e-01,0.000000000000000000e+00,6.001200240048006895e-01,1.666666666666666741e+00
4.000800160032006447e-01,5.000000000000000000e-01,0.000000000000000000e+00,6.668000266720006675e-01,1.666666666666666741e+00
4.400880176035207314e-01,5.000000000000000000e-01,0.000000000000000000e+00,7.334800293392004233e-01,1.666666666666666741e+00
4.800960192038408181e-01,5.000000000000000000e-01,0.000000000000000000e+00,8.001600320064014005e-01,1.666666666666666741e+00
5.201040208041608492e-01,5.000000000000000000e-01,0.000000000000000000e+00,8.668400346736013784e-01,1.666666666666666741e+00
5.601120224044808804e-01,5.000000000000000000e-01,0.000000000000000000e+00,9.335200373408014674e-01,1.666666666666666741e+00
6.001200240048010226e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.000200040008001778e+00,1.666666666666666741e+00
6.401280256051210538e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.066880042675201867e+00,1.666666666666666741e+00
6.801360272054410849e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.133560045342401956e+00,1.666666666666666741e+00
7.201440288057612271e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.200240048009602045e+00,1.666666666666666741e+00
7.601520304060812583e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.266920050676802134e+00,1.666666666666666741e+00
8.001600320064012895e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.333600053344002223e+00,1.666666666666666741e+00
8.401680336067214316e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.400280056011202312e+00,1.666666666666666741e+00
8.801760352070414628e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.466960058678402401e+00,1.666666666666666741e+00
9.201840368073614940e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.533640061345602490e+00,1.666666666666666741e+00
9.601920384076816362e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.600320064012802801e+00,1.666666666666666741e+00
1.000200040008001556e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.667000066680002668e+00,1.666666666666666741e+00
1.040208041608321698e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.733680069347202757e+00,1.666666666666666741e+00
1.080216043208641841e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.800360072014403290e+00,1.666666666666666741e+00
1.120224044808961761e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.867040074681602935e+00,1.666666666666666741e+00
1.160232046409281903e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.933720077348803024e+00,1.666666666666666741e+00
1.200240048009602045e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.000400080016003557e+00,1.666666666666666741e+00
1.240248049609921965e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.067080082683203202e+00,1.666666666666666741e+00
1.280256051210242108e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.133760085350403735e+00,1.666666666666666741e+00
