t,N,dN_dt
0.000000000000000000e+00,5.000000000000000000e+00,5.707317073170734556e-01
8.001600320064012825e-03,5.004591371874823835e+00,5.768944365043935374e-01
1.600320064012802565e-02,5.009232363005295952e+00,5.831342060778785807e-01
2.400480096019203674e-02,5.013923597720557623e+00,5.894521890939783404e-01
3.200640128025605130e-02,5.018665705401200938e+00,5.958495744601499666e-01
4.000800160032006586e-02,5.023459323574360980e+00,6.023275713174196522e-01
4.800960192038407348e-02,5.028305100654132609e+00,6.088874129893193654e-01
5.601120224044808804e-02,5.033203695941562472e+00,6.155303572547536906e-01
6.401280256051210260e-02,5.038155779624658770e+00,6.222576866263080930e-01
7.201440288057611716e-02,5.043162032778383264e+00,6.290707086340199261e-01
8.001600320064013172e-02,5.048223147364655716e+00,6.359707561147551758e-01
8.801760352070414628e-02,5.053339826232351228e+00,6.429591875072566687e-01
9.601920384076814696e-02,5.058512783117302902e+00,6.500373871529645520e-01
1.040208041608321615e-01,5.063742742642299177e+00,6.572067656026907567e-01
1.120224044808961761e-01,5.069030440317087383e+00,6.644687599292555813e-01
1.200240048009601906e-01,5.074376622538368409e+00,6.718248340461725476e-01
1.280256051210242052e-01,5.079782046589802924e+00,6.792764790324705704e-01
1.360272054410882059e-01,5.085247482936973817e+00,6.868252166365422795e-01
1.440288057611522343e-01,5.090773719651119578e+00,6.944726057717858225e-01
1.520304060812162350e-01,5.096361548804773101e+00,7.022202240706771903e-01
1.600320064012802634e-01,5.102011775839744523e+00,7.100696811708762102e-01
1.680336067213442641e-01,5.107725220651863296e+00,7.180226206184636695e-01
1.760352070414082926e-01,5.113502717590972857e+00,7.260807202826753404e-01
1.840368073614722932e-01,5.119345115460934181e+00,7.342456927790688148e-01
1.920384076815362939e-01,5.125253277519624007e+00,7.425192859012605950e-01
2.000400080016003224e-01,5.131228081478934833e+00,7.509032830613775467e-01
2.080416083216643230e-01,5.137270419504776697e+00,7.593995037393661551e-01
2.160432086417283515e-01,5.143381198217074513e+00,7.680098039412970312e-01
2.240448089617923522e-01,5.149561338689769840e+00,7.767360766668283123e-01
2.320464092818563806e-01,5.155811776450820894e+00,7.855802523859667374e-01
2.400480096019203813e-01,5.162133461482201646e+00,7.945442995252585128e-01
2.480496099219844097e-01,5.168527358229095370e+00,8.036302249766655859e-01
2.560512102420484104e-01,5.174994454171817360e+00,8.128400868238820909e-01
2.640528105621124388e-01,5.181535750616113489e+00,8.221759818333242986e-01
2.720544108821764118e-01,5.188152259710620662e+00,8.316400417017051350e-01
2.800560112022404402e-01,5.194845012952618468e+00,8.412344457437483936e-01
2.880576115223044686e-01,5.201615061188027411e+00,8.509614215188538999e-01
2.960592118423684971e-01,5.208463474611410682e+00,8.608232454708972803e-01
3.040608121624324700e-01,5.215391342765973270e+00,8.708222435813313123e-01
3.120624124824964984e-01,5.222399774543561968e+00,8.809607920358546451e-01
3.200640128025605269e-01,5.229489898184665364e+00,8.912413179048634948e-01
3.280656131226244998e-01,5.236662861278413850e+00,9.016662998379187943e-01
3.360672134426885282e-01,5.243919830762581391e+00,9.122382687724528427e-01
3.440688137627525567e-01,5.251261992923582866e+00,9.229598086569625881e-01
3.520704140828165851e-01,5.258690553396474066e+00,9.338335571889051501e-01
3.600720144028805580e-01,5.266206737418927197e+00,9.448622069406638069e-01
3.680736147229445865e-01,5.273811801734789917e+00,9.560485236625875238e-01
3.760752150430086149e-01,5.281507018212661997e+00,9.673953231032805800e-01
3.840768153630725879e-01,5.289293676911777098e+00,9.789054762735167614e-01
3.920784156831366163e-01,5.297173093826810231e+00,9.905819217344515870e-01
4.000800160032006447e-01,5.305146610887877756e+00,1.002427666555722352e+00
4.080816163232646732e-01,5.313215595960540050e+00,1.014445787294105727e+00
4.160832166433286461e-01,5.321381442845798837e+00,1.026639430993095514e+00
4.240848169633926745e-01,5.329645571280099858e+00,1.039011816203748717e+00
4.320864172834567030e-01,5.338009426935329316e+00,1.051566234027171642e+00
4.400880176035207314e-01,5.346474481418817426e+00,1.064306049179021052e+00
4.480896179235847043e-01,5.355042232273336644e+00,1.077234701076351220e+00
4.560912182436487328e-01,5.363714202977102552e+00,1.090355704947217230e+00
4.640928185637127612e-01,5.372491942943770304e+00,1.103672652963366252e+00
4.720944188837767341e-01,5.381377039119396244e+00,1.117189233062566567e+00
4.800960192038407626e-01,5.390371106103124532e+00,1.130909215281409086e+00
4.880976195239047910e-01,5.399475779432113320e+00,1.144836442715368996e+00
4.960992198439688194e-01,5.408692729426265444e+00,1.158974853913563141e+00
5.041008201640327924e-01,5.418023661190079387e+00,1.173328484332026633e+00
5.121024204840968208e-01,5.427470314612644842e+00,1.187901467816115053e+00
5.201040208041608492e-01,5.437034464367646258e+00,1.202698038115464829e+00
5.281056211242248777e-01,5.446717919913360184e+00,1.217722530432020278e+00
5.361072214442889061e-01,5.456522525492657927e+00,1.232979383001733487e+00
5.441088217643528235e-01,5.466450160133002001e+00,1.248473138710487929e+00
5.521104220844168520e-01,5.476502737646450569e+00,1.264208446744830683e+00
5.601120224044808804e-01,5.486682206629653002e+00,1.280190064278067030e+00
5.681136227245449088e-01,5.496990554016955244e+00,1.296422863795926084e+00
5.761152230446089373e-01,5.507429819646400659e+00,1.312911857983096064e+00
5.841168233646729657e-01,5.518002066193353983e+00,1.329662154253181905e+00
5.921184236847369942e-01,5.528709399047271766e+00,1.346678987938142669e+00
6.001200240048009116e-01,5.539553970257293791e+00,1.363967730663367739e+00
6.081216243248649400e-01,5.550537978532240402e+00,1.381533892568123978e+00
6.161232246449289685e-01,5.561663669240612506e+00,1.399383124576041304e+00
6.241248249649929969e-01,5.572933334410594242e+00,1.417521220716555508e+00
6.321264252850570253e-01,5.584349312730049419e+00,1.435954120498143860e+00
6.401280256051210538e-01,5.595913989546525968e+00,1.454687911334276773e+00
6.481296259251850822e-01,5.607629796867249716e+00,1.473728831022931063e+00
6.561312262452489996e-01,5.619499213359131495e+00,1.493083270280590069e+00
6.641328265653130281e-01,5.631524771768305904e+00,1.512757787490672134e+00
6.721344268853770565e-01,5.643709070004654826e+00,1.532759129781298801e+00
6.801360272054410849e-01,5.656054739758434202e+00,1.553094184470674932e+00
6.881376275255051134e-01,5.668564473095583978e+00,1.573770025511219917e+00
6.961392278455691418e-01,5.681241024652570637e+00,1.594793920358028583e+00
7.041408281656331702e-01,5.694087211636388091e+00,1.616173333328593475e+00
7.121424284856970877e-01,5.707105913824558563e+00,1.637915929039982288e+00
7.201440288057611161e-01,5.720300073565131704e+00,1.660029575924859557e+00
7.281456291258251445e-01,5.733672695776683703e+00,1.682522349827671793e+00
7.361472294458891730e-01,5.747226847948320838e+00,1.705402537682386477e+00
7.441488297659532014e-01,5.760965660139675037e+00,1.728678641273067917e+00
7.521504300860172298e-01,5.774892328990209656e+00,1.752359387908542843e+00
7.601520304060812583e-01,5.789010141098803075e+00,1.776453774454225254e+00
7.681536307261451757e-01,5.803322431971808193e+00,1.800971001773636448e+00
7.761552310462092041e-01,5.817832613836284139e+00,1.825920526329444904e+00
7.841568313662732326e-01,5.832544182764506147e+00,1.851312077175518045e+00
7.921584316863372610e-01,5.847460718673969993e+00,1.877155660973078621e+00
8.001600320064012895e-01,5.862585885327384894e+00,1.903461567125192211e+00
8.081616323264653179e-01,5.877923430332681498e+00,1.930240373031689494e+00
8.161632326465293463e-01,5.893477185143006558e+00,1.957502949466477293e+00
8.241648329665933748e-01,5.909251065056723817e+00,1.985260466079327824e+00
8.321664332866572922e-01,5.925249069217415787e+00,2.013524397024104129e+00
8.401680336067213206e-01,5.941475297251096244e+00,2.042306556285842678e+00
8.481696339267853491e-01,5.957933952019666357e+00,2.071619109082147858e+00
8.561712342468493775e-01,5.974629310887787703e+00,2.101474527119111091e+00
8.641728345669134059e-01,5.991565762595468136e+00,2.131885660776708047e+00
8.721744348869774344e-01,6.008747808103301224e+00,2.162865747981868036e+00
8.801760352070414628e-01,6.026180060592470689e+00,2.194428421763442660e+00
8.881776355271053802e-01,6.043867245464746851e+00,2.226587717988365522e+00
8.961792358471694087e-01,6.061814200342490189e+00,2.259358083282043239e+00
9.041808361672334371e-01,6.080025875068649555e+00,2.292754383135910068e+00
9.121824364872974655e-01,6.098507331706762180e+00,2.326791910205057157e+00
9.201840368073614940e-01,6.117263762117811865e+00,2.361486425382361531e+00
9.281856371274255224e-01,6.136300497725529546e+00,2.396854185386203984e+00
9.361872374474895508e-01,6.155622972489280365e+00,2.432911883546226672e+00
9.441888377675534683e-01,6.175236768707939916e+00,2.469676744578860106e+00
9.521904380876174967e-01,6.195147618634354814e+00,2.507166538496176322e+00
