t,R,C,dR_dt
0.000000000000000000e+00,4.000000000000000000e+01,9.000000000000000000e+00,8.186636731904927800e+00
2.000400080016003293e-02,4.016260349627179949e+01,9.072897559542898449e+00,8.070086981424182682e+00
4.000800160032006586e-02,4.032285314633707429e+01,9.146551075029240252e+00,7.951300398418414517e+00
6.001200240048010226e-02,4.048070430306332668e+01,9.220966029939754449e+00,7.830288171136750464e+00
8.001600320064013172e-02,4.063611255983902737e+01,9.296147895240755687e+00,7.707061991190975903e+00
1.000200040008001612e-01,4.078903375728453540e+01,9.372102128080745942e+00,7.581634037484867861e+00
1.200240048009602045e-01,4.093942398325209808e+01,9.448834171790414516e+00,7.454016957318263081e+00
1.400280056011202201e-01,4.108723957338351340e+01,9.526349455710811043e+00,7.324223847715099822e+00
1.600320064012802634e-01,4.123243717801381081e+01,9.604653375712933538e+00,7.192268272998401102e+00
1.800360072014403068e-01,4.137497365894205359e+01,9.683751329511148143e+00,7.058164179108874947e+00
2.000400080016003224e-01,4.151480612862360431e+01,9.763648702882919750e+00,6.921925900305723189e+00
2.200440088017603657e-01,4.165189202015825032e+01,9.844350847473192445e+00,6.783568180767627354e+00
2.400480096019204090e-01,4.178618908729026771e+01,9.925863080794398385e+00,6.643106154218049397e+00
2.600520104020804246e-01,4.191765540440835736e+01,1.000819068622645602e+01,6.500555323559240151e+00
2.800560112022404402e-01,4.204624936654570178e+01,1.009133891301676833e+01,6.355931540530061596e+00
3.000600120024005113e-01,4.217192968937990827e+01,1.017531297628022280e+01,6.209250985402938738e+00
3.200640128025605269e-01,4.229465540923307287e+01,1.026011805699919321e+01,6.060530146734965484e+00
3.400680136027205425e-01,4.241438588307172353e+01,1.034575930202353611e+01,5.909785801189030963e+00
3.600720144028806136e-01,4.253108078850684137e+01,1.043224182407059786e+01,5.757034993440054649e+00
3.800760152030406291e-01,4.264470012837077917e+01,1.051957069879329687e+01,5.602295021382971640e+00
4.000800160032006447e-01,4.275520433002990472e+01,1.060775090845526059e+01,5.445583515872844060e+00
4.200840168033607158e-01,4.286255412232145545e+01,1.069678743169368573e+01,5.286918261070290725e+00
4.400880176035207314e-01,4.296671057070381750e+01,1.078668520560234434e+01,5.126317242054707179e+00
4.600920184036807470e-01,4.306763511956494028e+01,1.087744909599361343e+01,4.963798677605467446e+00
4.800960192038408181e-01,4.316528959222235073e+01,1.096908389739847678e+01,4.799381000333998060e+00
5.001000200040007782e-01,4.325963619092317458e+01,1.106159433306652318e+01,4.633082837027131973e+00
5.201040208041608492e-01,4.335063749684410794e+01,1.115498505496594106e+01,4.464922989219019200e+00
5.401080216043209203e-01,4.343825647009143864e+01,1.124926064378353274e+01,4.294920414009236964e+00
5.601120224044808804e-01,4.352245644970102489e+01,1.134442560892469665e+01,4.123094205144912650e+00
5.801160232046409515e-01,4.360320115363831661e+01,1.144048438851344152e+01,3.949463574384953546e+00
6.001200240048010226e-01,4.368045467879834831e+01,1.153744134939237931e+01,3.774047833164349441e+00
6.201240248049609827e-01,4.375418150100571779e+01,1.163530078712272697e+01,3.596866374577171399e+00
6.401280256051210538e-01,4.382434648859725002e+01,1.173406689325991437e+01,3.417938713663687622e+00
6.601320264052811249e-01,4.389091493553699053e+01,1.183374369558423567e+01,3.237284575534911113e+00
6.801360272054410849e-01,4.395385248376594944e+01,1.193433524780926192e+01,3.054923542177576223e+00
7.001400280056011560e-01,4.401312517041121453e+01,1.203584548932888865e+01,2.870875284723059195e+00
7.201440288057612271e-01,4.406869943374183407e+01,1.213827822956091396e+01,2.685159574936630378e+00
7.401480296059211872e-01,4.412054211316886665e+01,1.224163714794705093e+01,2.497796269351045595e+00
7.601520304060812583e-01,4.416862044924533848e+01,1.234592579395292589e+01,2.308805293822828730e+00
7.801560312062413294e-01,4.421290208366625762e+01,1.245114758706807656e+01,2.118206628531066116e+00
8.001600320064012895e-01,4.425335505926862112e+01,1.255730581680595037e+01,1.926020293439560049e+00
8.201640328065613605e-01,4.428994782003141495e+01,1.266440364270390617e+01,1.732266334242929418e+00
8.401680336067214316e-01,4.432264921107559985e+01,1.277244409432321959e+01,1.536964808818083839e+00
8.601720344068813917e-01,4.435142847866411131e+01,1.288143007124907058e+01,1.340135774202504848e+00
8.801760352070414628e-01,4.437625527020188088e+01,1.299136434309055588e+01,1.141799274121620300e+00
9.001800360072015339e-01,4.439709963423582906e+01,1.310224954948068365e+01,9.419753270875581563e-01
9.201840368073614940e-01,4.441393202132683626e+01,1.321408818432862553e+01,7.406839432198886186e-01
9.401880376075215651e-01,4.442672328631874734e+01,1.332688244188618398e+01,5.379453888620595592e-01
9.601920384076816362e-01,4.443544466877297339e+01,1.344063446557549391e+01,3.337797324091873463e-01
9.801960392078415962e-01,4.444006781112029358e+01,1.355534623759966983e+01,1.282070312675465118e-01
1.000200040008001556e+00,4.444056476302607450e+01,1.367101952633491990e+01,-7.875258320067146656e-02
