t,N,experienced_mate_abundance,unmated_fraction,mating_type_fraction,dN_dt
0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-01,1.263199999999999790e+01
8.001600320064012825e-03,2.010202251745163693e+01,2.000008133756930562e+01,9.995496358920910041e-01,5.998813266455463866e-01,1.286951213427296636e+01
1.600320064012802565e-02,2.020596945077884854e+01,2.000032721818449488e+01,9.991004242386630763e-01,5.997627818494680740e-01,1.311302472395784946e+01
2.400480096019203674e-02,2.031188963444963136e+01,2.000074049603193060e+01,9.986523587837919935e-01,5.996443647766855900e-01,1.336273671633567517e+01
3.200640128025605130e-02,2.041983329588146745e+01,2.000132409111997944e+01,9.982054332353632597e-01,5.995260745835647720e-01,1.361885466623375152e+01
4.000800160032006586e-02,2.052985251234056463e+01,2.000208100674909417e+01,9.977596412545810534e-01,5.994079104159050209e-01,1.388159402969489520e+01
4.800960192038407348e-02,2.064200123419260180e+01,2.000301433040560539e+01,9.973149764554194441e-01,5.992898714088347178e-01,1.415117948377372947e+01
5.601120224044808804e-02,2.075633528490273605e+01,2.000412723376173219e+01,9.968714324046221709e-01,5.991719566868107805e-01,1.442784520225708178e+01
6.401280256051210260e-02,2.087291236103560266e+01,2.000542297267558922e+01,9.964290026217031970e-01,5.990541653636186625e-01,1.471183514070673226e+01
7.201440288057611716e-02,2.099179203225530443e+01,2.000690488719116900e+01,9.959876805789457110e-01,5.989364965423724652e-01,1.500340333106557367e+01
8.001600320064013172e-02,2.111303593896372277e+01,2.000857640872346366e+01,9.955474596977045287e-01,5.988189493148187159e-01,1.530281466717487149e+01
8.801760352070414628e-02,2.123670801744171044e+01,2.001044106837957770e+01,9.951083333447588997e-01,5.987015227606777845e-01,1.561034578897986336e+01
9.601920384076814696e-02,2.136287411741141540e+01,2.001250248291738743e+01,9.946702948394299248e-01,5.985842159489884740e-01,1.592628450155381437e+01
1.040208041608321615e-01,2.149160267285716941e+01,2.001476437891624371e+01,9.942333374404505042e-01,5.984670279356102407e-01,1.625093178561093765e+01
1.120224044808961761e-01,2.162296473436056843e+01,2.001723059394745263e+01,9.937974543453446108e-01,5.983499577631054001e-01,1.658460229366227168e+01
1.200240048009601906e-01,2.175703396910045484e+01,2.001990507657425411e+01,9.933626386904276240e-01,5.982330044607395703e-01,1.692762478269472837e+01
1.280256051210242052e-01,2.189388666085294943e+01,2.002279188635185392e+01,9.929288835508061073e-01,5.981161670444813394e-01,1.728034256189803131e+01
1.360272054410882059e-01,2.203360170999141587e+01,2.002589519382740235e+01,9.924961819403779195e-01,5.979994445170023765e-01,1.764311395581090380e+01
1.440288057611522343e-01,2.217626103489876144e+01,2.002921929438407744e+01,9.920645268052058485e-01,5.978828358664356468e-01,1.801631382149011174e+01
1.520304060812162350e-01,2.232194962589731446e+01,2.003276861030877853e+01,9.916339110233521881e-01,5.977663400663845161e-01,1.840033422544258812e+01
1.600320064012802634e-01,2.247075541006283217e+01,2.003654768577714762e+01,9.912043274067137144e-01,5.976499560762542629e-01,1.879558464903769988e+01
1.680336067213442641e-01,2.262276998447639187e+01,2.004056121188113693e+01,9.907757686883656989e-01,5.975336828388537747e-01,1.920249449680817833e+01
1.760352070414082926e-01,2.277808862208233265e+01,2.004481402683002500e+01,9.903482275224630982e-01,5.974175192803767853e-01,1.962151377642515726e+01
1.840368073614722932e-01,2.293681027168826247e+01,2.004931111595039539e+01,9.899216964842404431e-01,5.973014643104020971e-01,2.005311378744430328e+01
1.920384076815362939e-01,2.309903755796504399e+01,2.005405761168614731e+01,9.894961680700117279e-01,5.971855168218936916e-01,2.049778783441417218e+01
2.000400080016003224e-01,2.326487697256380827e+01,2.005905879983064466e+01,9.890716346943380088e-01,5.970696756906705982e-01,2.095605248826206335e+01
2.080416083216643230e-01,2.343443955600722006e+01,2.006432014196427716e+01,9.886480886805323332e-01,5.969539397736660646e-01,2.142845025531940806e+01
2.160432086417283515e-01,2.360784026302656358e+01,2.006984725457463270e+01,9.882255222702368558e-01,5.968383079107332234e-01,2.191554870324198134e+01
2.240448089617923522e-01,2.378519906860037736e+01,2.007564594465187824e+01,9.878039276061860718e-01,5.967227789213834788e-01,2.241794441804384519e+01
2.320464092818563806e-01,2.396664109527210584e+01,2.008172221381694911e+01,9.873832967302700325e-01,5.966073516044217984e-01,2.293626437910775806e+01
2.400480096019203813e-01,2.415229661315009579e+01,2.008808225832152417e+01,9.869636215835339010e-01,5.964920247379468243e-01,2.347116702585593018e+01
2.480496099219844097e-01,2.434230103990758920e+01,2.009473246904805421e+01,9.865448940061787297e-01,5.963767970793504292e-01,2.402334336258044800e+01
2.560512102420484104e-01,2.453679531334952557e+01,2.010167944304498633e+01,9.861271057326509437e-01,5.962616673644071108e-01,2.459351918686511951e+01
2.640528105621124388e-01,2.473592654018468906e+01,2.010893000384790952e+01,9.857102483839301765e-01,5.961466343058872130e-01,2.518245822851108073e+01
2.720544108821764118e-01,2.493984761223712354e+01,2.011649118918223067e+01,9.852943134724202467e-01,5.960316965944647549e-01,2.579096237500770172e+01
2.800560112022404402e-01,2.514871853422839365e+01,2.012437029158244073e+01,9.848792923835094637e-01,5.959168528952468735e-01,2.641987700448662935e+01
2.880576115223044686e-01,2.536270648816002193e+01,2.013257486037420918e+01,9.844651763746972151e-01,5.958021018476110653e-01,2.707009277232708655e+01
2.960592118423684971e-01,2.558198583331348530e+01,2.014111270167439471e+01,9.840519565755934117e-01,5.956874420652048530e-01,2.774254726972522178e+01
3.040608121624324700e-01,2.580673819253841472e+01,2.014999188092677329e+01,9.836396239868852032e-01,5.955728721357542721e-01,2.843822700644957280e+01
3.120624124824964984e-01,2.603715367585126117e+01,2.015922075905693589e+01,9.832281694663049798e-01,5.954583906184978126e-01,2.915817300432470205e+01
3.200640128025605269e-01,2.627343029039774791e+01,2.016880797504519762e+01,9.828175837364645506e-01,5.953439960456829994e-01,2.990348098029618384e+01
3.280656131226244998e-01,2.651577551917138109e+01,2.017876249156586965e+01,9.824078573647423429e-01,5.952296869187855277e-01,3.067530836758585266e+01
3.360672134426885282e-01,2.676440680175139875e+01,2.018909360903250061e+01,9.819989807573534790e-01,5.951154617074032593e-01,3.147487818708282958e+01
3.440688137627525567e-01,2.701955153430276724e+01,2.019981096559786238e+01,9.815909441593502205e-01,5.950013188492556671e-01,3.230348153765483943e+01
3.520704140828165851e-01,2.728144718507887845e+01,2.021092454039265007e+01,9.811837376533738553e-01,5.948872567499552400e-01,3.316248054936671252e+01
3.600720144028805580e-01,2.755034279348662452e+01,2.022244469576000725e+01,9.807773511442322567e-01,5.947732737802082781e-01,3.405331601350812321e+01
3.680736147229445865e-01,2.782649852365139864e+01,2.023438216452673188e+01,9.803717743645730121e-01,5.946593682769077960e-01,3.497750891687293517e+01
3.760752150430086149e-01,2.811018772885222816e+01,2.024674810702313366e+01,9.799669968511116602e-01,5.945455385386931857e-01,3.593667044682441514e+01
3.840768153630725879e-01,2.840169749348244466e+01,2.025955412619378038e+01,9.795630079385827527e-01,5.944317828248275593e-01,3.693250734626052179e+01
3.920784156831366163e-01,2.870132863304967685e+01,2.027281226759751220e+01,9.791597967597390761e-01,5.943180993551975266e-01,3.796682563479910755e+01
4.000800160032006447e-01,2.900939637785430847e+01,2.028653503779492695e+01,9.787573522387644775e-01,5.942044863091157092e-01,3.904153682719979912e+01
4.080816163232646732e-01,2.932623182188386934e+01,2.030073544344881498e+01,9.783556630786913733e-01,5.940909418231025141e-01,4.015866711475705131e+01
4.160832166433286461e-01,2.965218237306212856e+01,2.031542700251358013e+01,9.779547177563894245e-01,5.939774639899504383e-01,4.132036344871904987e+01
4.240848169633926745e-01,2.998761415951654996e+01,2.033062380828948790e+01,9.775545044977241860e-01,5.938640508541287444e-01,4.252890689639833965e+01
4.320864172834567030e-01,3.033291211756762351e+01,2.034634053177800084e+01,9.771550112766732576e-01,5.937507004116203690e-01,4.378671827485032964e+01
4.400880176035207314e-01,3.068848035738745850e+01,2.036259243113360640e+01,9.767562258120748853e-01,5.936374106093335046e-01,4.509636497635563046e+01
4.480896179235847043e-01,3.105474439649132989e+01,2.037939540949445671e+01,9.763581355491141034e-01,5.935241793418157830e-01,4.646057497672245518e+01
4.560912182436487328e-01,3.143215156298257895e+01,2.039676602457872789e+01,9.759607276560710032e-01,5.934110044506912818e-01,4.788224466127947210e+01
4.640928185637127612e-01,3.182117434730040273e+01,2.041472157441643276e+01,9.755639889922460561e-01,5.932978837187530274e-01,4.936445813032700158e+01
4.720944188837767341e-01,3.222231080007174597e+01,2.043328010758869340e+01,9.751679061042615171e-01,5.931848148692870915e-01,5.091049615427465369e+01
4.800960192038407626e-01,3.263608513538986244e+01,2.045246043831671656e+01,9.747724652211425811e-01,5.930717955651902962e-01,5.252384619162717172e+01
4.880976195239047910e-01,3.306305043791753917e+01,2.047228221407538129e+01,9.743776522339678836e-01,5.929588234054027351e-01,5.420822100716003433e+01
4.960992198439688194e-01,3.350378999599329433e+01,2.049276594774064719e+01,9.739834526846272711e-01,5.928458959228869452e-01,5.596757268197956847e+01
5.041008201640327924e-01,3.395892122391877876e+01,2.051393311493214711e+01,9.735898517311091238e-01,5.927330105782842029e-01,5.780611757916241800e+01
5.121024204840968208e-01,3.442909595417749813e+01,2.053580616130053826e+01,9.731968341449906967e-01,5.926201647594585564e-01,5.972834769646924968e+01
5.201040208041608492e-01,3.491500253639587470e+01,2.055840855365852704e+01,9.728043842958326026e-01,5.925073557787398082e-01,6.173904966160422703e+01
5.281056211242248777e-01,3.541736825600411720e+01,2.058176483810175839e+01,9.724124861353284910e-01,5.923945808702247851e-01,6.384332572125953220e+01
5.361072214442889061e-01,3.593696356962042415e+01,2.060590074192690579e+01,9.720211231617187364e-01,5.922818371833153961e-01,6.604662315547342644e+01
5.441088217643528235e-01,3.647460478100265391e+01,2.063084323866522141e+01,9.716302783978324475e-01,5.921691217787471428e-01,6.835475823135546136e+01
5.521104220844168520e-01,3.703115505321714807e+01,2.065662057235779514e+01,9.712399343838580279e-01,5.920564316273175809e-01,7.077393361395337479e+01
5.601120224044808804e-01,3.760752852992233386e+01,2.068326235557130133e+01,9.708500731503290071e-01,5.919437636052484741e-01,7.331076954023718883e+01
5.681136227245449088e-01,3.820469424605561670e+01,2.071079966165601149e+01,9.704606761881839905e-01,5.918311144888525055e-01,7.597233500604754397e+01
5.761152230446089373e-01,3.882368129218271235e+01,2.073926514851421388e+01,9.700717244078951307e-01,5.917184809471842666e-01,7.876618537709160250e+01
5.841168233646729657e-01,3.946557995356004511e+01,2.076869308588396379e+01,9.696831981314228965e-01,5.916058595406318288e-01,8.170038258098918504e+01
5.921184236847369942e-01,4.013154665489923900e+01,2.079911947241476611e+01,9.692950770607677846e-01,5.914932467155629148e-01,8.478353234482381140e+01
6.001200240048009116e-01,4.082280918096797251e+01,2.083058215898664400e+01,9.689073402398671320e-01,5.913806387976294765e-01,8.802482314722024626e+01
6.081216243248649400e-01,4.154067299183124362e+01,2.086312100039519635e+01,9.685199660057806081e-01,5.912680319830632136e-01,9.143407055650368420e+01
6.161232246449289685e-01,4.228652325937006395e+01,2.089677790478034680e+01,9.681329319746553308e-01,5.911554223362549543e-01,9.502174108449924006e+01
6.241248249649929969e-01,4.306183090480268305e+01,2.093159697822480680e+01,9.677462150039076727e-01,5.910428057834083981e-01,9.879899360487758031e+01
6.321264252850570253e-01,4.386816016244619476e+01,2.096762470866077521e+01,9.673597911351513590e-01,5.909301781025366740e-01,1.027777271349451382e+02
6.401280256051210538e-01,4.470717433956282605e+01,2.100491010775849432e+01,9.669736355497324798e-01,5.908175349156206124e-01,1.069706181518431549e+02
6.481296259251850822e-01,4.558064010132417820e+01,2.104350481961273189e+01,9.665877225396329875e-01,5.907048716837266511e-01,1.113911473063720763e+02
6.561312262452489996e-01,4.649043450715988968e+01,2.108346329728657409e+01,9.662020254598880920e-01,5.905921836990570828e-01,1.160536353389338728e+02
6.641328265653130281e-01,4.743855502721274320e+01,2.112484306318843963e+01,9.658165166470914498e-01,5.904794660707302079e-01,1.209732890972301504e+02
6.721344268853770565e-01,4.842712337813224366e+01,2.116770481252233438e+01,9.654311673889752754e-01,5.903667137195729442e-01,1.261662088969808053e+02
6.801360272054410849e-01,4.945839259838452051e+01,2.121211261020437888e+01,9.650459478729992435e-01,5.902539213697398646e-01,1.316494024244425418e+02
6.881376275255051134e-01,5.053475673928063827e+01,2.125813417052650678e+01,9.646608271010127522e-01,5.901410835341572847e-01,1.374408005522678309e+02
6.961392278455691418e-01,5.165875744366778122e+01,2.130584105378143889e+01,9.642757728281393659e-01,5.900281945040288800e-01,1.435592416795853126e+02
7.041408281656331702e-01,5.283308922040170330e+01,2.135530884971596777e+01,9.638907515135587412e-01,5.899152483409588754e-01,1.500244292372701693e+02
7.121424284856970877e-01,5.406060781374428359e+01,2.140661748043057244e+01,9.635057282292079917e-01,5.898022388618193723e-01,1.568568816211074477e+02
7.201440288057611161e-01,5.534433731936353240e+01,2.145985147368985935e+01,9.631206665715736914e-01,5.896891596237858746e-01,1.640778456989488348e+02
7.281456291258251445e-01,5.668747321830031183e+01,2.151510014814337524e+01,9.627355286083292274e-01,5.895760039159587684e-01,1.717091505025867377e+02
7.361472294458891730e-01,5.809338703492129952e+01,2.157245793720851523e+01,9.623502747757636255e-01,5.894627647428042350e-01,1.797730243618836141e+02
7.441488297659532014e-01,5.956563016778731168e+01,2.163202469776911485e+01,9.619648637726395668e-01,5.893494348064816091e-01,1.882918526310076572e+02
7.521504300860172298e-01,6.110793229227927981e+01,2.169390590090772619e+01,9.615792524978423739e-01,5.892360064973709566e-01,1.972878379584322488e+02
7.601520304060812583e-01,6.272419746772481375e+01,2.175821296499320923e+01,9.611933959292126017e-01,5.891224718749704659e-01,2.067825673193924843e+02
7.681536307261451757e-01,6.441849969302070633e+01,2.182506354293182937e+01,9.608072470109607632e-01,5.890088226496492663e-01,2.167964814690666628e+02
7.761552310462092041e-01,6.619507005749586881e+01,2.189458169331312121e+01,9.604207565791180734e-01,5.888950501719480979e-01,2.273481842353022557e+02
7.841568313662732326e-01,6.805827556054207150e+01,2.196689817683941115e+01,9.600338732178756995e-01,5.887811454104607822e-01,2.384535731519698629e+02
7.921584316863372610e-01,7.001259948118682530e+01,2.204215064623226539e+01,9.596465431546048475e-01,5.886670989356869166e-01,2.501248313662260614e+02
8.001600320064012895e-01,7.206260315336503197e+01,2.212048372258363571e+01,9.592587101691044671e-01,5.885529009080017193e-01,2.623691424319828229e+02
8.081616323264653179e-01,7.421287627604698400e+01,2.220204915410248603e+01,9.588703154365771919e-01,5.884385410542380956e-01,2.751871528056696548e+02
8.161632326465293463e-01,7.646798877517238680e+01,2.228700578710566305e+01,9.584812974455473311e-01,5.883240086569203608e-01,2.885712466336053694e+02
8.241648329665933748e-01,7.883240342565504477e+01,2.237551939649511112e+01,9.580915918843737611e-01,5.882092925403604733e-01,3.025033843448458128e+02
8.321664332866572922e-01,8.131039073764134173e+01,2.246776254758212943e+01,9.577011315079637654e-01,5.880943810523808768e-01,3.169527584153853468e+02
8.401680336067213206e-01,8.390592096724300575e+01,2.256391411269402170e+01,9.573098460836548806e-01,5.879792620611014042e-01,3.318731392667724549e+02
8.481696339267853491e-01,8.662250935685534614e+01,2.266415863594663804e+01,9.569176622703120527e-01,5.878639229418937129e-01,3.471998261421587131e+02
8.561712342468493775e-01,8.946308435492726119e+01,2.276868564372759707e+01,9.565245035601765977e-01,5.877483505737742808e-01,3.628466864810757215e+02
8.641728345669134059e-01,9.242977963743872749e+01,2.287768832201346925e+01,9.561302902537139881e-01,5.876325313451449261e-01,3.787028452679928137e+02
8.721744348869774344e-01,9.552373127414188048e+01,2.299136225090802554e+01,9.557349393945857585e-01,5.875164511517642074e-01,3.946296740114451040e+02
8.801760352070414628e-01,9.874485953361609347e+01,2.310990362901334194e+01,9.553383648260173056e-01,5.874000954167806210e-01,4.104581928888966900e+02
8.881776355271053802e-01,1.020915808967784670e+02,2.323350685359037726e+01,9.549404772249846518e-01,5.872834491101392995e-01,4.259869392551765372e+02
8.961792358471694087e-01,1.055605896548935618e+02,2.336236239520748370e+01,9.545411841811632936e-01,5.871664967728216222e-01,4.409813728631427239e+02
9.041808361672334371e-01,1.091465613764972460e+02,2.349665335813509515e+01,9.541403904042669026e-01,5.870492225682570897e-01,4.551745203949913616e+02
9.121824364872974655e-01,1.128419129242784038e+02,2.363655228508933348e+01,9.537379978838462780e-01,5.869316103241166704e-01,4.682699638664298618e+02
9.201840368073614940e-01,1.166365987295387470e+02,2.378221760576984067e+01,9.533339061938173042e-01,5.868136435988692279e-01,4.799474448432203531e+02
9.281856371274255224e-01,1.205179320613111855e+02,2.393378889262535125e+01,9.529280129001669319e-01,5.866953057706891794e-01,4.898713773480242253e+02
9.361872374474895508e-01,1.244705297032045479e+02,2.409138346777158901e+01,9.525202138975077393e-01,5.865765801083331343e-01,4.977026940171096498e+02
9.441888377675534683e-01,1.284763065959498931e+02,2.425509163009020952e+01,9.521104039975886169e-01,5.864574498894680188e-01,5.031136214086120049e+02
9.521904380876174967e-01,1.325146995892069128e+02,2.442497223837831655e+01,9.516984775580032974e-01,5.863378985254518172e-01,5.058051344319476925e+02
9.601920384076815251e-01,1.365629018169437927e+02,2.460104983579424953e+01,9.512843289966197435e-01,5.862179096602786466e-01,5.055256726592081122e+02
9.681936387277455536e-01,1.405962837140998829e+02,2.478331069572227818e+01,9.508678536044088414e-01,5.860974673247574263e-01,5.020900975251922205e+02
9.761952390478095820e-01,1.445892293118646705e+02,2.497170067533688353e+01,9.504489484468887639e-01,5.859765561018185354e-01,4.953963915391591399e+02
9.841968393678736104e-01,1.485155269402867191e+02,2.516612455234386658e+01,9.500275127938843100e-01,5.858551612039992751e-01,4.854389649420992896e+02
9.921984396879376389e-01,1.523493465757952663e+02,2.536644516157176810e+01,9.496034491898261987e-01,5.857332686645059239e-01,4.723159997506284071e+02
1.000200040008001556e+00,1.560661669252247634e+02,2.557248560023017347e+01,9.491766641952300576e-01,5.856108654620276743e-01,4.562292346495581228e+02
1.008201640328065585e+00,1.596433752269758202e+02,2.578403107803768890e+01,9.487470689054876560e-01,5.854879396069352371e-01,4.374773389087586679e+02
1.016203240648129613e+00,1.630611024092768560e+02,2.600083311054427071e+01,9.483145797770016205e-01,5.853644802766765354e-01,4.164410706479797000e+02
1.024204840968193642e+00,1.663028402245914208e+02,2.622261506359400940e+01,9.478791191083842937e-01,5.852404778836766130e-01,3.935625186233995692e+02
1.032206441288257670e+00,1.693557321005583844e+02,2.644907630890469719e+01,9.474406153732912728e-01,5.851159241221360885e-01,3.693215907218835241e+02
1.040208041608321698e+00,1.722108467401395444e+02,2.667989994166041257e+01,9.469990036860437277e-01,5.849908120278668466e-01,3.442100815988602562e+02
1.048209641928385727e+00,1.748631557437016397e+02,2.691475808716005957e+01,9.465542258691785893e-01,5.848651359716365850e-01,3.187074894537914815e+02
1.056211242248449755e+00,1.773113383883305119e+02,2.715331859422287408e+01,9.461062305870210354e-01,5.847388916607304532e-01,2.932601073991231715e+02
1.064212842568513784e+00,1.795574665275470352e+02,2.739525025093017163e+01,9.456549732417824927e-01,5.846120760998948507e-01,2.682645436247231032e+02
1.072214442888577812e+00,1.816065379546341489e+02,2.764022829677707449e+01,9.452004158691011959e-01,5.844846875509501771e-01,2.440571080842926506e+02
1.080216043208641841e+00,1.834659896011723106e+02,2.788793837684492871e+01,9.447425268762525974e-01,5.843567254670191113e-01,2.209081389025470514e+02
1.088217643528705647e+00,1.851451487854970992e+02,2.813808014850852146e+01,9.442812807391414154e-01,5.842281904193779019e-01,1.990215992929572053e+02
1.096219243848769676e+00,1.866547196210977972e+02,2.839036987807777734e+01,9.438166576631042970e-01,5.840990840202494594e-01,1.785383042510018754e+02
1.104220844168833704e+00,1.880063034321052271e+02,2.864454209739275115e+01,9.433486431645980996e-01,5.839694088330994459e-01,1.595419829333448547e+02
1.112222444488897732e+00,1.892119644640867477e+02,2.890035080170305193e+01,9.428772276800377883e-01,5.838391682892136725e-01,1.420672078912403151e+02
1.120224044808961761e+00,1.902838775375811053e+02,2.915756979514307901e+01,9.424024061399697283e-01,5.837083666003924920e-01,1.261078620275794435e+02
1.128225645129025789e+00,1.912340361133515216e+02,2.941599254877209546e+01,9.419241775412214857e-01,5.835770086727397610e-01,1.116257190878563677e+02
1.136227245449089818e+00,1.920740223509302496e+02,2.967543180874871567e+01,9.414425445614004184e-01,5.834451000294297307e-01,9.855855992911179442e+01
1.144228845769153846e+00,1.928148516218110160e+02,2.993571867013346832e+01,9.409575131586169761e-01,5.833126467327737208e-01,8.682720046235141353e+01
1.152230446089217875e+00,1.934668590297164599e+02,3.019670155771496667e+01,9.404690922068928982e-01,5.831796553135553118e-01,7.634163416420031467e+01
1.160232046409281903e+00,1.940396296931903919e+02,3.045824513338282102e+01,9.399772931709178270e-01,5.830461327085300072e-01,6.700609627243342459e+01
1.168233646729345931e+00,1.945419772452681570e+02,3.072022892119866810e+01,9.394821297765669765e-01,5.829120861985822577e-01,5.872287699501112002e+01
1.176235247049409960e+00,1.949819331693975926e+02,3.098254614287053244e+01,9.389836177397854478e-01,5.827775233575125391e-01,5.139546180224735394e+01
1.184236847369473988e+00,1.953667689939143202e+02,3.124510242819062000e+01,9.384817745060262117e-01,5.826424520039079624e-01,4.493065474163603312e+01
1.192238447689538017e+00,1.957030319268653216e+02,3.150781455337200043e+01,9.379766190102367673e-01,5.825068801571399169e-01,3.924003613432547155e+01
1.200240048009601823e+00,1.959965792637513005e+02,3.177060941185078846e+01,9.374681714860735315e-01,5.823708160022871283e-01,3.424105645596525704e+01
1.208241648329665852e+00,1.962526387162126582e+02,3.203342278888354144e+01,9.369564532612438823e-01,5.822342678536894800e-01,2.985735793654395565e+01
1.216243248649729880e+00,1.964758471560933231e+02,3.229619852808458802e+01,9.364414866139150195e-01,5.820972441287651788e-01,2.601918600989731090e+01
1.224244848969793908e+00,1.966703141386494451e+02,3.255888748656498421e+01,9.359232946111065710e-01,5.819597533198452854e-01,2.266314591994674998e+01
1.232246449289857937e+00,1.968396632654416862e+02,3.282144682307510664e+01,9.354019009948262298e-01,5.818218039737952374e-01,1.973215445912678945e+01
1.240248049609921965e+00,1.969870882180847502e+02,3.308383917426179011e+01,9.348773300609001247e-01,5.816834046712602291e-01,1.717498757425298095e+01
1.248249649929985994e+00,1.971153928012742540e+02,3.334603205312632213e+01,9.343496065683963847e-01,5.815445640108121150e-01,1.494598669592363649e+01
1.256251250250050022e+00,1.972270383816468211e+02,3.360799720271357671e+01,9.338187556484074392e-01,5.814052905936334392e-01,1.300454155006134727e+01
1.264252850570114051e+00,1.973241776941536045e+02,3.386971012572085726e+01,9.332848027360187704e-01,5.812655930118236780e-01,1.131473817037870333e+01
1.272254450890178079e+00,1.974086965641260178e+02,3.413114954822430036e+01,9.327477734976256096e-01,5.811254798365340646e-01,9.844809831228594987e+00
1.280256051210242108e+00,1.974822376916411315e+02,3.439229710079313662e+01,9.322076937856705880e-01,5.809849596102419911e-01,8.566859828500440699e+00
1.288257651530306136e+00,1.975462398468012850e+02,3.465313683597169359e+01,9.316645895757407203e-01,5.808440408368463759e-01,7.456277060500013931e+00
1.296259251850370164e+00,1.976019509589087590e+02,3.491365505368381150e+01,9.311184869416283538e-01,5.807027319773618856e-01,6.491587483730675956e+00
