N,trial_temperature,C
1.277553757769694016e+02,3.045561266593656455e+02,2.300327015201763459e+01
5.468755603901018958e+01,2.987193635461904933e+02,1.585077123205735994e+01
9.153731263302743670e+00,2.924602115108245357e+02,1.356890101721259345e+00
4.288999470177289552e+00,2.983852439791856455e+02,4.809860074534794139e-01
1.628407776008542100e+02,3.030727625469496047e+02,1.910000351460013945e+01
1.826383598782666127e+02,2.819972338081551015e+02,6.158123641735262055e+00
1.217205193776687935e+02,2.982441311680811395e+02,1.750008084659577889e+01
1.461698156358156950e+02,2.945866242142470242e+02,1.362008681130983412e+01
1.091813733016191463e+02,2.970094654691012011e+02,1.692691785161962414e+01
1.870794123337658732e+02,2.858105529628390968e+02,7.464775257472126668e+00
1.633548572701849082e+02,3.054441183413816816e+02,2.115691133782090461e+01
1.544961533859470881e+00,2.932798155011274730e+02,5.605599792697551348e-02
1.716234510409263123e+02,2.952175096781556363e+02,1.280773757987302730e+01
7.683529485787406799e+00,2.959738018126375891e+02,1.196288772097759523e+00
1.462014338395588595e+02,2.841798438534241313e+02,7.896222071064358694e+00
3.595546849990924443e+01,2.826761178216339090e+02,5.052764529938296612e+00
1.727726055476274212e+02,2.968575639987619184e+02,1.380059300453297588e+01
1.087507828295692462e+02,2.840011423742296301e+02,8.573703065631946174e+00
6.064266621693957404e+01,2.824502692907831829e+02,7.160444637932292800e+00
8.511475701833403207e+01,2.950183787078716477e+02,1.547211836392406248e+01
6.635614557947130621e+00,3.069826324802610884e+02,1.517827194724948869e+00
2.573237202341322316e+01,3.043253750659732191e+02,1.031630803701320787e+01
1.344542585240324399e+02,2.931404675322514777e+02,1.315594232455746138e+01
1.297907128032757669e+02,2.994070929650970356e+02,1.809117416852334514e+01
1.234616371847695149e+02,2.847357872952042612e+02,8.684036463486346946e+00
7.735183329811479780e+01,2.849027868681578752e+02,8.925597443533263231e+00
1.994447772220530055e+02,2.950759665202848510e+02,1.140988579455554941e+01
1.961862324164697782e+02,3.041450265618935873e+02,1.755536891497514773e+01
1.374228549116582485e+02,3.064222013299827836e+02,2.422093813887638092e+01
1.304413959772954570e+02,3.041391706025278268e+02,2.240639519124322732e+01
1.380008993836170816e+02,2.845973304005398745e+02,8.287731365766127567e+00
7.839536337184165404e+01,3.055237574194188710e+02,2.503356717184562896e+01
2.788420449945983393e+01,2.842484009732331174e+02,4.262932822983129810e+00
1.445761796986222691e+02,2.964925638290991969e+02,1.502978524342885613e+01
1.055455101726694522e+02,3.016042463508761671e+02,2.114726076077819172e+01
6.273813323623217286e+01,2.863999033303250030e+02,9.059538057276050438e+00
9.768123640752602910e+01,2.992899208705618435e+02,1.912525306633173372e+01
1.780080790354510611e+02,2.934981334713700676e+02,1.148658100964168227e+01
1.868746596752936853e+02,2.976260121895944053e+02,1.354616104878342675e+01
7.220124414510497957e+01,3.003654971244864100e+02,1.938745878345747897e+01
1.147344363152224247e+02,2.901091583684095667e+02,1.182970889301280160e+01
6.505200882411249097e+01,2.967258587034371544e+02,1.569478817169243179e+01
1.192657060097396595e+02,2.969188201549820292e+02,1.651747210834281177e+01
6.824433387591952282e+01,2.830275417860733000e+02,7.756288200303795399e+00
7.893218110510407826e+01,2.883851967760436423e+02,1.084600115798953190e+01
1.781645960489536833e+02,2.804860343605526509e+02,5.747088187656462566e+00
4.620436111314256777e+01,3.007087693856490205e+02,1.555607800943143992e+01
1.250142417925224407e+02,2.952001324427125155e+02,1.497145696798773429e+01
1.771905337289458160e+01,2.894113148862471689e+02,3.170108588577735809e+00
1.666961853830261475e+02,2.789253092666729685e+02,5.469812863911410972e+00
1.576325631902479927e+02,2.946167380776336131e+02,1.310265570553922387e+01
4.863451915559748073e+01,2.942571015381426491e+02,1.182496031213213961e+01
1.754203619313300635e+02,2.917603104062231409e+02,1.063539198105527817e+01
1.265503892623367577e+01,3.028353009421765023e+02,3.642428600509857617e+00
6.788729504858640951e+01,2.784062942969817414e+02,5.916347039424633358e+00
3.090561391207297248e+01,3.056724674075990720e+02,1.347636003988674069e+01
9.061753396320810339e+01,3.072114107193863219e+02,2.739394731463805854e+01
1.594685297871715477e+02,2.824829405313322468e+02,6.873265272167124351e+00
4.689779958975574203e+01,3.041196607346153087e+02,1.839277498913705955e+01
1.135223891181751199e+01,2.964422917292801003e+02,2.305605929828256073e+00
8.150581612448411306e+01,3.053113797988008287e+02,2.496967954048310645e+01
4.050409585734180951e+01,3.004131145465989903e+02,1.379949096025506350e+01
1.905985607820525729e+01,2.979369952726023598e+02,5.267333412605262666e+00
1.164861448113832836e+02,3.014632343150282736e+02,2.059800277766845156e+01
6.044053043096559463e+01,2.864466063479524678e+02,8.931248203118592244e+00
1.347269807133155268e+02,2.929358558825409204e+02,1.301023507902969634e+01
4.070357334967444984e+01,2.926790759391990377e+02,9.528839276585156171e+00
1.884805089907930551e+02,2.827687720494071186e+02,6.291098515773523303e+00
7.365692348072087725e+01,2.848764740782183935e+02,8.808605103683930793e+00
2.199356063447567777e+01,2.784815335106193288e+02,2.372523266042430024e+00
1.261925221564021342e+02,3.045040765112783561e+02,2.305219530308465536e+01
1.855037560605056228e+02,2.793944920263650147e+02,5.257604733835157695e+00
8.863505378844101301e+01,2.808027693707291519e+02,7.198020002384901694e+00
1.909635082444567047e+02,2.989430175808914782e+02,1.417609864305438272e+01
1.004792669238417631e+02,3.039526278064462304e+02,2.366158885153299352e+01
8.562049634496602835e+01,2.989059830435093090e+02,1.871638680460316095e+01
1.244224769510601902e+02,2.993813114126322716e+02,1.834030558852994375e+01
1.990242045418295049e+02,2.892115193591653224e+02,8.527103333897848358e+00
1.898397913126152901e+02,3.015121448601727252e+02,1.601851752058221479e+01
9.254898272251011804e+01,3.011932227883224300e+02,2.093389639450818507e+01
1.517880402163499980e+02,2.887927044749108632e+02,9.945217740994179323e+00
9.998711640203617890e+01,3.056610765987783225e+02,2.553343977081863159e+01
1.063331198791573087e+02,2.917141528753888906e+02,1.303898698619857299e+01
1.573713544420477035e+02,2.981793323430890155e+02,1.557270176218371027e+01
8.351651402177849093e+01,2.900345196268465884e+02,1.195192470351763170e+01
1.471622307859571492e+02,2.952090463655931103e+02,1.399632697027860040e+01
1.425174327199602260e+02,2.805830645020932366e+02,6.515574716099215458e+00
1.864798776360622696e+02,2.906197684627266540e+02,9.621008360200528742e+00
2.387159402290013333e+01,3.008854088849084292e+02,8.066416165859701337e+00
1.460740082981855608e+02,3.031667204556699176e+02,2.039354419166139820e+01
1.855573617962874096e+02,2.882268981310077720e+02,8.533166614805557160e+00
1.936173117950046390e+02,2.796456438542483625e+02,5.178093386337288884e+00
3.926554688108488289e+00,2.830631517652099660e+02,1.978221802372467086e-01
1.728643779588695679e+02,2.864898792559692424e+02,8.163680825962513765e+00
1.962578129732025047e+02,2.928450507024073772e+02,1.035791415278655059e+01
1.914848257425817337e+02,2.858947058690682752e+02,7.374466533356708098e+00
3.060403843426708548e+01,2.891113208887364294e+02,6.067710718537449921e+00
1.945531339507680286e+02,2.785150828330228592e+02,4.835735378919678418e+00
1.780971755883836067e+02,2.904245715926622893e+02,9.836437457813767438e+00
1.646523916810710091e+02,2.988926319530887667e+02,1.567254800924939673e+01
9.651759683775860310e+01,2.914671244660532352e+02,1.297962607227992216e+01
4.724221100822146724e+01,2.838205940519969204e+02,6.698175331905021679e+00
1.605742351649432749e+02,3.059098066333209545e+02,2.181694858955758676e+01
1.847825017969104238e+02,2.835268033262893255e+02,6.650764727302790114e+00
5.395992418616622643e+01,3.040498053309264037e+02,2.014268272372081015e+01
1.082479471168151974e+02,2.837197693241010938e+02,8.444721806530814945e+00
8.910781296593177103e+01,2.825270570230377416e+02,7.956478080012598042e+00
1.862724458802498475e+02,2.926327180769383176e+02,1.065692097010551365e+01
9.061631526498491240e+00,2.978092214803875208e+02,1.711344715570005892e+00
1.466692329356556002e+02,2.915893151130594561e+02,1.169711099679524402e+01
1.232602761428503300e+02,2.932445718924818721e+02,1.364002709604925201e+01
6.644707657590690708e+00,2.967039716628268593e+02,9.661271848820666142e-01
1.441247347925213376e+02,2.924998295934695989e+02,1.235506785247804018e+01
4.182354175190822865e+00,3.067056381308403274e+02,6.617321809834243451e-01
1.518322494689291773e+02,2.825396246489735290e+02,7.074272214476682308e+00
1.030389859291535259e+02,2.897401531794598668e+02,1.180639012375117858e+01
1.858917399386042177e+02,2.818317772072111893e+02,6.028762345379816701e+00
1.415041684809087208e+01,2.839267150506115058e+02,1.750644410654164096e+00
1.684221386428642688e+02,2.966011678702573704e+02,1.386108603558838404e+01
1.427131174465317898e+01,3.039965201903945626e+02,4.595405700770375468e+00
6.951768578202090509e+01,2.886431831053071164e+02,1.063609978615711782e+01
8.662944765761882593e+01,3.036427998770319618e+02,2.334374694738490064e+01
1.932463540760299736e+02,2.894042580388357919e+02,8.806988552753210797e+00
1.128841366034629488e+02,2.992789356918949579e+02,1.874529159672088952e+01
5.251405404101551966e+01,2.813277392029241923e+02,6.229987298193460532e+00
4.909346710477464626e+01,2.945508892826505303e+02,1.207700719547426438e+01
1.777355458111767916e+02,2.791591606082586736e+02,5.333814887969785978e+00
4.594801625504754838e+01,2.822879726134845555e+02,6.031965650758492004e+00
2.578638646122141509e+01,2.871294149724658951e+02,4.539168918454540957e+00
5.837782064450794195e+01,2.794711234789312471e+02,5.922298349992315636e+00
1.176384898977338196e+02,3.041722688085092727e+02,2.321990772907722800e+01
1.112640099324802918e+02,3.026392164105976690e+02,2.196679118460276570e+01
1.621324444066427759e+02,3.059547114574827447e+02,2.173011558965220757e+01
1.125347144492309752e+02,2.847418728367784411e+02,8.884169225982189388e+00
5.839582167181088579e+01,2.913840794239231400e+02,1.141318555530980206e+01
8.316637219349765076e+01,3.022694225143797553e+02,2.183250544827941297e+01
1.638060732232111718e+02,2.862856817431056129e+02,8.344721070885182002e+00
1.256747860215309487e+02,2.974200926153235400e+02,1.665206045072033447e+01
1.918564508967909887e+02,2.883577499453564315e+02,8.386963989054603275e+00
7.451147780724448921e+01,2.893068362147543553e+02,1.124630156631413058e+01
1.109696905937361606e+02,2.982611758445477221e+02,1.792423383398289971e+01
1.191909161210204928e+02,3.061802437113518067e+02,2.526564557927527233e+01
