t,N1,N2,R,dN1_dt
0.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,5.000000000000000000e+01,5.033333333333333215e+00
1.000200040008001647e-02,1.005045325001173140e+01,1.503023968975979585e+01,5.047978254331174952e+01,5.055296499815515432e+00
2.000400080016003293e-02,1.010112611490305667e+01,1.506043179618285066e+01,5.095468470543169559e+01,5.077248066491549139e+00
3.000600120024005113e-02,1.015201848511884997e+01,1.509057546008169126e+01,5.142475575917275421e+01,5.099189264909618657e+00
4.000800160032006586e-02,1.020313026556008928e+01,1.512066982044049723e+01,5.189004440004600838e+01,5.121121266198766619e+00
5.001000200040008059e-02,1.025446137075346442e+01,1.515071401431751852e+01,5.235059883971436534e+01,5.143045183215717131e+00
6.001200240048010226e-02,1.030601172482541550e+01,1.518070717684444837e+01,5.280646680653101299e+01,5.164962073714074009e+00
7.001400280056011005e-02,1.035778126150213829e+01,1.521064844122642512e+01,5.325769554553939145e+01,5.186872943328873831e+00
8.001600320064013172e-02,1.040976992410957180e+01,1.524053693874203397e+01,5.370433181847322146e+01,5.208778748383215529e+00
9.001800360072015339e-02,1.046197766557340714e+01,1.527037179874330164e+01,5.414642190375649022e+01,5.230680398528964048e+00
1.000200040008001612e-01,1.051440444841908572e+01,1.530015214865570350e+01,5.458401159650344425e+01,5.252578759232607197e+00
1.100220044008801829e-01,1.056705024477179578e+01,1.532987711397815822e+01,5.501714620851859650e+01,5.274474654116478867e+00
1.200240048009602045e-01,1.061991503568835959e+01,1.535954581829677501e+01,5.544587057652815076e+01,5.296368866947092080e+00
1.300260052010402123e-01,1.067299880619412633e+01,1.538915738342246620e+01,5.587022909971031481e+01,5.318262141886920702e+00
1.400280056011202201e-01,1.072630155164785215e+01,1.541871092928659692e+01,5.629026564632525265e+01,5.340155187405103199e+00
1.500300060012002556e-01,1.077982327421677411e+01,1.544820557395487803e+01,5.670602363881955910e+01,5.362048677361000770e+00
1.600320064012802634e-01,1.083356398172007218e+01,1.547764043364540498e+01,5.711754607204942857e+01,5.383943252416260705e+00
1.700340068013602712e-01,1.088752368762887457e+01,1.550701462272866848e+01,5.752487551328069770e+01,5.405839521692193728e+00
1.800360072014403068e-01,1.094170241106625419e+01,1.553632725372754919e+01,5.792805410218878137e+01,5.427738064337209067e+00
1.900380076015203146e-01,1.099610017680722684e+01,1.556557743731731236e+01,5.832712355085874378e+01,5.449639431009757118e+00
2.000400080016003224e-01,1.105071701527876016e+01,1.559476428232562206e+01,5.872212514378523451e+01,5.471544145281960425e+00
2.100420084016803579e-01,1.110555296255976110e+01,1.562388689573252343e+01,5.911309973787253824e+01,5.493452704968679434e+00
2.200440088017603657e-01,1.116060806038108666e+01,1.565294438267045862e+01,5.950008776243453923e+01,5.515365583386474313e+00
2.300460092018403735e-01,1.121588235452762383e+01,1.568193584653612227e+01,5.988312924546484339e+01,5.537283230076004870e+00
2.400480096019204090e-01,1.127137589389015027e+01,1.571086038912308780e+01,6.026226379478232786e+01,5.559206071355395018e+00
2.500500100020003891e-01,1.132708873360069468e+01,1.573971711038197974e+01,6.063753055886815702e+01,5.581134512430626415e+00
2.600520104020804246e-01,1.138302093209502708e+01,1.576850510856950649e+01,6.100896830551799610e+01,5.603068937817543116e+00
2.700540108021604602e-01,1.143917255103634645e+01,1.579722348025310197e+01,6.137661542346956622e+01,5.625009712292897923e+00
2.800560112022404402e-01,1.149554365531528077e+01,1.582587132031092203e+01,6.174050992240260882e+01,5.646957181816411264e+00
2.900580116023204758e-01,1.155213431304989591e+01,1.585444772193185337e+01,6.210068943293894961e+01,5.668911674407299373e+00
3.000600120024005113e-01,1.160894459558567782e+01,1.588295177661549751e+01,6.245719120664244883e+01,5.690873500977795096e+00
3.100620124024804913e-01,1.166597457749555389e+01,1.591138257417219037e+01,6.281005211601900839e+01,5.712842956126076288e+00
3.200640128025605269e-01,1.172322433657987695e+01,1.593973920272298450e+01,6.315930865451659315e+01,5.734820318890770707e+00
3.300660132026405624e-01,1.178069395386643059e+01,1.596802074869966148e+01,6.350499693652520250e+01,5.756805853469149525e+00
3.400680136027205425e-01,1.183838351255626264e+01,1.599622629701013743e+01,6.384715272188901736e+01,5.778799809640495333e+00
3.500700140028005780e-01,1.189629309739513552e+01,1.602435493120925614e+01,6.418581139716934558e+01,5.800802422977350048e+00
3.600720144028806136e-01,1.195442279685049236e+01,1.605240573313268015e+01,6.452100793628349606e+01,5.822813916105166854e+00
3.700740148029605936e-01,1.201277270114608875e+01,1.608037778314134414e+01,6.485277697571804367e+01,5.844834499064962330e+00
3.800760152030406291e-01,1.207134290220801986e+01,1.610827016012910562e+01,6.518115281616557866e+01,5.866864369870614659e+00
3.900780156031206647e-01,1.213013349366471694e+01,1.613608194152272546e+01,6.550616942252480612e+01,5.888903715050479271e+00
4.000800160032006447e-01,1.218914457084695613e+01,1.616381220328188917e+01,6.582786042390047498e+01,5.910952710164606216e+00
4.100820164032806803e-01,1.224837623078784610e+01,1.619146001989918915e+01,6.614625911360337795e+01,5.933011520298780539e+00
4.200840168033607158e-01,1.230782857222283866e+01,1.621902446440014600e+01,6.646139844915040840e+01,5.955080300536561566e+00
4.300860172034406959e-01,1.236750169558971812e+01,1.624650460834318011e+01,6.677331105226450347e+01,5.977159196410424258e+00
4.400880176035207314e-01,1.242739570302861729e+01,1.627389952181963650e+01,6.708202920887464416e+01,5.999248344333033778e+00
4.500900180036007669e-01,1.248751069819923032e+01,1.630120827350959445e+01,6.738758487598060753e+01,6.021347871982307254e+00
4.600920184036807470e-01,1.254784678492401007e+01,1.632842993114319086e+01,6.769000971119041310e+01,6.043457898311294763e+00
4.700940188037607825e-01,1.260840406908910616e+01,1.635556356095057495e+01,6.798933498572110068e+01,6.065578534080039219e+00
4.800960192038408181e-01,1.266918265766896212e+01,1.638260822787608006e+01,6.828559165761311078e+01,6.087709882384851667e+00
4.900980196039207981e-01,1.273018265839083796e+01,1.640956299567255883e+01,6.857881038795153472e+01,6.109852038987163780e+00
5.001000200040007782e-01,1.279140417973481902e+01,1.643642692690137963e+01,6.886902154086621408e+01,6.132005092647320410e+00
5.101020204040808137e-01,1.285284733093380005e+01,1.646319908293243373e+01,6.915625518353164125e+01,6.154169125444635569e+00
5.201040208041608492e-01,1.291451222197349935e+01,1.648987852394411036e+01,6.944054108616704468e+01,6.176344213084359325e+00
5.301060212042408848e-01,1.297639896359245171e+01,1.651646430892333228e+01,6.972190872203633205e+01,6.198530425192153359e+00
5.401080216043209203e-01,1.303850766728200838e+01,1.654295549566553092e+01,7.000038726744811868e+01,6.220727825596655158e+00
5.501100220044009559e-01,1.310083844528634067e+01,1.656935114077464988e+01,7.027600560175572753e+01,6.242936472600682407e+00
