t,N1,N2,direct_interference_pressure_12,nonlethal_interference_pressure_12,dN1_dt
0.000000000000000000e+00,4.000000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.033846153846153726e+01
3.000600120024004766e-02,4.030896249056742420e+01,6.021442891173713008e+01,1.811459910186045963e-03,1.811459910186045963e-03,1.025460712467056013e+01
6.001200240048009532e-02,4.061538116134392595e+01,6.042563515685658615e+01,3.608816973584812963e-03,3.608816973584812963e-03,1.016891850236612171e+01
9.001800360072013951e-02,4.091920197027206285e+01,6.063362864972580724e+01,5.392174292185547037e-03,5.392174292185547037e-03,1.008146199326395731e+01
1.200240048009601906e-01,4.122037288166534097e+01,6.083842058778203921e+01,7.161635528883870255e-03,7.161635528883870255e-03,9.992304421948961846e+00
1.500300060012002279e-01,4.151884385144789746e+01,6.104002367103105797e+01,8.917305240914056436e-03,8.917305240914056436e-03,9.901512982100307170e+00
1.800360072014402790e-01,4.181456685974112020e+01,6.123845183236041834e+01,1.065928847105002304e-02,1.065928847105002304e-02,9.809155173493905977e+00
2.100420084016803302e-01,4.210749592140744824e+01,6.143372014820823068e+01,1.238769061057259056e-02,1.238769061057259056e-02,9.715298715717356259e+00
2.400480096019203813e-01,4.239758708605035764e+01,6.162584483856311834e+01,1.410261739926947297e-02,1.410261739926947297e-02,9.620011450998624980e+00
2.700540108021604047e-01,4.268479843801436147e+01,6.181484326696424603e+01,1.580417492543529853e-02,1.580417492543529853e-02,9.523361248734836693e+00
3.000600120024004558e-01,4.296909009638502397e+01,6.200073394050131270e+01,1.749246962587157339e-02,1.749246962587157339e-02,9.425415911777236033e+00
3.300660132026405069e-01,4.325042421498896061e+01,6.218353650981455161e+01,1.916760828588671972e-02,1.916760828588671972e-02,9.326243084525396299e+00
3.600720144028805580e-01,4.352876498239381675e+01,6.236327176909470893e+01,2.082969803929605318e-02,2.082969803929605318e-02,9.225910162880376575e+00
3.900780156031206092e-01,4.380407858640105445e+01,6.253996149883545286e+01,2.247884617518068270e-02,2.247884617518068270e-02,9.124484235237886764e+00
4.200840168033606603e-01,4.407633321769475998e+01,6.271362822233648160e+01,2.411515980669970069e-02,2.411515980669970069e-02,9.022032035867621147e+00
4.500900180036007114e-01,4.434549914138982274e+01,6.288429560312366817e+01,2.573874636931162280e-02,2.573874636931162280e-02,8.918619790617613674e+00
4.800960192038407626e-01,4.461154855275019315e+01,6.305198809295529117e+01,2.734971322347961448e-02,2.734971322347961448e-02,8.814313210519408415e+00
5.101020204040808137e-01,4.487445557151693976e+01,6.321673091329700611e+01,2.894816763271691046e-02,2.894816763271691046e-02,8.709177419935990372e+00
5.401080216043208093e-01,4.513419624190818524e+01,6.337855005532185260e+01,3.053421676358679393e-02,3.053421676358679393e-02,8.603276883065658964e+00
5.701140228045609160e-01,4.539074853261916331e+01,6.353747227991025426e+01,3.210796768570264859e-02,3.210796768570264859e-02,8.496675332400064562e+00
6.001200240048009116e-01,4.564409233682218314e+01,6.369352511765001168e+01,3.366952737172788923e-02,3.366952737172788923e-02,8.389435699159474069e+00
6.301260252050410182e-01,4.589420947216665070e+01,6.384673686883630239e+01,3.521900269737600342e-02,3.521900269737600342e-02,8.281620045725320622e+00
6.601320264052810138e-01,4.614108366222922086e+01,6.399713657790560006e+01,3.675650041784175176e-02,3.675650041784175176e-02,8.173289507553729294e+00
6.901380276055211205e-01,4.638470029058160549e+01,6.414475364560698267e+01,3.828212679423699527e-02,3.828212679423699527e-02,8.064504338712772835e+00
7.201440288057611161e-01,4.662504666666043107e+01,6.428961814881839132e+01,3.979598787253565972e-02,3.979598787253565972e-02,7.955323756108700906e+00
7.501500300060012227e-01,4.686211184683519804e+01,6.443176069933608119e+01,4.129818938729478556e-02,4.129818938729478556e-02,7.845805938228433085e+00
7.801560312062412184e-01,4.709588654850323763e+01,6.457121233926154957e+01,4.278883666968540805e-02,4.278883666968540805e-02,7.736008007281756527e+00
8.101620324064813250e-01,4.732636315008969774e+01,6.470800454100141508e+01,4.426803464749263367e-02,4.426803464749263367e-02,7.625985981292703109e+00
8.401680336067213206e-01,4.755353569104757128e+01,6.484216920726754552e+01,4.573588784511557759e-02,4.573588784511557759e-02,7.515794727953319487e+00
8.701740348069614273e-01,4.777739987185765358e+01,6.497373867107695844e+01,4.719250038356739840e-02,4.719250038356739840e-02,7.405487920240393152e+00
9.001800360072014229e-01,4.799795305402855661e+01,6.510274569575190640e+01,4.863797598047527732e-02,4.863797598047527732e-02,7.295117993793504674e+00
9.301860372074415295e-01,4.821519423335696075e+01,6.522922345131873101e+01,5.007241793299608418e-02,5.007241793299608418e-02,7.184736115999015738e+00
9.601920384076815251e-01,4.842912372648122243e+01,6.535320520278500567e+01,5.149592887564985455e-02,5.149592887564985455e-02,7.074392271712317992e+00
9.901980396079215208e-01,4.863974346797807158e+01,6.547472454347897042e+01,5.290861093492361250e-02,5.290861093492361250e-02,6.964135126033100143e+00
1.020204040808161627e+00,4.884705681095009311e+01,6.559381529138724432e+01,5.431056568753783731e-02,5.431056568753783731e-02,6.854012054738792159e+00
