t,J,A,maturation_resource_level,adult_energy_reserve_level,dA_dt
0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.650000000000000000e+01
1.000200040008001647e-02,9.995122092456072949e+01,5.016418032668168081e+01,9.925609181250035773e-01,9.999962705847301736e-01,1.633003651216921170e+01
2.000400080016003293e-02,9.990487568269132623e+01,5.032667674594908647e+01,9.852452571347077859e-01,9.999851700091585416e-01,1.616326973058183469e+01
3.000600120024005113e-02,9.986092293929462471e+01,5.048752088893056111e+01,9.780509225612151747e-01,9.999668279538147520e-01,1.599963350475756130e+01
4.000800160032006586e-02,9.981932222716905301e+01,5.064674370353299793e+01,9.709758573047316821e-01,9.999413717834677584e-01,1.583906331114087429e+01
5.001000200040008059e-02,9.978003384662451936e+01,5.080437553446121512e+01,9.640180374993407852e-01,9.999089267959575533e-01,1.568149611848953029e+01
6.001200240048010226e-02,9.974301886503614867e+01,5.096044612357274417e+01,9.571754724940718662e-01,9.998696162233351448e-01,1.552687036158342160e+01
7.001400280056011005e-02,9.970823911684426832e+01,5.111498460987778714e+01,9.504462048528999896e-01,9.998235612318613352e-01,1.537512591624485125e+01
8.001600320064013172e-02,9.967565720355437975e+01,5.126801952953923802e+01,9.438283103547457920e-01,9.997708809220077208e-01,1.522620407516026830e+01
9.001800360072015339e-02,9.964523647537241402e+01,5.141957883094645609e+01,9.373198975060317295e-01,9.997116923585986914e-01,1.508004751032114754e+01
1.000200040008001612e-01,9.961694101280525615e+01,5.156968989135096137e+01,9.309191079380733091e-01,9.996461105493340549e-01,1.493660025381382006e+01
1.100220044008801829e-01,9.959073564949049739e+01,5.171837949745300023e+01,9.246241166049107285e-01,9.995742484308972609e-01,1.479580768565571702e+01
1.200240048009602045e-01,9.956658587472618649e+01,5.186567392324263892e+01,9.184331279355936184e-01,9.994962171023344943e-01,1.465761641311342345e+01
1.300260052010402123e-01,9.954445782823185596e+01,5.201159893423152880e+01,9.123443756553726303e-01,9.994121258359699445e-01,1.452197424620133148e+01
1.400280056011202201e-01,9.952431830014855052e+01,5.215617978745285654e+01,9.063561227856998803e-01,9.993220820774054713e-01,1.438883017864332636e+01
1.500300060012002556e-01,9.950613473103879869e+01,5.229944123146138679e+01,9.004666616442283944e-01,9.992261914455204952e-01,1.425813436945047030e+01
1.600320064012802634e-01,9.948987520327632694e+01,5.244140751331740802e+01,8.946743135763870480e-01,9.991245577491656427e-01,1.412983811775707821e+01
1.700340068013602712e-01,9.947550841325208637e+01,5.258210240215053943e+01,8.889774286955229865e-01,9.990172830064470988e-01,1.400389383391018860e+01
1.800360072014403068e-01,9.946300371315399502e+01,5.272154915549067056e+01,8.833743873045452055e-01,9.989044673568000521e-01,1.388025506088662198e+01
1.900380076015203146e-01,9.945233102051466290e+01,5.285977059083077023e+01,8.778635959925313870e-01,9.987862092980434037e-01,1.375887636000607017e+01
2.000400080016003224e-01,9.944346080634507246e+01,5.299678909512087444e+01,8.724434871864358287e-01,9.986626057138496826e-01,1.363971328425132867e+01
2.100420084016803579e-01,9.943636409513453600e+01,5.313262662476810050e+01,8.671125191510899999e-01,9.985337518737452678e-01,1.352272236375242898e+01
2.200440088017603657e-01,9.943101246485076672e+01,5.326730470563662578e+01,8.618691759892017634e-01,9.983997414331101661e-01,1.340786109174588248e+01
2.300460092018403735e-01,9.942737804553007663e+01,5.340084443417869409e+01,8.567119675914004473e-01,9.982606664362927429e-01,1.329508790968878706e+01
