t,N,P_pred,dN_dt
0.000000000000000000e+00,3.000000000000000000e+01,2.000000000000000000e+00,2.688026315789473486e+01
1.000200040008001647e-02,3.027195320690161395e+01,1.999104193832111909e+00,2.750279055484604740e+01
2.000400080016003293e-02,3.055023321439449902e+01,1.998213671823316551e+00,2.814546594635723764e+01
3.000600120024005113e-02,3.083504531960141648e+01,1.997328503805685829e+00,2.880911826388658525e+01
4.000800160032006586e-02,3.112660354151604736e+01,1.996448761025701346e+00,2.949461755593889833e+01
5.001000200040008059e-02,3.142513119455721338e+01,1.995574516187947900e+00,3.020287762428351641e+01
6.001200240048010226e-02,3.173086088856884857e+01,1.994705843455114591e+00,3.093485737667953472e+01
7.001400280056011005e-02,3.204403471660463509e+01,1.993842818458684052e+00,3.169156265923794891e+01
8.001600320064013172e-02,3.236490526093788134e+01,1.992985518354911223e+00,3.247405014150787395e+01
9.001800360072015339e-02,3.269373543882898758e+01,1.992134021809067290e+00,3.328342848560057377e+01
1.000200040008001612e-01,3.303080015189190988e+01,1.991288409085706812e+00,3.412086402050033485e+01
1.100220044008801829e-01,3.337638649101786825e+01,1.990448762060230914e+00,3.498758302119082231e+01
1.200240048009602045e-01,3.373079373674161019e+01,1.989615164218901722e+00,3.588487351519822965e+01
1.300260052010402123e-01,3.409433433876465358e+01,1.988787700699301553e+00,3.681408962041601995e+01
1.400280056011202201e-01,3.446733431875171760e+01,1.987966458301084760e+00,3.777665453885473568e+01
1.500300060012002556e-01,3.485013452084631780e+01,1.987151525527672602e+00,3.877406583762764569e+01
1.600320064012802634e-01,3.524309173186584587e+01,1.986342992631162208e+00,3.980790057481326727e+01
1.700340068013602712e-01,3.564657868130158391e+01,1.985540951612328797e+00,4.087981760164956313e+01
1.800360072014403068e-01,3.606098475248255397e+01,1.984745496239352702e+00,4.199156177331973083e+01
1.900380076015203146e-01,3.648671716448328084e+01,1.983956722072970802e+00,4.314496953203228458e+01
2.000400080016003224e-01,3.692420193911552673e+01,1.983174726479199901e+00,4.434197405458976249e+01
2.100420084016803579e-01,3.737388571446276586e+01,1.982399608674780600e+00,4.558461286415641212e+01
2.200440088017603657e-01,3.783623577425093032e+01,1.981631469727951123e+00,4.687503067377211607e+01
2.300460092018403735e-01,3.831174105556433318e+01,1.980870412570657990e+00,4.821548493135949798e+01
2.400480096019204090e-01,3.880091341593523424e+01,1.980116542004056956e+00,4.960835217484939363e+01
2.500500100020003891e-01,3.930428937581415028e+01,1.979369964706748863e+00,5.105613584996099519e+01
2.600520104020804246e-01,3.982243186355878350e+01,1.978630789255270583e+00,5.256147427872670619e+01
2.700540108021604602e-01,4.035593032130908142e+01,1.977899126124103901e+00,5.412714390451598945e+01
2.800560112022404402e-01,4.090540260093357006e+01,1.977175087680462129e+00,5.575606765495743389e+01
2.900580116023204758e-01,4.147149598858021591e+01,1.976458788164216607e+00,5.745132073062843858e+01
3.000600120024005113e-01,4.205489035066693759e+01,1.975750343677405541e+00,5.921614268278852222e+01
3.100620124024804913e-01,4.265629885457840231e+01,1.975049872183692878e+00,6.105394219796790622e+01
3.200640128025605269e-01,4.327646904493498425e+01,1.974357493491460058e+00,6.296830262210913531e+01
3.300660132026405624e-01,4.391618488918103225e+01,1.973673329205024585e+00,6.496299012746894164e+01
3.400680136027205425e-01,4.457626943100381567e+01,1.972997502669681769e+00,6.704196347900946762e+01
3.500700140028005780e-01,4.525758693787723530e+01,1.972330138940743716e+00,6.920938184629318357e+01
3.600720144028806136e-01,4.596104359414157159e+01,1.971671364761824252e+00,7.146960733625093098e+01
3.700740148029605936e-01,4.668758995875951712e+01,1.971021308469206312e+00,7.382721224571058372e+01
3.800760152030406291e-01,4.743822359956443790e+01,1.970380099889517123e+00,7.628698598931765673e+01
3.900780156031206647e-01,4.821399190619710140e+01,1.969747870256005395e+00,7.885394151070821067e+01
4.000800160032006447e-01,4.901599288036398150e+01,1.969124752167620507e+00,8.153331354593844083e+01
4.100820164032806803e-01,4.984537760461781630e+01,1.968510879429868021e+00,8.433056050745879872e+01
4.200840168033607158e-01,5.070335319807980312e+01,1.967906386878312874e+00,8.725136591032241995e+01
4.300860172034406959e-01,5.159118535664579497e+01,1.967311410251104009e+00,9.030163589550420511e+01
4.400880176035207314e-01,5.251019941657416013e+01,1.966726086085312408e+00,9.348748855641569833e+01
4.500900180036007669e-01,5.346178241994635982e+01,1.966150551475042141e+00,9.681524287696458941e+01
4.600920184036807470e-01,5.444738618005289510e+01,1.965584943779432159e+00,1.002914068256238380e+02
4.700940188037607825e-01,5.546852868737502718e+01,1.965029400488923494e+00,1.039226545465397180e+02
4.800960192038408181e-01,5.652679498443789896e+01,1.964484058972457703e+00,1.077157954904312760e+02
4.900980196039207981e-01,5.762383843000321093e+01,1.963949056109465241e+00,1.116777377323933251e+02
5.001000200040007782e-01,5.876138232383797799e+01,1.963424527919945595e+00,1.158154443282315214e+02
5.101020204040808137e-01,5.994121979951068369e+01,1.962910609374159288e+00,1.201358738097984400e+02
5.201040208041608492e-01,6.116521283787977126e+01,1.962407433913037735e+00,1.246459062515325655e+02
5.301060212042408848e-01,6.243529116314307004e+01,1.961915132899395120e+00,1.293522560452657331e+02
5.401080216043209203e-01,6.375345122373839502e+01,1.961433835324072783e+00,1.342613704075496628e+02
5.501100220044009559e-01,6.512175210828331728e+01,1.960963667282043188e+00,1.393792999210976120e+02
5.601120224044808804e-01,6.654230976027690758e+01,1.960504751264203094e+00,1.447115438736665283e+02
5.701140228045609160e-01,6.801729217309387820e+01,1.960057205649216705e+00,1.502628782839329915e+02
5.801160232046409515e-01,6.954891173917216918e+01,1.959621144159838346e+00,1.560371500648820700e+02
5.901180236047209871e-01,7.113941232237228007e+01,1.959196674981933839e+00,1.620370257899173794e+02
6.001200240048010226e-01,7.279105672472104516e+01,1.958783900032559311e+00,1.682637143858319462e+02
6.101220244048810581e-01,7.450611385293672129e+01,1.958382914356050053e+00,1.747166594427749828e+02
6.201240248049609827e-01,7.628683529985595158e+01,1.957993805067071991e+00,1.813931611310459857e+02
6.301260252050410182e-01,7.813543089230574878e+01,1.957616650428080529e+00,1.882879636174988605e+02
6.401280256051210538e-01,8.005404771470035996e+01,1.957251519147970020e+00,1.953928254419755888e+02
6.501300260052010893e-01,8.204473174903502297e+01,1.956898469151949094e+00,2.026959974110970961e+02
6.601320264052811249e-01,8.410938761555526355e+01,1.956557546533988834e+00,2.101816715552475898e+02
6.701340268053610494e-01,8.624974586436815116e+01,1.956228784748243799e+00,2.178294420415857928e+02
6.801360272054410849e-01,8.846730487115634389e+01,1.955912203239189795e+00,2.256136690956236635e+02
6.901380276055211205e-01,9.076327251455285250e+01,1.955607806371465474e+00,2.335028554434527450e+02
7.001400280056011560e-01,9.313851901683108281e+01,1.955315582541435449e+00,2.414590919234983630e+02
7.101420284056811916e-01,9.559349666301534398e+01,1.955035502764600697e+00,2.494374453775160418e+02
7.201440288057612271e-01,9.812816546838729437e+01,1.954767519728110248e+00,2.573854608538856041e+02
7.301460292058411516e-01,1.007419326615383426e+02,1.954511566902780828e+00,2.652428340003355629e+02
7.401480296059211872e-01,1.034335559067454824e+02,1.954267557272892697e+00,2.729411413641051354e+02
7.501500300060012227e-01,1.062010628223861772e+02,1.954035382697140388e+00,2.804038512166393389e+02
7.601520304060812583e-01,1.090416872924137976e+02,1.953814913180777157e+00,2.875466538649998256e+02
7.701540308061612938e-01,1.119517770874656009e+02,1.953605995999562861e+00,2.942780433966162832e+02
7.801560312062413294e-01,1.149267292824864342e+02,1.953408455606066019e+00,3.005003605913195770e+02
7.901580316063212539e-01,1.179609477900231553e+02,1.953222093306309359e+00,3.061113011966451722e+02
8.001600320064012895e-01,1.210477915223408587e+02,1.953046686982319979e+00,3.110058490041240020e+02
8.101620324064813250e-01,1.241795690645258361e+02,1.952881991897760017e+00,3.150787474254300378e+02
8.201640328065613605e-01,1.273475506046342360e+02,1.952727741034095521e+00,3.182274046532101011e+02
8.301660332066413961e-01,1.305419839364363384e+02,1.952583645362683695e+00,3.203551719198360388e+02
8.401680336067214316e-01,1.337522320449127733e+02,1.952449396093322465e+00,3.213749624356933623e+02
8.501700340068013562e-01,1.369668351388263545e+02,1.952324665572120921e+00,3.212128777355310376e+02
8.601720344068813917e-01,1.401736511436920978e+02,1.952209108630041490e+00,3.198118276030926381e+02
8.701740348069614273e-01,1.433600788230644412e+02,1.952102365116778149e+00,3.171348047231812188e+02
8.801760352070414628e-01,1.465133044826211801e+02,1.952004062729958633e+00,3.131675115559540927e+02
8.901780356071214984e-01,1.496204329443333165e+02,1.951913818285740732e+00,3.079203715396810139e+02
9.001800360072015339e-01,1.526687931130043978e+02,1.951831240797697653e+00,3.014294568223440365e+02
9.101820364072814584e-01,1.556462639170628677e+02,1.951755935168203671e+00,2.937561175270498097e+02
9.201840368073614940e-01,1.585414337747033926e+02,1.951687503880022323e+00,2.849857731495974917e+02
9.301860372074415295e-01,1.613438263994857778e+02,1.951625549779649749e+00,2.752255060615300977e+02
9.401880376075215651e-01,1.640441565498971954e+02,1.951569679622389364e+00,2.646004305583279574e+02
9.501900380076016006e-01,1.666344704329601711e+02,1.951519506042721286e+00,2.532494919355110028e+02
9.601920384076816362e-01,1.691082354445740350e+02,1.951474649666219197e+00,2.413208520462119395e+02
9.701940388077615607e-01,1.714604348109649550e+02,1.951434741970432096e+00,2.289668562269057475e+02
9.801960392078415962e-01,1.736875767476767010e+02,1.951399426430788786e+00,2.163392514886062941e+02
9.901980396079216318e-01,1.757876640625598839e+02,1.951368360613499275e+00,2.035847635747453523e+02
1.000200040008001556e+00,1.777601241543154345e+02,1.951341217056644206e+00,1.908412634306610016e+02
1.010202040408081592e+00,1.796057109172297146e+02,1.951317684430514676e+00,1.782346352648882259e+02
