d,m
5.000000000000000000e-01,9.834767512678792567e-01
5.039007801560312361e-01,9.832598676442225738e-01
5.078015603120623611e-01,9.830417698858535669e-01
5.117023404680935972e-01,9.828224596676137237e-01
5.156031206241248332e-01,9.826019386498040520e-01
5.195039007801560693e-01,9.823802084786258382e-01
5.234046809361871944e-01,9.821572707866068619e-01
5.273054610922184304e-01,9.819331271930162863e-01
5.312062412482496665e-01,9.817077793042729983e-01
5.351070214042809026e-01,9.814812287143390712e-01
5.390078015603120276e-01,9.812534770051061228e-01
5.429085817163432637e-01,9.810245257467706814e-01
5.468093618723744997e-01,9.807943764982007817e-01
5.507101420284057358e-01,9.805630308072943446e-01
5.546109221844368609e-01,9.803304902113268993e-01
5.585117023404680969e-01,9.800967562372928654e-01
5.624124824964993330e-01,9.798618304022368442e-01
5.663132626525304580e-01,9.796257142135795792e-01
5.702140428085616941e-01,9.793884091694321503e-01
5.741148229645929302e-01,9.791499167589065022e-01
5.780156031206241662e-01,9.789102384624168707e-01
5.819163832766552913e-01,9.786693757519757675e-01
5.858171634326865274e-01,9.784273300914789750e-01
5.897179435887177634e-01,9.781841029369903184e-01
5.936187237447489995e-01,9.779396957370138921e-01
5.975195039007801245e-01,9.776941099327642881e-01
6.014202840568113606e-01,9.774473469584278318e-01
6.053210642128425967e-01,9.771994082414211524e-01
6.092218443688737217e-01,9.769502952026397624e-01
6.131226245249049578e-01,9.767000092567048597e-01
6.170234046809361939e-01,9.764485518122024699e-01
6.209241848369674299e-01,9.761959242719190355e-01
6.248249649929985550e-01,9.759421280330694559e-01
6.287257451490297910e-01,9.756871644875232397e-01
6.326265253050610271e-01,9.754310350220224413e-01
6.365273054610922632e-01,9.751737410183977106e-01
6.404280856171233882e-01,9.749152838537774590e-01
6.443288657731546243e-01,9.746556649007954709e-01
6.482296459291858604e-01,9.743948855277904109e-01
6.521304260852169854e-01,9.741329470990036654e-01
6.560312062412482215e-01,9.738698509747726328e-01
6.599319863972794575e-01,9.736055985117195721e-01
6.638327665533106936e-01,9.733401910629366771e-01
6.677335467093419297e-01,9.730736299781659326e-01
6.716343268653730547e-01,9.728059166039791927e-01
6.755351070214042908e-01,9.725370522839490439e-01
6.794358871774355269e-01,9.722670383588218890e-01
6.833366673334666519e-01,9.719958761666819269e-01
6.872374474894978880e-01,9.717235670431160210e-01
6.911382276455291240e-01,9.714501123213736822e-01
6.950390078015602491e-01,9.711755133325233880e-01
6.989397879575914851e-01,9.708997714056066819e-01
7.028405681136227212e-01,9.706228878677880534e-01
7.067413482696539573e-01,9.703448640445032636e-01
7.106421284256851933e-01,9.700657012596030082e-01
7.145429085817163184e-01,9.697854008354955813e-01
7.184436887377475545e-01,9.695039640932850977e-01
7.223444688937787905e-01,9.692213923529077180e-01
7.262452490498099156e-01,9.689376869332657627e-01
7.301460292058411516e-01,9.686528491523578310e-01
7.340468093618723877e-01,9.683668803274069203e-01
7.379475895179035128e-01,9.680797817749869916e-01
7.418483696739347488e-01,9.677915548111459820e-01
7.457491498299659849e-01,9.675022007515262645e-01
7.496499299859972210e-01,9.672117209114834413e-01
7.535507101420284570e-01,9.669201166062032504e-01
7.574514902980595821e-01,9.666273891508145866e-01
7.613522704540908181e-01,9.663335398605015225e-01
7.652530506101220542e-01,9.660385700506135542e-01
