A,D,H,P_dist,S
3.530585630408592834e+01,2.655612665936565122e+02,1.136013827854277913e+01,9.717462947168120646e-01,4.180574197246805568e+00
1.199904977939350248e+00,2.071936354619049894e+02,1.924972134401176760e+01,1.253745789328682303e+00,1.968425004331156414e+00
1.458458566595886852e-01,1.446021151082453571e+02,1.532410319162974233e+01,4.197291428159656945e+00,2.771908885724186922e-01
1.164422375176787511e-01,2.038524397918564830e+02,1.666264523486033511e+01,3.345696981334281173e+00,1.222959223600920547e-01
1.790939671847832813e+02,2.507276254694963029e+02,1.138869652903724017e+01,8.624305792809539017e-01,7.306236916000170112e+00
4.477363031844229795e+02,3.997233808155116463e+01,1.215165550501748370e+01,3.565210836349487877e+00,6.795011133477184728e+01
2.670195766859458075e+01,2.024413116808115660e+02,1.258325407523722639e+01,3.895058757553199413e+00,7.216070584938330867e+00
8.279159394670350025e+01,1.658662421424700710e+02,5.318748561607710812e+00,2.350478416107347535e+00,1.279815366646018582e+01
1.494513924888153511e+01,1.900946546910119537e+02,1.248009138882929747e+01,1.115634807913606252e+00,7.013881846323608116e+00
5.499075661406077415e+02,7.810552962839103941e+01,1.948146222091743951e+01,1.890110806405244759e+00,5.257684375425493783e+01
1.834062860197346367e+02,2.744411834138168160e+02,1.596423721033262844e+01,4.705781295867673464e+00,5.961109313065369619e+00
1.025543297673200682e-01,1.527981550112746163e+02,7.445205595716091196e+00,1.216975782021498809e+00,1.932050418398841285e-01
2.689162870914672681e+02,1.721750967815563911e+02,1.460094607358005447e+01,3.915898212374833598e+00,1.769874861061918381e+01
1.362518165784105395e-01,1.797380181263759482e+02,5.580158476243157750e+00,2.765787377548023507e+00,1.775203011033707479e-01
8.291283895033407703e+01,6.179843853424119260e+01,1.975274419253026181e+01,4.666106593876114594e+00,3.782035242681075005e+01
5.042228030788947768e-01,4.676117821633884120e+01,4.534388560350228303e+00,4.717099903412689699e+00,2.853219095740963773e+00
2.836061794577942123e+02,1.885756399876193257e+02,1.737042650433328816e+01,4.941135395427379784e+00,1.547913825739505533e+01
1.465024477809162917e+01,6.001142374229614518e+01,1.768703032252385654e+01,3.595584457797653677e+00,2.415231314628368509e+01
1.580693116829210654e+00,4.450269290783192133e+01,3.734459370198346395e+00,2.311043575760788116e+00,9.507363759953069149e+00
4.906241083254888835e+00,1.701837870787165912e+02,1.248250136039259495e+01,3.368605114447207782e+00,6.008642153934156127e+00
1.298011931517780715e-01,2.898263248026107135e+02,4.398658976253346786e+00,1.238919698701300032e+00,6.438020742665384599e-02
3.141471369267714309e-01,2.632537506597321908e+02,1.760771945854477494e+01,1.658377754663830750e+00,2.633081136076605988e-01
4.813906588782617035e+01,1.514046753225147484e+02,8.116585104169560694e+00,4.316407584647265594e+00,1.330602151942344236e+01
3.879341802770623104e+01,2.140709296509701858e+02,7.865134908588600204e-01,8.707416159451292215e-01,5.621845569695720357e+00
2.894279349282435732e+01,6.735787295204281122e+01,9.401285924122364079e+00,4.263503326284109995e+00,2.594299060918217137e+01
3.425391510598942979e+00,6.902786868157893707e+01,5.564540310169605597e+00,2.602042775656880469e+00,1.266405765363320057e+01
9.746299280198960560e+02,1.707596652028483675e+02,1.723268275576227282e+01,4.987193311166128851e+00,2.506014322740826117e+01
8.381878382308891560e+02,2.614502656189358163e+02,1.519504846143155774e+01,2.428586413691254720e+00,9.890478799283728861e+00
5.522909641366668865e+01,2.842220132998280064e+02,8.855322557591989607e+00,5.070107230691506262e-01,3.829870346835369865e+00
3.997947668399871901e+01,2.613917060252783813e+02,1.769615379117898257e+01,2.233761499196891709e+00,4.625725715723001841e+00
5.672662195388560491e+01,6.597330400539853201e+01,1.512413831178029611e+01,1.778997264980811011e+00,3.255313157820604886e+01
3.594890744699985596e+00,2.752375741941886531e+02,2.172840611324620141e+00,3.372183531810360346e+00,1.618462796632076151e+00
3.470451824669471552e-01,6.248400973233118094e+01,1.753584203065435787e+01,1.745729430549237682e+00,2.007089894049350676e+00
7.690478472027461976e+01,1.849256382909921399e+02,1.934706503062540861e+01,2.801933214660720317e+00,1.160227837483581403e+01
1.263040538572920468e+01,2.360424635087619265e+02,1.731342356483649425e+00,2.643245873663877532e+00,3.530330847880484679e+00
1.741676540832514775e+00,8.399903330325012973e+01,1.291615359242242889e+01,3.060720323702730727e+00,7.925126930481519061e+00
8.776905761663266858e+00,2.128992087056184914e+02,1.493442438691241847e+01,4.263588707472218964e+00,4.830029263634811443e+00
3.613693690103394829e+02,1.549813347137009032e+02,1.281477515636451869e+01,3.891847421815548103e+00,2.228988270033376295e+01
5.447209314859790084e+02,1.962601218959438256e+02,1.376692511322667123e+01,2.622035559401882931e+00,1.666736898021877167e+01
2.698862673296380965e+00,2.236549712448639013e+02,1.157059542695364485e+00,1.166839885156751855e+00,2.309085506911590535e+00
1.932499200508488713e+01,1.210915836840956814e+02,1.793632925271641554e+01,3.081772497519124521e+00,1.483659921079969024e+01
1.938552487550623704e+00,1.872585870343717716e+02,9.689677414647373865e+00,3.888743886853166742e+00,3.101821949119695443e+00
2.383417483619410859e+01,1.891882015498200929e+02,5.831817392753864127e+00,4.738690318420174741e+00,7.436372257753615322e+00
2.247216433003017766e+00,5.027541786073307151e+01,3.004123465352308564e+00,2.397396055680974136e+00,1.129020261342281195e+01
3.685326772142099916e+00,1.038519677604366080e+02,9.267102331884505162e+00,3.093452233884164126e+00,9.893628323116928414e+00
3.639966678769466171e+02,2.486034360552672595e+01,7.846941882764857823e+00,3.213463653310941304e+00,7.059818770594996806e+01
8.102711465757485021e-01,2.270876938564902900e+02,1.519332259466365898e+01,1.213830929967355532e+00,1.109850111574959719e+00
3.109915427247613806e+01,1.720013244271253257e+02,7.676437541407839404e+00,4.534217030614850152e+00,9.680455543516146122e+00
2.168010465578900092e-01,1.141131488624714194e+02,9.436671362924947459e+00,2.728861871777332748e+00,6.268755604344191656e-01
2.140802437704397221e+02,9.253092666729823890e+00,1.141098144411316540e+01,3.554395653756514672e-01,7.222873602817583105e+01
1.407321199972624868e+02,1.661673807763359036e+02,6.815170884521375427e+00,1.773141358883409957e+00,1.496119849816724567e+01
9.067295552309305728e-01,1.625710153814266903e+02,6.393770662443469810e+00,3.394382149673389026e+00,1.973517563920504481e+00
3.205803681044445170e+02,1.376031040622316652e+02,6.447802257462922348e+00,5.291666296170277617e-01,2.410029013354245464e+01
1.715031650369549521e-01,2.483530094217648241e+02,1.380109512831580609e+01,4.766575295764868159e+00,1.214806389905224576e-01
2.210386615698376023e+00,4.062942969817262551e+00,9.096038426040538027e+00,4.686977296577632401e+00,1.770009350718766328e+01
3.991332124700083805e-01,2.767246740759908903e+02,1.144902916176033614e+01,4.745644299527113752e+00,2.619267751647684772e-01
6.329326021217653420e+00,2.921141071938631626e+02,1.965078574283633017e+01,3.648005417189966071e+00,2.048655997404015938e+00
1.532135167445377988e+02,4.482940531332222633e+01,4.637085076922751625e+00,4.003015785209566246e+00,4.555760953066849339e+01
8.366982024887131830e-01,2.611966073461530300e+02,1.352444029388673030e+00,9.237760142754786186e-01,6.775596491357961382e-01
1.614675308988910707e-01,1.844229172928008609e+02,4.690318184689495240e+00,1.126731867036680601e+00,2.416090437183448791e-01
4.151522148940408385e+00,2.731137979880084004e+02,1.404233515448696323e+01,2.834508887854946924e+00,2.094418708847628263e+00
6.223750555365425985e-01,2.241311454659898459e+02,1.509617554135049211e+01,1.601048618611889962e+00,8.419447753562812053e-01
2.306811896628435110e-01,1.993699527260233708e+02,3.792341041064204443e+00,3.228617284556301037e-01,3.747774785189637026e-01
2.095702077653080053e+01,2.346323431502825656e+02,7.673774874402027990e+00,4.117271075967888549e+00,4.737427678277494003e+00
1.565973942748242642e+00,8.446606347952483418e+01,8.538372796995227887e+00,4.896061942503894926e+00,6.876666578528157991e+00
4.875054911162470717e+01,1.493585588254093466e+02,8.264413209291795681e+00,2.677602334969865439e+00,1.365039035388918442e+01
6.281477028287777431e-01,1.467907593919902354e+02,1.414001781817411540e+01,3.214399371671458727e+00,1.664932659812604632e+00
5.867491133867295048e+02,4.768772049407146341e+01,1.943878574067881004e+01,2.145469367247714310e+00,7.020474203611354369e+01
2.886959377682712713e+00,6.876474078218383568e+01,4.328217712460089572e+00,2.363093752601025388e-01,1.245479301421872620e+01
2.642293876435009015e-01,4.815335106193463943e+00,9.516996902073294962e+00,2.367473759925065036e+00,2.134563939743016725e+00
3.284222757620248956e+01,2.650407651127835607e+02,9.696660497748233354e+00,2.439857551251006118e+00,4.055505427525330830e+00
5.112322143469579032e+02,1.394492026365020720e+01,3.572913932306294171e+00,4.961747669684968720e+00,7.764696144812151601e+01
5.774423323278051967e+00,2.802769370729130216e+01,1.032664972480911381e+01,2.077171002313012327e+00,2.346068208620746631e+01
6.582062089886348986e+02,2.094301758089150383e+02,4.485425742215031875e+00,9.787201952841667607e-01,1.391225609953523801e+01
9.990408688617218758e+00,2.595262780644622467e+02,1.158353033552672073e+01,1.137837326539055560e+00,3.171589957318063480e+00
5.022437018578169265e+00,2.090598304350931471e+02,6.174485605293589252e+00,4.811021168929380032e+00,3.884306112766701791e+00
