t,N,reproductive_adult_abundance,dN_dt
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,8.697158766554166220e+01
1.600320064012802565e-03,1.001394765223167411e+02,9.994415544700028420e+01,8.733821080448370822e+01
3.200640128025605130e-03,1.002795350476572764e+02,9.988864557039751446e+01,8.769894961118095011e+01
4.800960192038407695e-03,1.004201661581920462e+02,9.983347242456218851e+01,8.805380702088172029e+01
6.401280256051210260e-03,1.005613604552440421e+02,9.977863804719443408e+01,8.840279273859346176e+01
8.001600320064012825e-03,1.007031085592887507e+02,9.972414445932405158e+01,8.874592340577015648e+01
9.601920384076815390e-03,1.008454012374173772e+02,9.966999366305023500e+01,8.908322260790903613e+01
1.120224044808961796e-02,1.009882299503179155e+02,9.961618763172795354e+01,8.941472035496282444e+01
1.280256051210242052e-02,1.011315851083600847e+02,9.956272833983207704e+01,8.974045542833724198e+01
1.440288057611522309e-02,1.012754570695106793e+02,9.950961774450061625e+01,9.006047430221751426e+01
1.600320064012802565e-02,1.014198363938039193e+02,9.945685778098753360e+01,9.037483098929875780e+01
1.760352070414082648e-02,1.015647138433413801e+02,9.940445036266268630e+01,9.068358720322925137e+01
1.920384076815363078e-02,1.017100803822920341e+02,9.935239738101186902e+01,9.098681251946899806e+01
2.080416083216643508e-02,1.018559271768922088e+02,9.930070070563681384e+01,9.128458453411666085e+01
2.240448089617923591e-02,1.020022455954456575e+02,9.924936218425520451e+01,9.157698902022423226e+01
2.400480096019203674e-02,1.021490272083234743e+02,9.919838364270061959e+01,9.186412008108342775e+01
2.560512102420484104e-02,1.022962637879641647e+02,9.914776688492260348e+01,9.214608029993200944e+01
2.720544108821764534e-02,1.024439473088735753e+02,9.909751369298658119e+01,9.242298088549131307e+01
2.880576115223044617e-02,1.025920699476249922e+02,9.904762582707398622e+01,9.269494181270707145e+01
3.040608121624324700e-02,1.027406240828590427e+02,9.899810502548210422e+01,9.296209195802923375e+01
3.200640128025605130e-02,1.028896022952837370e+02,9.894895300462420096e+01,9.322456922852538241e+01
3.360672134426885560e-02,1.030389973676744688e+02,9.890017145902945117e+01,9.348252068408304183e+01
3.520704140828165296e-02,1.031888022848740434e+02,9.885176206134299548e+01,9.373610265191626922e+01
3.680736147229445726e-02,1.033390102337926209e+02,9.880372646232585510e+01,9.398548083255138863e+01
3.840768153630726156e-02,1.034896146034077304e+02,9.875606629085501709e+01,9.423083039642575898e+01
4.000800160032006586e-02,1.036406089847643130e+02,9.870878315392339175e+01,9.447233607019414592e+01
4.160832166433287016e-02,1.037919871709746644e+02,9.866187863663981261e+01,9.471019221179611236e+01
4.320864172834566752e-02,1.039437431572184920e+02,9.861535430222905063e+01,9.494460287329926018e+01
4.480896179235847182e-02,1.040958711407428581e+02,9.856921169203182842e+01,9.517578185049431738e+01
4.640928185637127612e-02,1.042483661029308308e+02,9.852345232916033524e+01,9.540395199321879716e+01
4.800960192038407348e-02,1.044012245611571217e+02,9.847807771175344271e+01,9.562934426380901698e+01
4.960992198439687778e-02,1.045544419262775619e+02,9.843308929646818228e+01,9.585220102998098923e+01
5.121024204840968208e-02,1.047080140092202782e+02,9.838848852054125871e+01,9.607277419898662174e+01
5.281056211242248638e-02,1.048619371416251482e+02,9.834427680296046503e+01,9.629132503313346092e+01
5.441088217643529068e-02,1.050162081758438006e+02,9.830045554446475364e+01,9.650812409458083607e+01
5.601120224044808804e-02,1.051708244849396294e+02,9.825702612754419363e+01,9.672345116877914961e+01
5.761152230446089234e-02,1.053257839626877654e+02,9.821398991643998500e+01,9.693759516526434084e+01
5.921184236847369664e-02,1.054810850235751190e+02,9.817134825714444446e+01,9.715085399450276782e+01
6.081216243248649400e-02,1.056367266028003087e+02,9.812910247740103387e+01,9.736353441946654641e+01
6.241248249649929830e-02,1.057927081562737612e+02,9.808725388670430334e+01,9.757595188060756186e+01
6.401280256051210260e-02,1.059490296606175974e+02,9.804580377629997656e+01,9.778843029289538435e+01
6.561312262452489996e-02,1.061056916131657459e+02,9.800475341918485128e+01,9.800130181358291281e+01
6.721344268853771120e-02,1.062626950319638581e+02,9.796410407010691301e+01,9.821490657936999469e+01
6.881376275255050856e-02,1.064200414557693364e+02,9.792385696556523556e+01,9.842959241164682282e+01
7.041408281656330592e-02,1.065777329440513626e+02,9.788401332381000941e+01,9.864571448851887681e+01
7.201440288057611716e-02,1.067357720769908269e+02,9.784457434484258442e+01,9.886363498233961877e+01
7.361472294458891452e-02,1.068941619554804277e+02,9.780554121041541293e+01,9.908372266151096142e+01
7.521504300860172576e-02,1.070529062011245713e+02,9.776691508403206399e+01,9.930635245535262356e+01
7.681536307261452312e-02,1.072120089562394298e+02,9.772869711094728018e+01,9.953190498089311689e+01
7.841568313662732048e-02,1.073714748838529403e+02,9.769088841816687818e+01,9.976076603048853997e+01
8.001600320064013172e-02,1.075313095017099840e+02,9.765349016215421329e+01,9.999332568056291848e+01
8.161632326465292908e-02,1.076915193528511452e+02,9.761650349520100178e+01,1.002299774146659388e+02
8.321664332866574032e-02,1.078521114127174627e+02,9.757992950705238400e+01,1.004711181363394843e+02
8.481696339267853768e-02,1.080130932752641684e+02,9.754376928602141561e+01,1.007171473662584447e+02
8.641728345669133504e-02,1.081744731537198305e+02,9.750802391914145062e+01,1.009684665192210673e+02
8.801760352070414628e-02,1.083362598805863115e+02,9.747269449216622661e+01,1.012254781378220088e+02
8.961792358471694364e-02,1.084984629076388529e+02,9.743778208956980791e+01,1.014885850817050823e+02
9.121824364872974100e-02,1.086610923059259619e+02,9.740328779454664243e+01,1.017581896721238195e+02
9.281856371274255224e-02,1.088241587657695533e+02,9.736921268901150484e+01,1.020346927916824029e+02
9.441888377675534960e-02,1.089876735967648216e+02,9.733555785359952495e+01,1.023184929392961777e+02
9.601920384076814696e-02,1.091516487277802838e+02,9.730232436766618775e+01,1.026099852405783679e+02
9.761952390478095820e-02,1.093160967069578362e+02,9.726951330928734762e+01,1.029095604140441083e+02
9.921984396879375556e-02,1.094810307017126405e+02,9.723712575525917146e+01,1.032176036937176349e+02
1.008201640328065668e-01,1.096464644987332662e+02,9.720516278109822395e+01,1.035344937089275703e+02
1.024204840968193642e-01,1.098124125039815340e+02,9.717362546104138232e+01,1.038606013222932773e+02
1.040208041608321615e-01,1.099788897426926439e+02,9.714251486804587898e+01,1.041962884271245571e+02
1.056211242248449728e-01,1.101459118593751185e+02,9.711183207378934412e+01,1.045419067056904083e+02
1.072214442888577701e-01,1.103134951178108025e+02,9.708157814866970625e+01,1.048977963500514932e+02
1.088217643528705814e-01,1.104816564010548632e+02,9.705175416180526327e+01,1.052642847473992447e+02
1.104220844168833787e-01,1.106504132040871866e+02,9.702236118126235453e+01,1.056416851421892460e+02
1.120224044808961761e-01,1.108197822930975320e+02,9.699340032640635911e+01,1.060302971228492765e+02
1.136227245449089873e-01,1.109897816740420353e+02,9.696487273290918552e+01,1.064304025703423520e+02
1.152230446089217847e-01,1.111604307268069078e+02,9.693677951852846775e+01,1.068422639757641548e+02
1.168233646729345820e-01,1.113317489701859699e+02,9.690912181328214103e+01,1.072661246691157686e+02
1.184236847369473933e-01,1.115037560618807646e+02,9.688190075944851287e+01,1.077022073528839456e+02
1.200240048009601906e-01,1.116764717985004722e+02,9.685511751156614935e+01,1.081507126215290668e+02
1.216243248649729880e-01,1.118499161155619674e+02,9.682877323643401724e+01,1.086118174709724258e+02
1.232246449289857992e-01,1.120241090874897765e+02,9.680286911311134190e+01,1.090856738024364319e+02
1.248249649929985966e-01,1.121990709276161340e+02,9.677740633291772099e+01,1.095724069252519683e+02
