c,e,immigration_rate,suitable_habitat_fraction,p_star
1.346531037178617884e+00,4.483418998904847297e-01,5.723268447878675919e-02,4.360444812603536668e-01,1.685123052501983354e-01
6.856160847749666054e-01,3.607904531928574632e-01,9.628612065285825639e-02,4.755244105060155158e-01,1.716727969049659241e-01
2.737523430851504513e-01,2.669031726623680156e-01,7.685431079856723524e-02,8.876207999423519901e-01,3.093005016430952492e-01
2.297497439513523920e-01,3.557786596877847152e-01,8.348009391255865885e-02,7.683975773867993686e-01,1.699130937320081913e-01
1.663886430560490348e+00,4.260914382042444992e-01,5.737404781873434861e-02,4.207402810993335351e-01,2.053911799800488269e-01
1.842960039099899250e+00,1.099585071223267430e-01,6.115069474983655246e-02,7.991295170889282096e-01,7.442018515109252164e-01
1.291944396380923843e+00,3.536619675212173131e-01,6.328710767242427815e-02,8.453082260574478202e-01,6.003430196856295309e-01
1.513093809771197229e+00,2.987993632137050937e-01,2.732780537995817272e-02,6.290669782550286637e-01,4.451561421796297324e-01
1.178524984637761230e+00,3.351419820365179048e-01,6.277645237470502737e-02,4.561888731079048465e-01,2.248312474917721071e-01
1.883130362817982961e+00,1.671582944425865636e-01,9.743323799354133841e-02,5.646155128967341730e-01,4.879468251580166283e-01
1.668536397418757922e+00,4.616617751207252596e-01,8.002297419114651200e-02,9.588093814214742050e-01,7.097621969639672512e-01
2.049293003062665763e-01,2.791972325169119751e-01,3.785376769879465059e-02,4.703766094830097999e-01,5.593572485125204719e-02
1.743327697857624869e+00,3.082626451723345928e-01,7.327468306422127431e-02,8.482257497324766637e-01,6.881665457558225896e-01
2.604540355498358717e-01,3.196070271895639081e-01,2.862178445740363314e-02,6.872102328567232243e-01,6.439496488617511838e-02
1.513379803573899451e+00,1.426976578013617880e-01,9.877608375302480981e-02,9.532549231426559189e-01,8.686213743288313527e-01
5.161801170846062048e-01,1.201417673245082640e-01,2.344522337373363199e-02,9.603939864777764068e-01,7.353148059009847470e-01
1.753722060229795821e+00,3.328634599814289663e-01,8.698361119644978934e-02,9.917589553598330498e-01,8.194085774472295025e-01
1.174630196448365194e+00,1.400171356134442269e-01,8.855080009649309025e-02,8.033818240916714704e-01,6.991296471703656312e-01
7.394814029672925892e-01,1.167540393617478856e-01,1.948557388248181588e-02,6.235461006065103895e-01,4.706027761126632680e-01
9.608369981557852713e-01,3.052756806180749183e-01,6.278838173394335476e-02,7.716047160226090496e-01,4.935445617463034007e-01
2.509754080618333272e-01,4.847394872039160751e-01,2.277336193245406773e-02,4.734487578181820200e-01,1.756094689615770449e-02
4.237098976992151322e-01,4.448806259895982662e-01,8.815821131979663383e-02,5.321728856529363005e-01,1.134690241181235681e-01
1.407123946448534557e+00,2.771070129837721052e-01,4.117709626563932634e-02,9.042970618506170899e-01,7.216209703284774957e-01
1.364941120833650157e+00,3.711063944764552702e-01,4.893241779751357663e-03,4.219038262323180910e-01,1.502572342897265378e-01
1.307693200666256939e+00,1.510368094280642171e-01,4.753636532440570772e-02,8.968904656797753727e-01,7.901241088001715873e-01
8.906195976713902063e-01,1.535418030223684172e-01,2.854447453533955070e-02,6.642859885919631946e-01,5.019007882160408940e-01
1.994977884420579883e+00,3.061394978042725756e-01,8.630177964102325738e-02,9.982070635632580569e-01,8.574479811720190359e-01
1.965503609797214279e+00,4.421753984284036987e-01,7.621548988408621828e-02,6.400020979167756474e-01,4.427842774858473662e-01
1.433975572065250503e+00,4.763330199497420314e-01,4.483384666008034813e-02,3.709815012296810988e-01,1.087328745033352972e-01
1.370826697282069295e+00,4.420875590379176323e-01,8.859596126633596802e-02,6.127266098875647771e-01,3.479992425514424337e-01
1.439204115027692188e+00,1.489599560080978047e-01,7.586448464331246866e-02,5.490596170973135459e-01,4.592968544354084637e-01
9.000585631623868599e-01,4.628563612912829917e-01,1.175556102605686964e-02,7.721056944534504529e-01,2.645828565771619623e-01
4.431737090403402024e-01,1.437260145984967652e-01,8.780241805173906455e-02,5.444021202768932755e-01,3.296830541286024929e-01
