R,A_rel,habitat_quality_rel,C_R
3.839922039562652856e+01,1.827806332968282543e+00,1.352010370890708524e+00,9.974854232306435733e+03
1.655230946895028410e+01,1.535968177309524840e+00,1.943729100800882570e+00,2.512374562577987035e+03
2.937924674203583830e+00,1.223010575541226608e+00,1.649307739372230852e+00,5.002054164803902836e+01
1.483394313947481002e+00,1.519262198959282273e+00,1.749698392614525089e+00,1.257544265692893859e+01
4.888957923241621017e+01,1.753638127347481479e+00,1.354152239677793190e+00,1.456835407064524952e+04
5.480895684802444379e+01,6.998616904077558099e-01,1.411374162876311456e+00,7.255380551030285460e+03
3.659482865814720043e+01,1.512206558404057821e+00,1.443744055642792068e+00,7.892866050355305561e+03
4.390504537854790357e+01,1.329331210712350275e+00,8.989061421205783997e-01,7.428668695560081687e+03
3.284568699219266108e+01,1.450473273455059608e+00,1.436006854162197310e+00,6.263044904706450325e+03
5.613680921537221025e+01,8.905276481419551748e-01,1.961109666568808141e+00,1.166070368765310559e+04
4.904328647023116616e+01,1.872205917069084125e+00,1.697317790774947044e+00,1.781509780938371841e+04
6.629407601238116454e-01,1.263990775056373028e+00,1.058390419678706840e+00,1.154397722008271066e+00
5.151555445696037339e+01,1.360875483907781902e+00,1.595070955518504086e+00,1.358032682352430857e+04
2.498341730675129213e+00,1.398690090631879768e+00,9.185118857182368313e-01,2.356242289374809928e+01
4.391449906258166891e+01,8.089921926712060340e-01,1.981455814439769814e+00,7.030267467543217208e+03
1.095150942585226161e+01,7.338058910816942504e-01,8.400791420262672116e-01,3.235215779291766012e+02
5.185914587981825008e+01,1.442878199938096628e+00,1.802781987824996657e+00,1.566965531133266268e+04
3.271694260482095729e+01,8.000571187114806637e-01,1.826527274189289063e+00,4.001357475274764511e+03
1.833285748697439388e+01,7.225134645391595445e-01,7.800844527648760351e-01,7.883071199281897634e+02
2.564988966126067638e+01,1.350918935393583098e+00,1.436187602029444621e+00,3.808586052127135190e+03
2.185020433155046682e+00,1.949131624013053621e+00,8.298994232190010090e-01,2.163606408432475803e+01
7.894854951724054715e+00,1.816268753298660776e+00,1.820578959390858120e+00,7.357732304633885860e+02
4.040215267427100088e+01,1.257023376612573795e+00,1.108743882812716963e+00,6.721079163628071910e+03
3.900777593866788351e+01,1.570354648254850938e+00,5.589885118144144460e-01,5.830916042676941288e+03
3.711541413313460680e+01,8.367893647602140383e-01,1.205096444309177395e+00,4.033068205068902898e+03
2.332881447858206414e+01,8.451393434078946498e-01,9.173405232627204198e-01,1.549053832833656543e+03
5.983399117945805301e+01,1.353798326014241882e+00,1.792451206682170506e+00,1.871366352962916426e+04
5.885970265718569294e+01,1.807251328094678922e+00,1.639628634607366742e+00,2.305451300781472673e+04
4.128974807660133450e+01,1.921110066499140068e+00,1.164149191819399132e+00,1.094930858908784649e+04
3.920232693793506940e+01,1.806958530126391960e+00,1.827211534338423649e+00,1.228876528888609027e+04
4.146258046897093408e+01,8.298665200269926823e-01,1.634310373383522030e+00,5.787999235542730275e+03
2.364082472675667645e+01,1.876187870970943194e+00,6.629630458493465106e-01,2.994813510245115594e+03
8.538242048833467379e+00,8.124200486616559580e-01,1.815188152299076707e+00,3.822228527967596392e+02
4.342855624154785943e+01,1.424628191454960779e+00,1.951029877296905468e+00,1.202725714640977822e+04
3.175858218730569149e+01,1.680212317543809730e+00,6.298506767362737069e-01,4.485178538565933195e+03
1.895939159575786093e+01,9.199951665162506842e-01,1.468711519431681989e+00,1.560039211477288518e+03
2.940720385049144880e+01,1.564496043528092351e+00,1.620081829018431563e+00,6.028732025034534672e+03
5.342452614376551168e+01,1.274906673568504623e+00,1.461108136727339080e+00,1.288647409954005707e+04
5.607558919939685893e+01,1.481300609479719199e+00,1.532519383492000342e+00,1.672418294248303573e+04
2.178881420418967707e+01,1.618274856224319436e+00,5.867794657021523363e-01,2.107592828295038544e+03
3.450602492842077851e+01,1.105457918420478469e+00,1.845224693953731121e+00,6.092676071446462629e+03
1.965122876901855875e+01,1.436292935171858742e+00,1.226725806098552862e+00,2.305459151987417954e+03
3.586085179688195979e+01,1.445941007749100393e+00,9.373863044565398095e-01,5.749800403853309945e+03
2.060571791767442917e+01,7.513770893036653131e-01,7.253092599014231423e-01,9.758435650218273167e+02
2.380133053142559163e+01,1.019259838802183182e+00,1.195032674891337798e+00,2.251450366481102265e+03
5.347132394428514601e+01,6.243017180276335676e-01,1.088520641207364248e+00,5.421265113807943635e+03
1.401587681523609419e+01,1.635438469282451290e+00,1.639499194599774334e+00,1.765400605257449342e+03
3.757963510881952374e+01,1.360006622135626619e+00,1.075732815605587867e+00,6.301557931468440984e+03
5.498912943151896826e+00,1.070565744312357070e+00,1.207750352219370882e+00,1.490174270498125395e+02
5.004232678537717049e+01,5.462654633336491150e-01,1.355823608308487582e+00,4.729108483969752342e+03
4.733234929557666248e+01,1.330836903881679412e+00,1.011137816339103157e+00,8.985531446537796000e+03
1.474248185808065337e+01,1.312855076907133434e+00,9.795327996832602357e-01,1.099297177587765418e+03
5.265081173323687835e+01,1.188015520311158202e+00,9.835851693097191761e-01,9.567533293647902610e+03
3.984798070909063572e+00,1.741765047108823961e+00,1.535082134623685368e+00,1.397741999278524645e+02
2.049896510246679071e+01,5.203147148490863128e-01,1.182202881953040352e+00,8.789475154690260297e+02
9.441628280242923665e+00,1.883623370379954531e+00,1.358677187132025121e+00,8.630337594668710608e+02
2.729519231563257620e+01,1.960570535969315964e+00,1.973808930712724674e+00,7.606958038805627439e+03
4.788129408209400850e+01,7.241470265666111183e-01,8.477813807692062831e-01,4.603940685241023857e+03
1.422321143512797192e+01,1.805983036730765212e+00,6.014333022041504773e-01,1.082754521492573531e+03
3.595267413332371653e+00,1.422114586464004349e+00,8.517738638517120542e-01,5.626730045295516192e+01
2.457083446938092663e+01,1.865568989940042055e+00,1.553175136586522065e+00,5.139014935731796868e+03
1.231152614830069147e+01,1.620655727329949336e+00,1.632213165601286819e+00,1.384276349359177857e+03
5.899806214337752763e+00,1.496849763630116792e+00,7.844255780798152777e-01,1.800292444640775784e+02
3.502977696621761794e+01,1.673161715751412926e+00,1.075533115580152188e+00,6.850512059598735505e+03
1.827241990272589334e+01,9.223303173976241665e-01,1.140377959774642180e+00,1.244342985979046716e+03
4.048369523840338502e+01,1.246792794127046689e+00,1.119830990696884854e+00,6.725008502525088261e+03
1.237116891610869196e+01,1.233953796959951221e+00,1.560501336363058655e+00,1.028791898212807837e+03
5.655573007513662276e+01,7.384386024703573081e-01,1.957908930550910753e+00,9.782352429328171638e+03
2.222405501056729804e+01,8.438237039109192095e-01,8.246163284345067179e-01,1.340405076085201472e+03
6.776969134428656893e+00,5.240766755309673730e-01,1.213774767655497300e+00,1.146543072764965814e+02
3.793193501661269806e+01,1.825203825563917803e+00,1.227249537331117413e+00,9.230199979314988013e+03
5.566569590753811525e+01,5.697246013182510893e-01,7.679685449229720628e-01,4.562501605809473403e+03
2.670244070558914729e+01,6.401384685364565064e-01,1.274498729360683535e+00,1.796407090845518269e+03
5.729813437459886671e+01,1.547150879044575156e+00,8.364069306661274794e-01,1.351108371738577625e+04
3.024380091441499729e+01,1.797631390322311340e+00,1.368764775164504233e+00,6.537330888739539660e+03
2.580110317851999469e+01,1.545299152175465762e+00,9.630864203970191939e-01,3.477071048523573609e+03
3.740270039491498011e+01,1.569065570631612339e+00,9.717614028889876021e-01,6.844556221841658953e+03
5.970824206150178526e+01,1.060575967958265586e+00,1.222126147252409867e+00,1.184523267934742034e+04
5.696214865879703382e+01,1.675607243008636837e+00,1.915232292840612249e+00,2.216537574113757000e+04
2.787268578889121784e+01,1.659661139416120257e+00,1.824953116357551641e+00,6.319542042507493534e+03
4.558486629584334082e+01,1.039635223745543291e+00,1.505611278004046039e+00,8.124562063302786555e+03
3.009665038151332794e+01,1.883053829938915680e+00,1.987002068224048568e+00,8.658210785832989131e+03
3.199407353170784063e+01,1.185707643769445596e+00,1.018546569686168635e+00,4.020494629995678224e+03
4.725424919247154776e+01,1.508966617154451573e+00,5.582387257673181447e-01,7.970437868678006453e+03
2.517202303666241292e+01,1.101725981342330352e+00,1.034278506893325567e+00,2.468337756164947677e+03
4.420177252142939750e+01,1.360452318279656181e+00,1.177988125511537199e+00,8.792592376857341151e+03
4.281300124039011479e+01,6.291532251046610957e-01,1.229483586969988940e+00,3.934194814334225157e+03
5.595755135349600806e+01,1.130988423136332743e+00,1.745966234881700219e+00,1.372183535818580276e+04
7.338491680213858892e+00,1.644270444245421015e+00,9.694754799390922217e-01,3.622013512761012066e+02
4.387639946604041086e+01,1.758336022783495878e+00,1.277911900441385029e+00,1.172029747753789343e+04
5.568172375316131451e+01,1.011344906550389000e+00,1.785590200035342967e+00,1.233137682383073479e+04
5.809160830051646229e+01,5.822821927124175456e-01,7.738202752431658782e-01,5.053122301367386171e+03
1.375025145439472629e+00,7.531575882604994998e-01,1.863731034864768432e+00,5.541639101935066591e+00
5.188658536961175827e+01,9.244939627984621877e-01,7.055439451138654228e-01,6.305221218711065376e+03
5.888110488394748643e+01,1.242252535120368595e+00,1.538192867434549083e+00,1.529350454475180049e+04
5.745400568685233367e+01,8.947352934534142932e-01,1.926113038690691281e+00,1.205245581669790226e+04
9.351458727833625417e+00,1.055566044436821560e+00,1.410626604072839685e+00,4.880291950990560963e+02
5.837141442246581846e+01,5.257541416511417598e-01,1.527446978594910743e+00,6.350988378416788692e+03
5.345116556537097807e+01,1.121228579633115841e+00,1.651272475304764065e+00,1.216617725003912165e+04
4.943124273881269204e+01,1.544631597654438249e+00,8.619380247655805682e-01,1.047366587671395973e+04
2.905928146656601285e+01,1.173356223302661538e+00,6.492152703834421779e-01,2.699130429868330339e+03
1.432618871853857812e+01,7.910297025998447307e-01,1.155139575347958081e+00,6.977013658372738973e+02
4.821189443373931738e+01,1.895490331666046524e+00,1.369762866548735358e+00,1.546673015836165723e+04
5.545004450711643784e+01,7.763401663144663400e-01,9.048110111343972140e-01,6.607225473835920639e+03
1.633475120139140913e+01,1.802490266546320941e+00,5.657003139069549658e-01,1.358027371619421956e+03
3.256659725352012202e+01,7.859884662050553583e-01,1.756545617991551511e+00,3.800726896342689543e+03
2.684379332398462381e+01,7.263528511518864139e-01,1.626647582865653252e+00,2.400924585267505790e+03
5.589553030087872543e+01,1.231635903846916014e+00,1.919341048833108632e+00,1.579693080394579374e+04
2.910387315711860712e+00,1.490461074019376664e+00,7.306020662588825765e-01,3.099432887070334175e+01
4.405436864156536814e+01,1.179465755652973513e+00,5.500193319760573463e-01,5.447262969900937605e+03
3.705520819346529748e+01,1.262228594624094091e+00,1.608287840916871492e+00,7.190486258190001536e+03
2.187739224254503068e+00,1.435198583141343187e+00,1.799508878330908779e+00,3.084537942873566863e+01
4.329357648319104612e+01,1.224991479673478878e+00,8.331955677046647413e-01,6.450768017604743363e+03
1.451507906652532487e+00,1.935281906542017039e+00,1.066021811328524693e+00,9.772437687858651856e+00
4.559808464020747465e+01,7.269812324486770727e-01,1.771223730550098630e+00,6.269593291935019806e+03
3.100914403409364439e+01,1.087007658972993784e+00,5.172222184137105216e-01,2.572554239153580966e+03
5.578170113742186942e+01,6.915888603605608864e-01,9.006198377276659617e-01,5.937281126583187870e+03
4.431908555082446632e+00,7.963357525305763129e-01,6.946472203527954692e-01,4.561735006100536083e+01
5.055837813693680260e+01,1.430058393512869230e+00,1.921773305369272045e+00,1.547498118431363764e+04
4.468055521642533279e+00,1.799826009519728487e+00,5.664739747575864293e-01,9.238751369097369093e+01
2.098644373884544834e+01,1.032159155265355732e+00,1.299111757669542122e+00,1.927379925179895054e+03
2.610277455089608267e+01,1.782139993851598048e+00,1.552881887237983483e+00,5.445987251506879147e+03
5.798069380665217665e+01,1.070212901941789863e+00,1.212748236619848763e+00,1.130724665998848286e+04
3.395279461259319476e+01,1.563946784594749229e+00,8.941587562635208153e-01,5.513323893381823837e+03
1.590244329367046916e+01,6.663869601462105718e-01,9.962848052284207778e-01,6.462085938405964498e+02
1.487970498861352553e+01,1.327544464132527802e+00,8.349281201419211929e-01,1.029166634402459977e+03
5.334304007922119695e+01,5.579580304129347912e-01,1.782086739988567370e+00,6.314176199281884692e+03
1.393923099083080075e+01,7.143986306742273751e-01,5.042512075999721066e-01,3.795815721274632892e+02
7.911004997199367672e+00,9.564707486232955080e-01,6.887765954101745525e-01,1.980739909533961054e+02
1.765568004195086615e+01,5.735561739465624420e-01,1.799966354101376620e+00,9.911575264280983220e+02
3.537432235635760236e+01,1.808613440425462793e+00,1.971611289338151218e+00,1.086763028037311233e+04
3.346838487930943273e+01,1.731960820529882206e+00,1.164125145298270381e+00,6.834880843060757798e+03
4.867779116681027318e+01,1.897735572874138743e+00,1.660231710381972592e+00,1.759238531896535642e+04
3.384831914436805533e+01,8.370936418389214317e-01,1.827701373370837823e+00,4.437198348896354219e+03
1.766106225865702584e+01,1.169203971196155933e+00,1.732426671015599773e+00,1.966637044354437876e+03
2.506733238951311549e+01,1.713471125718988297e+00,1.130762371666075072e+00,4.010561147009754222e+03
4.917819777276916682e+01,9.142840871552807558e-01,1.819189535418557435e+00,9.120033337779806971e+03
3.777713451397533362e+01,1.471004630766176380e+00,1.188078174902168049e+00,7.255019126546398184e+03
5.756511974049781344e+01,1.017887497267821795e+00,1.539341817110817079e+00,1.205552916034403097e+04
2.247956245995501234e+01,1.065341810737716610e+00,1.977698443753351132e+00,2.979144037462019696e+03
3.338038487601659199e+01,1.513058792227387039e+00,1.023629797977789302e+00,5.543567624264820552e+03
3.583848999598351526e+01,1.909012185567589448e+00,1.066522548442218721e+00,8.100187122658582666e+03
5.097332689236606740e+01,1.714952146737956484e+00,1.605820677129089713e+00,1.687095513045697226e+04
9.155675522098638552e+00,1.022068297452364050e+00,1.634559263153556152e+00,5.066514607077016876e+02
2.468736503651353686e+01,6.038240824158350728e-01,6.282694784299549529e-01,1.017983283418435576e+03
5.464255821890667164e+01,1.953483489986850730e+00,8.200548487610566095e-01,1.553292663517852452e+04
3.062479869808148347e+00,1.010335773177664098e+00,1.109292649985212931e+00,3.290147963250194607e+01
4.945102367079936556e+01,1.579016465050090412e+00,1.119515079691397741e+00,1.210983915401955528e+04
2.521535022358786549e+01,5.860624858714272856e-01,6.928839273153737377e-01,1.073037992949153704e+03
4.987333712404711150e+01,5.176759726153588037e-01,7.231428327111431020e-01,3.317042635779356715e+03
1.092296368033871534e+00,1.462389222856125492e+00,9.377280379899961549e-01,3.436405672019524626e+00
2.222024638661710227e+01,1.796263563607410241e+00,1.644404881174675870e+00,4.325998213368386132e+03
5.178487211355572661e+00,1.148918516738505202e+00,1.252945083955026240e+00,1.438095735817344689e+02
3.933056729202998980e+01,1.456037908356870636e+00,8.598503520328317773e-01,6.548982173500604404e+03
1.679402136667365397e+01,1.554402351687663719e+00,7.964390189633403505e-01,1.462985133178846127e+03
4.230779820425728133e+01,1.774319505614018189e+00,5.971849881128139526e-01,7.832522812130051534e+03
5.665618490305440247e+01,6.363773736831719319e-01,1.183669955176278599e+00,6.377679468373593409e+03
8.045617584544242362e+00,1.301800725301894168e+00,1.979191502290267080e+00,5.848087847775802857e+02
