t,Ns,Nsrc,dNs_dt
0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+01,2.016428571428571459e+00
3.000600120024004766e-02,5.060815734013547562e+00,5.032701229244117513e+01,2.037140916724500261e+00
6.001200240048009532e-02,5.122252766026436532e+00,5.065541616153664961e+01,2.057839309324358101e+00
9.001800360072013951e-02,5.184310601302700938e+00,5.098520777957443784e+01,2.078518678284096310e+00
1.200240048009601906e-01,5.246988592934549445e+00,5.131638317882897127e+01,2.099173951813053218e+00
1.500300060012002279e-01,5.310285942788522284e+00,5.164893825104268643e+01,2.119800061200900920e+00
1.800360072014402790e-01,5.374201704986518280e+00,5.198286874525157941e+01,2.140391944531931046e+00
2.100420084016803302e-01,5.438734771194353002e+00,5.231817027373421780e+01,2.160944551239659894e+00
2.400480096019203813e-01,5.503883882535344441e+00,5.265483830576616242e+01,2.181452845420097653e+00
2.700540108021604047e-01,5.569647632319400188e+00,5.299286816627358832e+01,2.201911809445892487e+00
3.000600120024004558e-01,5.636024466043016545e+00,5.333225503583326343e+01,2.222316447654280491e+00
3.300660132026405069e-01,5.703012681389278526e+00,5.367299395067255574e+01,2.242661789983546594e+00
3.600720144028805580e-01,5.770610428227858968e+00,5.401507980266944031e+01,2.262942895555395850e+00
3.900780156031206092e-01,5.838815708615021194e+00,5.435850733935249934e+01,2.283154856200846794e+00
4.200840168033606603e-01,5.907626376793615464e+00,5.470327116390090794e+01,2.303292799927478818e+00
4.500900180036007114e-01,5.977040139193082524e+00,5.504936573514444120e+01,2.323351894326015632e+00
4.800960192038407626e-01,6.047054554429449169e+00,5.539678536756349558e+01,2.343327349914490210e+00
5.101020204040808137e-01,6.117667034680894567e+00,5.574552423106537447e+01,2.363214423324246916e+00
5.401080216043208093e-01,6.188874874096364387e+00,5.609557634451764585e+01,2.383008418321883592e+00
5.701140228045609160e-01,6.260675202599174760e+00,5.644693558038402159e+01,2.402704691720047414e+00
6.001200240048009116e-01,6.333065005324751695e+00,5.679959566550785866e+01,2.422298655477681528e+00
6.301260252050410182e-01,6.406041138509424471e+00,5.715355017922600922e+01,2.441785778399668594e+00
6.601320264052810138e-01,6.479600329490423860e+00,5.750879255336882778e+01,2.461161588751991758e+00
6.901380276055211205e-01,6.553739176705881242e+00,5.786531607226014273e+01,2.480421676808186149e+00
7.201440288057611161e-01,6.628454149694830377e+00,5.822311387271731320e+01,2.499561697327093324e+00
7.501500300060012227e-01,6.703741589097205633e+00,5.858217894405115800e+01,2.518577371962008371e+00
7.801560312062412184e-01,6.779597706653844646e+00,5.894250412806600536e+01,2.537464491601484351e+00
8.101620324064813250e-01,6.856018585206484772e+00,5.930408211905968585e+01,2.556218918642116922e+00
8.401680336067213206e-01,6.933000178697765747e+00,5.966690546382351101e+01,2.574836589193738590e+00
8.701740348069614273e-01,7.010538312171228803e+00,6.003096656164230183e+01,2.593313515217571918e+00
9.001800360072014229e-01,7.088628698154137098e+00,6.039625766545078278e+01,2.611645785015675791e+00
9.301860372074415295e-01,7.167266973373965122e+00,6.076277088167518770e+01,2.629829561094959800e+00
9.601920384076815251e-01,7.246448599363710663e+00,6.113049816225911570e+01,2.647861091414794643e+00
9.901980396079215208e-01,7.326168931782763849e+00,6.149943131291397691e+01,2.665736704890665720e+00
1.020204040808161627e+00,7.406423229051673829e+00,6.186956199391234179e+01,2.683452811891126277e+00
1.050210042008401734e+00,7.487206652352150549e+00,6.224088172008800512e+01,2.701005905469200385e+00
