t,N,crowding_load,dN_dt
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,4.474285714285714022e+01
1.200240048009601837e-02,1.005385973897145533e+02,1.000006452996244946e+02,4.500539257959289330e+01
2.400480096019203674e-02,1.010803447461479863e+02,1.000025841706128489e+02,4.526774146258308917e+01
3.600720144028805858e-02,1.016252396563727416e+02,1.000058210623888613e+02,4.552987442029214549e+01
4.800960192038407348e-02,1.021732793511583850e+02,1.000103604087185545e+02,4.579176198120417496e+01
6.001200240048008838e-02,1.027244607055627910e+02,1.000162066233165916e+02,4.605337458594529920e+01
7.201440288057611716e-02,1.032787802389350418e+02,1.000233640998401228e+02,4.631468259889425099e+01
8.401680336067213206e-02,1.038362341149154133e+02,1.000318372118887424e+02,4.657565631997390199e+01
9.601920384076814696e-02,1.043968181414354603e+02,1.000416303130044753e+02,4.683626599662119361e+01
1.080216043208641619e-01,1.049605277707179170e+02,1.000527477366718188e+02,4.709648183593063209e+01
1.200240048009601768e-01,1.055273580992767819e+02,1.000651937963176863e+02,4.735627401696619643e+01
1.320264052810561917e-01,1.060973038679172475e+02,1.000789727853114783e+02,4.761561270323653616e+01
1.440288057611522343e-01,1.066703594890638271e+02,1.000940889710260819e+02,4.787446806935803068e+01
1.560312062412482492e-01,1.072465191413317172e+02,1.001105465710398761e+02,4.813281036276661951e+01
1.680336067213442641e-01,1.078257764315564060e+02,1.001283498195980997e+02,4.839060974383018277e+01
1.800360072014402790e-01,1.084081245828995179e+02,1.001475029272297519e+02,4.864783639536132398e+01
1.920384076815362939e-01,1.089935564775597356e+02,1.001680100716739474e+02,4.890446055777760392e+01
2.040408081616323088e-01,1.095820646567728431e+02,1.001898753978799022e+02,4.916045254248965080e+01
2.160432086417283237e-01,1.101736413208117398e+02,1.002131030180069331e+02,4.941578274540773918e+01
2.280456091218243386e-01,1.107682783289864403e+02,1.002376970114244727e+02,4.967042166056008767e+01
2.400480096019203535e-01,1.113659671996440323e+02,1.002636614247120406e+02,4.992433989381666493e+01
2.520504100820163962e-01,1.119666991101687330e+02,1.002910002716592857e+02,5.017750817671162622e+01
2.640528105621123833e-01,1.125704648969818322e+02,1.003197175332659441e+02,5.042989738035738867e+01
2.760552110422084260e-01,1.131772550555417638e+02,1.003498171577418532e+02,5.068147852944388632e+01
2.880576115223044686e-01,1.137870597403440200e+02,1.003813030605069798e+02,5.093222281631524595e+01
3.000600120024004558e-01,1.143998687649212229e+02,1.004141791241913353e+02,5.118210161511729694e+01
3.120624124824964984e-01,1.150156716018430814e+02,1.004484491986351316e+02,5.143108649600817728e+01
3.240648129625924856e-01,1.156344573827164197e+02,1.004841171008885823e+02,5.167914923942475980e+01
3.360672134426885282e-01,1.162562148981851635e+02,1.005211866152120876e+02,5.192626185039739539e+01
3.480696139227845154e-01,1.168809325979303395e+02,1.005596614930761064e+02,5.217239657290517130e+01
3.600720144028805580e-01,1.175085985906700614e+02,1.005995454531612125e+02,5.241752590426404623e+01
3.720744148829765452e-01,1.181392006441595726e+02,1.006408421813580816e+02,5.266162260953995400e+01
3.840768153630725879e-01,1.187727261851912033e+02,1.006835553307675184e+02,5.290465973597894589e+01
3.960792158431686305e-01,1.194091622995943709e+02,1.007276885217004008e+02,5.314661062744639253e+01
4.080816163232646177e-01,1.200484957322356081e+02,1.007732453416777076e+02,5.338744893886681808e+01
4.200840168033606603e-01,1.206907130536773280e+02,1.008202293189879839e+02,5.362714873517651881e+01
4.320864172834566475e-01,1.213358008506601635e+02,1.008686438660361091e+02,5.386568460506251910e+01
4.440888177635526901e-01,1.219837447882557058e+02,1.009184924239377068e+02,5.410303120024538970e+01
4.560912182436486773e-01,1.226345302309749172e+02,1.009697783946975420e+02,5.433916356165593697e+01
4.680936187237447199e-01,1.232881423018048963e+02,1.010225051331582335e+02,5.457405716344029400e+01
4.800960192038407071e-01,1.239445658822088916e+02,1.010766759470002256e+02,5.480768792708384041e+01
4.920984196839367497e-01,1.246037856121263587e+02,1.011322940967418020e+02,5.504003223545305445e+01
5.041008201640327924e-01,1.252657858899728325e+02,1.011893627957390862e+02,5.527106694674667864e+01
5.161032206441288350e-01,1.259305508726400546e+02,1.012478852101860127e+02,5.550076940834830452e+01
5.281056211242247667e-01,1.265980644754959314e+02,1.013078644591143700e+02,5.572911747057196408e+01
5.401080216043208093e-01,1.272683103723845051e+02,1.013693036143937860e+02,5.595608950029254203e+01
5.521104220844168520e-01,1.279412719956259821e+02,1.014322057007316999e+02,5.618166439445244720e+01
5.641128225645128946e-01,1.286169325360167193e+02,1.014965736956734048e+02,5.640582159343698976e+01
5.761152230446089373e-01,1.292952749428292236e+02,1.015624105296020332e+02,5.662854109430934813e+01
5.881176235247048689e-01,1.299762819238121665e+02,1.016297190857385289e+02,5.684980346389759376e+01
6.001200240048009116e-01,1.306599359451904263e+02,1.016985022001416894e+02,5.706958985172484233e+01
6.121224244848969542e-01,1.313462192316649464e+02,1.017687626617081378e+02,5.728788200277503506e+01
6.241248249649929969e-01,1.320351137664128771e+02,1.018405032121723366e+02,5.750466227008560338e+01
6.361272254450889285e-01,1.327266012910875475e+02,1.019137265461065738e+02,5.771991362715890972e+01
6.481296259251849712e-01,1.334206633058183797e+02,1.019884353109209769e+02,5.793361968018454888e+01
6.601320264052810138e-01,1.341172810692110318e+02,1.020646321068635132e+02,5.814576468006427490e+01
6.721344268853770565e-01,1.348164355983472547e+02,1.021423194870199751e+02,5.835633353423109071e+01
6.841368273654730991e-01,1.355181076687849782e+02,1.022214999573140091e+02,5.856531181825540955e+01
6.961392278455690308e-01,1.362222785270702161e+02,1.023021759508475554e+02,5.877268613140790876e+01
7.081416283256650734e-01,1.369289293830108249e+02,1.023843498240698153e+02,5.897844386334510602e+01
7.201440288057611161e-01,1.376380403436243967e+02,1.024680239044241148e+02,5.918257268958659978e+01
7.321464292858571588e-01,1.383495914682602574e+02,1.025532004666640091e+02,5.938506109080022100e+01
7.441488297659530904e-01,1.390635627745266447e+02,1.026398817326813031e+02,5.958589836541348461e+01
7.561512302460491330e-01,1.397799342382909344e+02,1.027280698715060794e+02,5.978507463906671404e+01
7.681536307261451757e-01,1.404986857936793569e+02,1.028177669993066559e+02,5.998258087376268577e+01
7.801560312062412184e-01,1.412197973330771958e+02,1.029089751793895999e+02,6.017840887670791972e+01
7.921584316863372610e-01,1.419432487071287312e+02,1.030016964221997426e+02,6.037255130883856680e+01
8.041608321664331926e-01,1.426690197247371827e+02,1.030959326853201503e+02,6.056500169302604775e+01
8.161632326465292353e-01,1.433970901530648234e+02,1.031916858734721529e+02,6.075575442195602704e+01
8.281656331266252780e-01,1.441274397175329227e+02,1.032889578385153442e+02,6.094480476567562022e+01
8.401680336067213206e-01,1.448600481018216612e+02,1.033877503794475388e+02,6.113214887880327097e+01
8.521704340868172523e-01,1.455948949478703014e+02,1.034880652424048151e+02,6.131778380739617518e+01
8.641728345669132949e-01,1.463319598558770736e+02,1.035899041206615294e+02,6.150170749546973781e+01
8.761752350470093376e-01,1.470712223842991762e+02,1.036932686546302591e+02,6.168391879116452969e+01
8.881776355271053802e-01,1.478126620498527757e+02,1.037981604318618452e+02,6.186441745255579860e+01
9.001800360072014229e-01,1.485562583275131203e+02,1.039045809870453638e+02,6.204320415310042591e+01
9.121824364872973545e-01,1.493019906505143695e+02,1.040125318020081693e+02,6.222028048671721479e+01
9.241848369673933972e-01,1.500498384103497358e+02,1.041220143057158509e+02,6.239564897249607611e+01
9.361872374474894398e-01,1.507997809567713432e+02,1.042330298742722618e+02,6.256931305903163576e+01
