task_name,source_csv,record_id,generation,domain,integrator,equation_type,features,target,train_points,test_points,spec_source
m2_classical_mechanics_0_000_gen5_20260728_104929,m2_classical_mechanics_0_000_gen5_20260728-104929.csv,m2_classical_mechanics_0_000,5,classical_mechanics,integrate_system,ode_system,t|v|brake_temperature|cart_position,dv_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_000_20260727-002131_last_spec.jsonl
m2_classical_mechanics_0_000_gen7_20260728_104929,m2_classical_mechanics_0_000_gen7_20260728-104929.csv,m2_classical_mechanics_0_000,7,classical_mechanics,integrate_system,ode_system,t|theta|omega|wake_drag_angular_acceleration,domega_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_000_20260727-014432_last_spec.jsonl
m2_classical_mechanics_0_001_gen0_20260728_104930,m2_classical_mechanics_0_001_gen0_20260728-104930.csv,m2_classical_mechanics_0_001,0,classical_mechanics,integrate_system,ode_system,t|s|v,dv_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_001_20260727-014432_last_spec.jsonl
m2_classical_mechanics_0_001_gen12_20260728_104929,m2_classical_mechanics_0_001_gen12_20260728-104929.csv,m2_classical_mechanics_0_001,12,classical_mechanics,integrate_system,ode_system,t|x|v|Fh|Fh2,dx_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_001_20260727-002131_last_spec.jsonl
m2_classical_mechanics_0_002_gen15_20260728_104930,m2_classical_mechanics_0_002_gen15_20260728-104930.csv,m2_classical_mechanics_0_002,15,classical_mechanics,integrate_system,ode_system,t|theta|omega|psi|chi,dtheta_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_002_20260727-002131_last_spec.jsonl
m2_classical_mechanics_0_002_gen15_20260728_104951,m2_classical_mechanics_0_002_gen15_20260728-104951.csv,m2_classical_mechanics_0_002,15,classical_mechanics,integrate_system,ode_system,t|x|y|vx|vy,dvx_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_002_20260727-014432_last_spec.jsonl
m2_classical_mechanics_0_003_gen15_20260728_104951,m2_classical_mechanics_0_003_gen15_20260728-104951.csv,m2_classical_mechanics_0_003,15,classical_mechanics,integrate_system,ode_system,t|x|v|F_relax|T_int,dx_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_003_20260727-002131_last_spec.jsonl
m2_classical_mechanics_0_003_gen5_20260728_104952,m2_classical_mechanics_0_003_gen5_20260728-104952.csv,m2_classical_mechanics_0_003,5,classical_mechanics,integrate_system,ode_system,t|x|v|viscoelastic_damping_force,dv_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_003_20260727-014432_last_spec.jsonl
m2_classical_mechanics_0_004_gen5_20260728_104952,m2_classical_mechanics_0_004_gen5_20260728-104952.csv,m2_classical_mechanics_0_004,5,classical_mechanics,evaluate_explicit,explicit,theta,a,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/Benchmark/SRBench-feat-hyra-opus48-gpt56sol_7.28/logs/Specs/evolution_m2_classical_mechanics_0_004_20260727-002131_last_spec.jsonl
m2_classical_mechanics_0_005_gen0_20260728_105916,m2_classical_mechanics_0_005_gen0_20260728-105916.csv,m2_classical_mechanics_0_005,0,classical_mechanics,integrate_system,ode_system,t|h|v|m,dv_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_005_gen3_20260728_105916,m2_classical_mechanics_0_005_gen3_20260728-105916.csv,m2_classical_mechanics_0_005,3,classical_mechanics,evaluate_explicit,explicit,M|r|m,v_orb,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_006_gen2_20260728_105917,m2_classical_mechanics_0_006_gen2_20260728-105917.csv,m2_classical_mechanics_0_006,2,classical_mechanics,evaluate_explicit,explicit,F_app,F_net,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
m2_classical_mechanics_0_006_gen5_20260728_105917,m2_classical_mechanics_0_006_gen5_20260728-105917.csv,m2_classical_mechanics_0_006,5,classical_mechanics,integrate_system,ode_system,t|omega1|omega2|omega3,domega1_dt,4500,500,/Users/hubertlinhong/Desktop/北京大学/2026春季学期/lhw/Datasets/SRbench_test_8.6/data_5000_副本/specs_resume_after_skip.jsonl
