task,opus-4.8_raw_r2,opus-4.8_clipped_r2,opus-4.8_cost_usd,opus-4.8_status,haiku-4.5_raw_r2,haiku-4.5_clipped_r2,haiku-4.5_cost_usd,haiku-4.5_status
Biology_gen5_v4,0.800512,0.800512,1.4119239999999997,scored,0.378454,0.378454,0.32174680000000005,scored
Economy_gen5_v4,0.797775,0.797775,2.17670625,scored,0.683381,0.683381,0.25057704999999997,scored
PSEv4_m1_biology_0_004_gen5,0.893989,0.893989,1.84877025,scored,-0.376426,-0.376426,0.19761245,scored
PSEv4_nonlinear_cubic_oscillator,-14.70738,-1.0,0.9722970000000001,scored,-228417581.076861,-1.0,0.10190725000000002,scored
PSEv4_system_20260603_170953,1.0,1.0,0.1628275,scored,0.989013,0.989013,0.41169844999999994,scored
PSEv4_system_20260603_171349,1.0,1.0,0.14341325,scored,1.0,1.0,0.11099575,scored
Physics_42_000_gen5_v4,0.883117,0.883117,0.6980332500000002,scored,0.386797,0.386797,0.28475744999999997,scored
SRBench0728_Mechanics_000_gen5,-2.636829,-1.0,5.444478749999998,scored,-3.58357,-1.0,0.20443429999999996,scored
SRBench0728_Mechanics_001_gen12,1.0,1.0,0.1672565,scored,1.0,1.0,0.10016890000000002,scored
SRBench0728_Mechanics_002_gen15,0.997966,0.997966,2.2365690000000007,scored,0.929492,0.929492,0.19981729999999998,scored
SRBench0728_PopulationEcology_006_gen8,1.0,1.0,1.226856,scored,0.028499,0.028499,0.11793525000000002,scored
SRBench0728_PopulationEcology_009_gen5,0.066898,0.066898,3.2906012499999995,scored,0.261893,0.261893,0.20386605000000002,scored
SRBench0826_m2_cell_biology_and_signaling_0_000,0.984459,0.984459,1.3620007500000004,scored,-3.504546,-1.0,0.13651945000000001,scored
SRBench0826_m2_classical_mechanics_0_001,0.999979,0.999979,2.11682825,scored,0.614617,0.614617,0.11142505,scored
SRBench0826_m2_classical_mechanics_0_006,0.887143,0.887143,0.662818,scored,0.887143,0.887143,0.09651035000000001,scored
SRBench0826_m2_classical_mechanics_0_009,0.999885,0.999885,2.2895062499999996,scored,0.506187,0.506187,0.19292255000000003,scored
SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,0.874214,0.874214,2.04837475,scored,-0.153221,-0.153221,0.14824045,scored
SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,0.999528,0.999528,4.715837,scored,-17.619312,-1.0,0.1161111,scored
SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,,,,NetworkConnectionError,0.012998,0.012998,0.18512675,scored
SRBench0826_m2_nuclear_and_particle_physics_0_001,-6.390072,-1.0,1.8905705000000002,scored,0.956872,0.956872,0.09841414999999999,scored
SRBench0826_m2_physiology_and_homeostasis_0_004,0.999101,0.999101,2.37719925,scored,0.677917,0.677917,0.1439032,scored
SRBench0826_m2_population_ecology_0_002,0.999949,0.999949,0.64303925,scored,,,,AgentSetupTimeoutError
SRBench0826_m2_population_ecology_0_004,0.997867,0.997867,1.19919225,scored,0.996391,0.996391,0.092621,scored
SRBench0826_m2_quantum_mechanics_0_003,1.0,1.0,0.40051575,scored,-1.0,-1.0,0.11761589999999998,scored
SRBench0826_m2_quantum_mechanics_0_007,1.0,1.0,0.63321825,scored,1.0,1.0,0.12730735,scored
